,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
21,21,,,,"позиция mobile marketing analyst в компанию, которая развивает собственный сервис - это один из крупнейших российских онлайн-кинотеатров. полным ходом идет развитие продукта для всех ключевых платформ: smart tv, ios, android, playstation, tvos, веб-сайт и т.д. так же сервис на данный момент объединяется с крупной сетью кинотеатров, таким образом будет интеграция онлайн и оффлайн просмотров. благодаря этому сервису, каждый день миллионы людей смотрят кино без рекламы в наилучшем качестве ultra hd 4k, hdr, 3d со звуком dolby atmos и dolby 5.1 как в кинотеатре. основные задачи: анализ эффективности прошедших рекламных онлайн кампаний (web, mobile) с целью выявления успешных/неуспешных кейсов; построение аналитической отчетности и дашбордов (воронок, retention, атрибуции); построение процесса сбора данных из различных источников и его автоматизация; проведение а\б тестирования рекламных материалов, посадочных страниц, путей пользователей и др.; работа с системами веб- и мобайл аналитики. основные требования: опыт в web-аналитике от 2 лет; глубокое знание инструментов онлайн аналитики (ga, метрика, appsflyer);; понимание принципов клиентской аналитики и сегментирования клиентского ядра; навыки расчета и создания маркетинговых тарифов/акций/ сервисов / продуктов и пр; понимание когортного анализа, основным метрик цифровых бизнесов, retention, ltv, cac. что вы получаете взамен: оформление полностью по тк рф, 100% белая зп; для иногородних - классный релокационный пакет (оплата переезда, квартиру на испытательный срок и др. при необходимости); хороший соц пакет (с зубами); реальная возможность как карьерного, так и профессионального роста внутри компании; очень комфортный офис с зоной отдыха (кикер и стол для пинг-понга, чай, кофе, йогурты и фрукты); территориально - в шаговой доступности от метро беговая классные командные мероприятия и корпоративы; оплата мобильной связи; ну и никуда без клевого молодого коллектива!",маркетинговыйаналитик,Санкт-Петербург,100000.0,160000.0,Star-staff,2019-10-01T11:17:38+0300,between1And3,full,fullDay,
618,618,,"оформление по тк рф; гибкий график, приятный коридор опозданий; современное рабочее место, 2 монитора, ос на выбор; beanbag, кофе, чай, пицца; удобный офис в бизнес центре, в центре города, в 5 минутах от метро; команда профессионалов; отпуска в удобное время, отгулы; премии при быстром выполнении задач или переработке.","знание, понимание, опыт работы с кодом в рамках ооп; git; psr; опыт работы с любым современным фреймворком опыт работы с orm обучаемость; умение брать ответственность, соблюдать сроки;","для вас есть много интересных задач и проектов. предусмотрены премии за переработку, оценка переработки прозрачна. предстоит разрабатывать индивидуальные erp, crm системы и сайты на php. знание, понимание, опыт работы с кодом в рамках ооп; git; psr; опыт работы с любым современным фреймворком опыт работы с orm обучаемость; умение брать ответственность, соблюдать сроки; будет плюсом: паттерны проектирования; опыт с zf, symfony; js, vue, node (для fullstack); doctrine; sql опыт настройки linux серверов оформление по тк рф; гибкий график, приятный коридор опозданий; современное рабочее место, 2 монитора, ос на выбор; beanbag, кофе, чай, пицца; удобный офис в бизнес центре, в центре города, в 5 минутах от метро; команда профессионалов; отпуска в удобное время, отгулы; премии при быстром выполнении задач или переработке.",php-программист,Санкт-Петербург,60000.0,170000.0,ИНДИНС,2019-09-15T10:35:14+0300,between3And6,full,flexible,ООП|MVC|MySQL|PHP7|PHP|Symfony|Git|SQL
704,704,"верстка дизайна из figma; сборка интерфейсов индивидуальных crm, erp; командная работа.","оформление по тк рф; гибкий график, приятный коридор опозданий; современное рабочее место, 2 монитора, ос на выбор; beanbag, кофе, чай, пицца; удобный офис в бизнес центре, в центре города, в 5 минутах от метро; команда профессионалов; отпуска в удобное время, отгулы; премии при быстром выполнении задач или переработке.","знание vue/react, понимание принципов spa(single page application); знание ecmascript6 (modules/promises/classes); опыт валидной и адаптивной верстки, работы с препроцессорами css; обучаемость; умение работать в команде, следовать стандартам; умение брать ответственность, соблюдать сроки;","для вас есть много интересных задач и проектов. предусмотрены премии за переработку, оценка переработки прозрачна. предстоит собирать интерфейсы из имеющихся компонентов, создавать новые компоненты на vue. задачи по верстке и сборке сайтов spa с ssr. верстка дизайна из figma; сборка интерфейсов индивидуальных crm, erp; командная работа. знание vue/react, понимание принципов spa(single page application); знание ecmascript6 (modules/promises/classes); опыт валидной и адаптивной верстки, работы с препроцессорами css; обучаемость; умение работать в команде, следовать стандартам; умение брать ответственность, соблюдать сроки; будет плюсом: понимание принципов restfull; опыт работы с node.js, менеджерами пакетов; разработка ssr приложений; websocket (socket.io); фреймворки компонентов (vuetify/vue material); знание vuex; css flex/grid, кроссбраузерная верстка, css анимации; опыт работы с nuxt; базовые навыки ui/ux; здоровый перфекционизм; php; оформление по тк рф; гибкий график, приятный коридор опозданий; современное рабочее место, 2 монитора, ос на выбор; beanbag, кофе, чай, пицца; удобный офис в бизнес центре, в центре города, в 5 минутах от метро; команда профессионалов; отпуска в удобное время, отгулы; премии при быстром выполнении задач или переработке.",frontend-разработчик(vue),Санкт-Петербург,60000.0,170000.0,ИНДИНС,2019-09-15T10:48:31+0300,between3And6,full,flexible,HTML|jQuery|Git|CSS3|VUE|Node.js|SSR|JavaScript
1054,1054,"разработка/доработка и сопровождение по на платформе devexpress, xaf; внедрение программных продуктов;","стабильная ит-компания. оформление по тк рф, белая заработная плата. заработная плата по результатам собеседования в зависимости от квалификации (рассмотрим ваши ожидания). возможности карьерного роста. работа над новым масштабным проектом крупного заказчика.","·опыт работы с c# и .net от 3-x лет; знание технологий реляционных субд и синтаксиса sql; знание цикла и процесса разработки программного обеспечения; знание архитектуры программных продуктов, участие в разработке архитектуры; умение работать в команде.","корпорация «галактика» — один из крупнейших разработчиков комплексных решений в области автоматизации управления производственно- хозяйственной и финансовой деятельности предприятия в сфере оборонно-промышленного комплекса, машиностроения, нефтегазовой промышленности в поиске ведущего разработчика/разработчика на microsoft c#/.net: разработка/доработка и сопровождение по на платформе devexpress, xaf; внедрение программных продуктов; ·опыт работы с c# и .net от 3-x лет; знание технологий реляционных субд и синтаксиса sql; знание цикла и процесса разработки программного обеспечения; знание архитектуры программных продуктов, участие в разработке архитектуры; умение работать в команде. будет преимуществом: опыт использования продуктов devexpress, xaf; знание математических алгоритмов оптимизационных задач; знание функциональности erp систем; навыки администрирования ms sql server; опыт разработки и/или участия в проектировании и оптимизации подсистем автоматизированных систем управления промышленными предприятиями; стабильная ит-компания. оформление по тк рф, белая заработная плата. заработная плата по результатам собеседования в зависимости от квалификации (рассмотрим ваши ожидания). возможности карьерного роста. работа над новым масштабным проектом крупного заказчика. удаленная работа, главной офис в москве.",ведущийразработчикразработчикнаmicrosoftc#.net,Санкт-Петербург,100000.0,170000.0,Галактика,2019-09-13T16:14:51+0300,between3And6,full,remote,.net|C#|Developer Express|XAF|MS Visual Studio|MS SQL Server|.NET Framework
121,121,"разработка базы данных под управлением postgresql; написание хранимых процедур и функций на pgsql, python;",стабильная развивающаяся ит-компания. готовы рассматривать,опыт работы от 3-x лет; отличные знания технологий реляционных субд и синтаксиса sql;,"корпорация «галактика» — один из крупнейших разработчиков комплексных решений в области автоматизации управления производственно- хозяйственной и финансовой деятельности предприятия в сфере оборонно-промышленного комплекса, машиностроения, нефтегазовой промышленности в поиске ведущий разработчика postgresql: разработка базы данных под управлением postgresql; написание хранимых процедур и функций на pgsql, python; опыт работы от 3-x лет; отличные знания технологий реляционных субд и синтаксиса sql; будет преимуществом: опыт программирования .net c# или node.js. знание linux; стабильная развивающаяся ит-компания. готовы рассматривать на удаленной основе (офис-москва). полное соблюдение трудового кодекса рф. конкурентоспособный уровень заработной платы (обсуждается по результатам собеседования). дмс после испытательного срока. крупные масштабные проекты. возможны краткосрочные командировки в москву. месторасположение офиса - москва, метро динамо, метро петровский парк, шаговая доступность 5 минут пешком.",ведущийразработчикpostgresql,Санкт-Петербург,120000.0,170000.0,Галактика,2019-09-16T11:14:11+0300,between3And6,full,remote,PostgreSQL|pgSQL|Linux
824,824,,,,"мы занимаемся хостингом . сейчас у нас более 150 000 активных пользователей, примерно каждый десятый сайт в рунете размещается у нас. наши основные программные продукты: панели управления хостингом, vds и выделенными серверами, регистрации доменов и заказа ssl, почтовый сервис, внутренняя crm. наши клиенты считают панель управления одной из самых удобных на рынке, но мы не останавливаемся в её развитии, и поэтому ищем программиста php . кандидатам из других городов готовы предложить релокационный пакет. как мы работаем: пишем качественный код на php 7.3; используем yii 2; стучимся в rest api; покрываем код тестами при помощи codeception; применяем code review и работаем по git flow; для автоматизации цепочки ci/cd по полной используем gitlab; в разработке используем docker, активно развиваем kubernetes-кластер для production; работаем продуктовыми командами по agile. спринт — 1 неделя; проводим совместное техническое проектирование и планирование задач спринта. задачи для вас: участие в развитии внутренних продуктов; взаимодействие с сервисной инфраструктурой; разработка сервисов и api; построение и улучшение архитектуры системы; анализ требований, проектирование решений, оценка технических задач. мы ждем от вас: знание и опыт php 7.*; знание основных php-фреймворков не понаслышке; опыт использования mysql / postgresql / redis / rabbitmq; знание основных принципов api (rest api, json api, soap); чистый код, уважение к tdd; опыт enterprise разработки; умение работать в команде, делиться своим мнением и прислушиваться к мнению других. у нас вы сможете получить знания и навыки: использования и разработки сложной архитектуры корпоративных приложений; построения процессов разработки; применения docker и kubernetes; автоматизации gitlab ci/cd; языков программирования go, python, javascript. а также удовольствие от работы в сильной команде :) мы предлагаем: гибкое начало рабочего дня; официальное трудоустройство и белую заработную плату. мы всячески приветствуем здоровый образ жизни и предоставим вам: оплачиваемые обеды на любой вкус (от вегетарианских предпочтений до домашней кухни); компенсацию ваших спортивных занятий; дмс; уютную кухню с вкусными сортами чая и ароматным кофе, молоком и фруктами; комнату отдыха с настольным теннисом и турником.",php-разработчик,Санкт-Петербург,100000.0,180000.0,ТаймВэб,2019-10-09T12:39:25+0300,between1And3,full,fullDay,Git|MySQL|PHP|Linux|JSON API|JavaScript|Yii|PostgreSQL
366,366,,,,"напоправку.ру - крупнейший медицинский онлайн-сервис в петербурге и один из ключевых игроков в москве. для нас важно, что каждый день десятки тысяч людей в нашей стране могут решить свои проблемы со здоровьем, благодаря нашей работе. мы хотим сделать медицину проще и дружелюбнее, изменив то, как люди выбирают врача и взаимодействуют с ним. сейчас мы развиваем уникальный сервис реал-тайм записи для быстрой и удобной записи на прием к хорошему врачу онлайн. впереди - мобильное приложение, телеконсультации и другие онлайн-сервисы, которые помогают быстрее решать проблемы со здоровьем. мы ищем в команду опытного бэкэнд разработчика, который предпочитает возможности и драйв нового проекта предсказуемой карьере в крупной корпорации. главные задачи на ближайший год разработать новую архитектуру базы данных и подготовить проект к высоким нагрузкам; перевести проект на микросервисную архитектуру; разработать rest api для мобильного приложения (ios, android); это вакансия для вас, если вы имеете большой опыт работы с мейнстрим php-фреймворками и mysql; будет преимуществом опыт работы с nosql (memcached/redis/mongodb/tarantool), очередями, high load проектами; хотите не просто писать код, а делать классный продукт, который будет помогать людям и даже спасать жизни; умеете быстро разбираться в чужом коде и конструктивно с ним работать; не можете уснуть, пока не найдете решение для новой каверзной задачки. перед нами стоят различные задачи, как по бекенду, так и по фронтенду. одно из важных требований к кандидатам - высокий уровень понимания, как устроено взаимодействие между ними - для успешного выполнения наших продуктовых задач. нам хочется найти в свою команду специалиста мыслящего в терминах time to market, то есть чтобы новые фичи доходили до прода, как можно быстрее, а не застревали в тестировании. мы за здоровый баланс между жизнью и работой. завершить работу вовремя и пойти домой к семье - всегда в приоритете. тем не менее, мы все работаем на результат - поэтому спринты должны заканчиваться к запланированному сроку. вы всегда сами можете принять взвешенное решение, стоит ли сегодня задержаться, чтобы успеть в срок. почему вам надо идти к нам социально значимый проект, о котором можно с гордостью рассказать даже бабушке; много интересных и нестандартных технических задач; широкое поле для инициативы; молодая, веселая и динамичная команда единомышленников. приятные мелочи белая зарплата, размер обсуждается с успешным кандидатом; оплачиваемое профессиональное развитие – книги, онлайн курсы, семинары и конференции; фрукты, снеки, чай и кофе; возможность заказа ужина в офис и корпоративного такси для тех, кто задерживается на работе; гибкое начало рабочего дня; веселые корпоративы.",seniorphpразработчиквебпрограммист,Санкт-Петербург,140000.0,180000.0,НаПоправку.ру,2019-10-09T11:31:40+0300,between3And6,full,fullDay,ООП|NoSQL|MySQL|JavaScript|PHP|Redis|Highload|Zend Framework|Laravel|Memcached
737,737,,,,"наш клиент interverbum technology находится в поиске frontend-разработчика (angular). interverbum technology - шведская компания, которая занимается разработкой сервиса, позволяющего компаниям со всего мира общаться между собой, используя единую бизнес терминологию. https://interverbumtech.com/ мы планируем разрабатывать много отличных фич и интеграций, так что впереди очень много интересного. большинство клиентов компании из списка fortune global 500. как frontend-разработчик вы должны знать: angular 8, typescript и сопутствующие технологии; web разработка (html, css, javascript, less, sass, npm, yarn, es5+, webpack, etc); тестирование (unit, mock objects, integration); иметь представление о работе rest api и аналогов; мы ожидаем, что у вас 2+ года опыта коммерческой разработки. чем придется заниматься: быть частью команды, использующей agile методики разработки; улучшать существующий код, искать новые решения и реализовывать новые функции; участвовать в постоянном диалоге по развитию системы. будет плюсом знание следующих технологий: хорошее понимание корпоративных стандартов при разработке веб-приложений; oauth, saml2, openapi или любая другая реализация sso; ux/ui навыки; базовые навыки администрирования linux, windows (вы должны уметь выложить свое spa приложение на хостинг); jquery and bootstrap для старых частей системы; системы сборки (bamboo, jenkins, teamcity и тп.); apache httpd or nginx. мы предлагаем: современный стек технологий; полностью официальную зарплату; офис на ст. м. петроградская; велопарковку и душ в офисном здании.",frontend-разработчик(angular),Санкт-Петербург,140000.0,180000.0,Kelly,2019-09-25T11:45:56+0300,between1And3,full,fullDay,AngularJS|JavaScript|TypeScript|HTML|CSS
846,846,"основные задачи project менеджера – это организация процесса разработки, а также подготовка заданий для разработчиков. для этого project менеджер делает следующее: определяет регламенты разработки. следит за работой каждого специалиста (разработчиков и тестировщиков) с тем, чтобы понимать, что они работают максимально эффективно и быстро. составляет задания для программистов по согласованию с продакт оунером. далее оно поступает в бэклог. участвует в обсуждении заданий на спринт-митинге (работает по методологии scrum) с программистами. в процессе разработки отвечает на вопросы программистов по задачам. после загрузки задач в продакшн при необходимости готовит техническую документацию в вики для программистов.",удаленная работа в команде по комфортному для вас графику (min 30 рабочих часов в неделю). интересные и ответственные задачи. бизнес-поездки за границу. логично выстроенная система коммуникаций. оплата: 1000 руб./час (выплаты каждые 2 недели). работаем с помощью time tracking программы.,"хороший опыт в организации процесса разработки и написании соответствующих регламентов. способность глубоко погружаться в детали, изучать техническую документацию, быстро находить взаимосвязи. совершенная техническая грамотность. умение легко доносить до людей письменно и устно сложные технические вещи. отличная коммуникабельность. опыт на аналогичных позициях в сфере ит от 2 лет. удаленная работа в команде по комфортному для вас графику (min 30 рабочих часов в неделю). интересные и ответственные задачи. бизнес-поездки за границу. логично выстроенная система коммуникаций. оплата: 1000 руб./час (выплаты каждые 2 недели). работаем с помощью time tracking программы.","компания mirafox приглашает в команду удаленных сотрудников высококлассного project менеджера для работы в крупном интернет-проекте. project менеджер - это важнейший член команды, который отвечает за организацию процесса разработки и подготовку задач для программистов. основные задачи project менеджера – это организация процесса разработки, а также подготовка заданий для разработчиков. для этого project менеджер делает следующее: определяет регламенты разработки. следит за работой каждого специалиста (разработчиков и тестировщиков) с тем, чтобы понимать, что они работают максимально эффективно и быстро. составляет задания для программистов по согласованию с продакт оунером. далее оно поступает в бэклог. участвует в обсуждении заданий на спринт-митинге (работает по методологии scrum) с программистами. в процессе разработки отвечает на вопросы программистов по задачам. после загрузки задач в продакшн при необходимости готовит техническую документацию в вики для программистов. хороший опыт в организации процесса разработки и написании соответствующих регламентов. способность глубоко погружаться в детали, изучать техническую документацию, быстро находить взаимосвязи. совершенная техническая грамотность. умение легко доносить до людей письменно и устно сложные технические вещи. отличная коммуникабельность. опыт на аналогичных позициях в сфере ит от 2 лет. удаленная работа в команде по комфортному для вас графику (min 30 рабочих часов в неделю). интересные и ответственные задачи. бизнес-поездки за границу. логично выстроенная система коммуникаций. оплата: 1000 руб./час (выплаты каждые 2 недели). работаем с помощью time tracking программы. внимание! вместо нудного собеседования на начальном этапе мы предлагаем заполнить небольшую анкету. mirafox ltd — это интернет-компания со штаб-квартирой в гонконге и удаленными сотрудниками по всему миру. работая на рынке более 16 лет, mirafox запустил десятки сервисов на западном и российском рынке, часть из которых занимает лидирующие позиции в своих нишах. суммарно 10 млн посетителей ежемесячно пользуются сервисами компании. большая часть нашей команды — это удаленщики, и мы научились отлично работать с удаленными командами, где бы ни находились наши специалисты. присоединяйся, если хочешь участвовать в интересных проектах и решать непростые задачи!",projectменеджер,Санкт-Петербург,160000.0,180000.0,Мирафокс,2019-09-25T15:10:34+0300,between3And6,full,remote,Agile Project Management|Scrum|Управление проектами|MS Project|Разработка технических заданий
395,395,,,,"мы занимаемся хостингом . сейчас у нас более 150 000 активных пользователей, примерно каждый десятый сайт в рунете размещается у нас. наши основные программные продукты: панели управления хостингом, vds и выделенными серверами, регистрации доменов и заказа ssl, почтовый сервис, внутренняя crm. наши клиенты считают панель управления одной из самых удобных на рынке, но мы не останавливаемся в её развитии, и поэтому ищем frontend разработчика javascript кандидатам из других городов готовы предложить релокационный пакет. как мы работаем: пишем качественный код на js (es6); используем backbone/marionette; проектируем переход на js-фреймворк (angular/react/vue); стучимся в rest api; покрываем код тестами при помощи jest; применяем code review и работаем по git flow; для автоматизации цепочки ci/cd по полной используем gitlab; в разработке используем docker, активно развиваем kubernetes-кластер для production; работаем продуктовыми командами по agile. спринт — 1 неделя; проводим совместное техническое проектирование и планирование задач спринта. задачи для вас: участие в командной разработке продуктов компании; участие в разработке и проектировании собственной библиотеки компонентов интерфейсов продуктов; покрытие своего кода тестами; построение и улучшение frontend-архитектуры; мы ждем от вас: уверенные знания javascript; опыт разработки пользовательских интерфейсов; опыт использования js-фреймворков (backbone/marionette, angular, react, vue); понимание принципов rest api; опыт работы со сборщиками gulp/webpack; опыт семантической адаптивной верстки, понимание методологии бэм, работа с препроцессорами (sass/less) опыт написания unit-тестов (jest) знание принципов оптимизации клиентской части web-приложений у нас вы сможете получить знания и навыки: использования и разработки сложной архитектуры корпоративных приложений; построения процессов разработки; применения docker и kubernetes; автоматизации gitlab ci/cd. а также удовольствие от работы в сильной команде :) мы предлагаем: гибкое начало рабочего дня; официальное трудоустройство и белую заработную плату. мы всячески приветствуем здоровый образ жизни и предоставим вам: оплачиваемые обеды на любой вкус (от вегетарианских предпочтений до домашней кухни); компенсацию ваших спортивных занятий; дмс; уютную кухню с вкусными сортами чая и ароматным кофе, молоком и фруктами; комнату отдыха с настольным теннисом и турником.",frontend-разработчикjavascript,Санкт-Петербург,,180000.0,ТаймВэб,2019-10-09T12:39:35+0300,between3And6,full,fullDay,
