,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
1156,1156,"участие в проектах реорганизации/оптимизации бизнес процессов; анализ функциональных требований, разработка концептуальных дизайнов бизнес-процессов; подготовка проектных решений по соответствующим функциональным областям; настройка системы по соответствующим функциональным направлениям; реализация бизнес-процессов в sap erp; разработка инструкций пользователей по работе в sap erp; обучение ключевых и конечных пользователей; разработка сценариев тестов системы и процессов, тестирование; подготовка функциональных спецификаций на разработки.","официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.","не полное высшее образование; опыт внедрения sap в роли консультанта приветствуется; английский язык на уровне чтения и понимания документации; доброжелательность, умение устанавливать контакт с людьми; реализация и поддержка бизнес процессов со стороны fi. участие в проектах реорганизации/оптимизации бизнес процессов; анализ функциональных требований, разработка концептуальных дизайнов бизнес-процессов; подготовка проектных решений по соответствующим функциональным областям; настройка системы по соответствующим функциональным направлениям; реализация бизнес-процессов в sap erp; разработка инструкций пользователей по работе в sap erp; обучение ключевых и конечных пользователей; разработка сценариев тестов системы и процессов, тестирование; подготовка функциональных спецификаций на разработки. официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.","строительный двор - крупнейший поставщик строительных и отделочных материалов с 1993 года! 16 городов, 54 розничных магазинов, более 2 000 сотрудников. у нас микросервисная архитектура и agile подход к разработке, нет менеджеров и начальников, у нас есть самоорганизованные команды! открытость экспериментам и новым инструментам! мы любим web и у нас всегда есть интересные задачи! не полное высшее образование; опыт внедрения sap в роли консультанта приветствуется; английский язык на уровне чтения и понимания документации; доброжелательность, умение устанавливать контакт с людьми; реализация и поддержка бизнес процессов со стороны fi. участие в проектах реорганизации/оптимизации бизнес процессов; анализ функциональных требований, разработка концептуальных дизайнов бизнес-процессов; подготовка проектных решений по соответствующим функциональным областям; настройка системы по соответствующим функциональным направлениям; реализация бизнес-процессов в sap erp; разработка инструкций пользователей по работе в sap erp; обучение ключевых и конечных пользователей; разработка сценариев тестов системы и процессов, тестирование; подготовка функциональных спецификаций на разработки. официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании. стань частью нашей команды! мы ждём твоё резюме!",консультантsap,Тюмень,,78000.0,Строительный Двор,2019-10-07T07:52:55+0300,between1And3,full,flexible,SAP ERP|SAP FI
1130,1130,,"профессиональная команда. будет у кого поучиться новым технологиям, практикам и инструментам не надо продавать свои услуги. за вас это сделают специальные люди если требуется, покупаем новые инструменты для повышения эффективности работы опыт работы в реальных проектах федерального масштаба: интернет-магазины, маркетплейсы, b2b-порталы. отличная рабочая атмосфера без дресс-кода и лишней бюрократии рабочая станция с ssd-диском и двумя мониторами работа в комфортном офисе рядом с перекрёстком ул. мельникайте/50 лет октября. до офиса удобно добираться на автобусе из любого района города, остановки рядом. есть парковки для автомобилей в офисе отдельный кабинет формата переговорка/кухня: холодильник, кофемашина, микроволновка, чайник, печеньки. чистая питьевая бутилированная вода. большие окна, свежий воздух, тишина график работы обсуждаем: 5/2, 8-часовой рабочий день в период с 9-00 до 22-00 рядом: множество заведений общепита, тренажёрный зал, парикмахерская официальное оформление по тк рф с записью в трудовой книжке оплачиваемый испытательный срок 3 месяца. обучаем в период испытательного срока",,"что нужно делать: нам нужен человек, который возьмет на себя часть задач разработчиков. чаще всего необходимо разрабатывать интернет-магазины на 1с-битрикс по конкретным тз, написанными техническими специалистами. иногда будут задачи по доработкам уже существующих проектов. в работе мы ждем от вас ответственности, самостоятельности, внимательности и аккуратности. если столкнетесь с чем то сложным и решения не будет в наших внутренних документах не бойтесь обратиться к коллегам за помощью. какие требования: php 5, php 7, mysql, html+css опыт работы с битрикс git/git-flow хорошее понимание ооп, опыт его использования отсутствие страха перед html, css, js. для верстки и сложного js-кодинга есть специальные люди, но базовые знания должны присутствовать и использоваться развиваться профессионально и помогать развиваться коллегам будет плюсом знание: laravel vue.js bitrix api d7 умение настройки серверов на unix профессиональная команда. будет у кого поучиться новым технологиям, практикам и инструментам не надо продавать свои услуги. за вас это сделают специальные люди если требуется, покупаем новые инструменты для повышения эффективности работы опыт работы в реальных проектах федерального масштаба: интернет-магазины, маркетплейсы, b2b-порталы. отличная рабочая атмосфера без дресс-кода и лишней бюрократии рабочая станция с ssd-диском и двумя мониторами работа в комфортном офисе рядом с перекрёстком ул. мельникайте/50 лет октября. до офиса удобно добираться на автобусе из любого района города, остановки рядом. есть парковки для автомобилей в офисе отдельный кабинет формата переговорка/кухня: холодильник, кофемашина, микроволновка, чайник, печеньки. чистая питьевая бутилированная вода. большие окна, свежий воздух, тишина график работы обсуждаем: 5/2, 8-часовой рабочий день в период с 9-00 до 22-00 рядом: множество заведений общепита, тренажёрный зал, парикмахерская официальное оформление по тк рф с записью в трудовой книжке оплачиваемый испытательный срок 3 месяца. обучаем в период испытательного срока дополнительные инструкции после отклика нужно будет заполнить небольшую анкету 9 преимуществ работы в компании legacy: вы устроитесь в нашу компанию и уже через 1 год получите компетенции для участия в крупных технологичных проектах. разработаете минимум 12 проектов, получите квалификацию и опыт, которые пополнят портфолио. работа в команде с другими людьми (аналитики, проектировщики, дизайнеры, специалисты по продвижению), которые подпитывают новыми знаниями. сформированные рабочие процессы (проект разрабатывается плавно и прогнозируемо). возможность влиять на процессы в компании (по окончанию каждого проекта работаем над ошибками). составляем личный план развития + старший товарищ, который поможет. современные инструменты для управления проектами. вы научитесь работать с передовыми инструментами. компания оплачивает учёбу и сертификацию.",web-программистbackenddeveloper,Тюмень,25000.0,80000.0,Легаси,2019-09-23T08:07:30+0300,noExperience,full,fullDay,Веб разработка|Backend development|PHP|1С-Битрикс|JavaScript|Git|PostgreSQL|ООП|MySQL|Веб-программирование|Bitrix|SQL|Ajax
1304,1304,,"профессиональная команда. будет у кого поучиться новым технологиям, практикам и инструментам если требуется, покупаем новые инструменты для повышения эффективности работы опыт работы в реальных проектах федерального масштаба: интернет-магазины, маркетплейсы, b2b-порталы. отличная рабочая атмосфера без дресс-кода и лишней бюрократии рабочая станция с ssd-диском и двумя мониторами работа в комфортном офисе рядом с перекрёстком ул. мельникайте/50 лет октября. до офиса удобно добираться на автобусе из любого района города, остановки рядом. есть парковки для автомобилей в офисе отдельный кабинет формата переговорка/кухня: холодильник, кофемашина, микроволновка, чайник, печеньки. чистая питьевая бутилированная вода. большие окна, свежий воздух, тишина график работы обсуждаем: 5/2, 8-часовой рабочий день в период с 9-00 до 22-00 рядом: множество заведений общепита, тренажёрный зал, парикмахерская официальное оформление по тк рф с записью в трудовой книжке оплачиваемый испытательный срок 3 месяца. обучаем в период испытательного срока",,"что нужно делать: нам нужен человек, который возьмет на себя часть задач разработчиков. чаще всего необходимо разрабатывать интернет-магазины, маркетплейсы, b2b-порталы по конкретным тз, написанными техническими специалистами. иногда будут задачи по доработкам уже существующих проектов. в работе мы ждем от вас ответственности, самостоятельности, внимательности и аккуратности. если столкнетесь с чем то сложным и решения не будет в наших внутренних документах не бойтесь обратиться к коллегам за помощью. какие требования: уверенные знания html, css, javascript использование препроцессоров sass/scss gulp/webpack опыт работы с git/git-flow хорошее понимание ооп, опыт его использования знание одного из фреймворков, желательно vue.js профессиональная команда. будет у кого поучиться новым технологиям, практикам и инструментам если требуется, покупаем новые инструменты для повышения эффективности работы опыт работы в реальных проектах федерального масштаба: интернет-магазины, маркетплейсы, b2b-порталы. отличная рабочая атмосфера без дресс-кода и лишней бюрократии рабочая станция с ssd-диском и двумя мониторами работа в комфортном офисе рядом с перекрёстком ул. мельникайте/50 лет октября. до офиса удобно добираться на автобусе из любого района города, остановки рядом. есть парковки для автомобилей в офисе отдельный кабинет формата переговорка/кухня: холодильник, кофемашина, микроволновка, чайник, печеньки. чистая питьевая бутилированная вода. большие окна, свежий воздух, тишина график работы обсуждаем: 5/2, 8-часовой рабочий день в период с 9-00 до 22-00 рядом: множество заведений общепита, тренажёрный зал, парикмахерская официальное оформление по тк рф с записью в трудовой книжке оплачиваемый испытательный срок 3 месяца. обучаем в период испытательного срока дополнительные инструкции после отклика нужно будет заполнить небольшую анкету 9 преимуществ работы в компании legacy: вы устроитесь в нашу компанию и уже через 1 год получите компетенции для участия в крупных технологичных проектах. разработаете минимум 12 проектов, получите квалификацию и опыт, которые пополнят портфолио. работа в команде с другими людьми (аналитики, проектировщики, дизайнеры, специалисты по продвижению), которые подпитывают новыми знаниями. сформированные рабочие процессы (проект разрабатывается плавно и прогнозируемо). возможность влиять на процессы в компании (по окончанию каждого проекта работаем над ошибками). составляем личный план развития + старший товарищ, который поможет. современные инструменты для управления проектами. вы научитесь работать с передовыми инструментами. компания оплачивает учёбу и сертификацию.",web-программистfrontenddeveloper,Тюмень,25000.0,80000.0,Легаси,2019-09-23T08:46:16+0300,between1And3,full,fullDay,Веб разработка|Backend development|PHP|1С-Битрикс|JavaScript|Git|PostgreSQL|ООП|MySQL|Веб-программирование|Bitrix|SQL|Ajax
1082,1082,"диагностика, ремонт, наладка и модернизация техники модульный ремонт: замена дисплеев, акб, шлейфов, кнопок, корпусов и т.д.; восстановление корпусных частей и плат после воды или падения прошивка устройств, программный ремонт; решение любых задач с программным обеспечением, переустановка windows ведение отчетности по ремонту в клиентской базе (комментарии по приемке и ремонту, указание результатов диагностики, сроков ремонта и т.д.); наличие реального опыта в пайке - большой плюс, условия оплаты обсуждаются индивидуально.",заработная плата: оклад 16.000 руб. +% за ремонт техники и продажу аксессуаров,"желание работать и развиваться вместе со стремительно развивающейся компанией; знание внутреннего устройства пк, ноутбука, планшета, смартфона и т.д.; заработная плата: оклад 16.000 руб. +% за ремонт техники и продажу аксессуаров","мы молодая, динамично развивающаяся компания, за 3 месяца работы открыли уже 3 сервиса! наша компания занимаемся ремонтом техники любой сложности. подробнее о компании вы можете узнать на нашем официальном сайте burormspb.ru нам нужны активные, целеустремленные, инициативные сотрудники любящие своё дело! диагностика, ремонт, наладка и модернизация техники модульный ремонт: замена дисплеев, акб, шлейфов, кнопок, корпусов и т.д.; восстановление корпусных частей и плат после воды или падения прошивка устройств, программный ремонт; решение любых задач с программным обеспечением, переустановка windows ведение отчетности по ремонту в клиентской базе (комментарии по приемке и ремонту, указание результатов диагностики, сроков ремонта и т.д.); наличие реального опыта в пайке - большой плюс, условия оплаты обсуждаются индивидуально. желание работать и развиваться вместе со стремительно развивающейся компанией; знание внутреннего устройства пк, ноутбука, планшета, смартфона и т.д.; заработная плата: оклад 16.000 руб. +% за ремонт техники и продажу аксессуаров (наши опытные инженеры зарабатывают свыше 50 тыс. руб.) полностью оборудованное комфортное рабочее место; гибкий график 2/2 или 5/2 (выходные на выбор); обучение в период стажировки; отличный молодой коллектив и руководство; возможность карьерного роста. для кандидатов, владеющих пайкой, обсуждаются индивидуальные условия оплаты на собеседовании.",мастерпоремонтуцифровойтехники,Санкт-Петербург,30000.0,80000.0,Сеть сервисных центров Бюро Ремонта,2019-10-08T17:12:24+0300,noExperience,full,flexible,"компонентный ремонт техники|ремонт телефонов, планшетов, ноутбуков|модульный ремонт техники|ремонт цифровой техники|ремонт электронники"
113,113,"встречаться с клиентами, показывать преимущества продукта togo консультировать по вопросам рекламы обрабатывать входящие заявки на рекламу звонить по холодной базе (предоставляем свежую базу, нет ограничений по сфере клиента) сопровождение клиента после подписания договора продление контрактов","возможность корректировки графика по договорённости возможность совмещения с учёбой заработная плата: оклад + премиальная часть по результатам работы современный офис, комфортные условия работы возможность карьерного роста обучение, оплачиваемая стажировка бесплатные тренинги на повышение профессиональных навыков дружный и талантливый коллектив официальное оформление бесплатный проезд на общественном транспорте корпоративные мероприятия чай и ароматный кофе для наших сотрудников офис 50 метров от метро",грамотная и чёткая речь вежливость и доброжелательность активная жизненная позиция навыки работы с компьютером с удовольствием рассмотрим кандидатов без опыта работы,"вакансия компании : &quot;гризли секьюрити&quot; togo это it стартап, наш основной продукт: цифровой городской информационный гид. сегодня люди из 185 городов россии могут воспользоваться нашим сервисом. у тебя есть возможность присоединиться к нашей команде и участвовать в создании и развитии продукта. мы - молодой и открытый коллектив, ждём открытых и амбициозных профессионалов. если у тебя нет опыта продаж- приходи! всему научим и все покажем встречаться с клиентами, показывать преимущества продукта togo консультировать по вопросам рекламы обрабатывать входящие заявки на рекламу звонить по холодной базе (предоставляем свежую базу, нет ограничений по сфере клиента) сопровождение клиента после подписания договора продление контрактов грамотная и чёткая речь вежливость и доброжелательность активная жизненная позиция навыки работы с компьютером с удовольствием рассмотрим кандидатов без опыта работы образование : не имеет значения возможность корректировки графика по договорённости возможность совмещения с учёбой заработная плата: оклад + премиальная часть по результатам работы современный офис, комфортные условия работы возможность карьерного роста обучение, оплачиваемая стажировка бесплатные тренинги на повышение профессиональных навыков дружный и талантливый коллектив официальное оформление бесплатный проезд на общественном транспорте корпоративные мероприятия чай и ароматный кофе для наших сотрудников офис 50 метров от метро",менеджерпопродажамb2b,Санкт-Петербург,35000.0,80000.0,JCat.ru,2019-10-02T12:18:47+0300,noExperience,full,flexible,
1237,1237,,,"— знание php на хорошем уровне — опыт работы с чужим кодом — html, css, javascript на базовом уровне — понимание работы сетевых технологий — умение работать с git’ом — обучаемость и желание развиваться в сфере — ответственность, готовность к работе в команде","задачи программирование веб-сайтов: интернет-магазины, корпоративные сайты. поддержка и создание крупных проектов, командная работа с дизайнером, менеджерами и другими программистами. в бэкенд на 1с-битрикс. исключения редки, но бывают. — знание php на хорошем уровне — опыт работы с чужим кодом — html, css, javascript на базовом уровне — понимание работы сетевых технологий — умение работать с git’ом — обучаемость и желание развиваться в сфере — ответственность, готовность к работе в команде приветствуется — умение работать с linux — знание других языков программирования — навыки работы с 1с-битрикс — опыт разработки своих проектов на php — опыт коммерческой разработки мы предлагаем — лофт - офис в центре города — 5/2, гибкий график — оформление по тк рф с нами хорошо по многим причинам: интересные проекты и возможность проводить эксперименты; планерки на открытом воздухе; коллектив, в котором уважают личные границы и мнение человека (если бы сами могли к себе устроиться, то сделали бы это); корпоративы, настольные игры и вкусняшки прилагаются. бонус профессионалам готовы обсудить индивидуальные условия работы для особо опытных кандидатов. что делать, если не уверены в своих силах знаниях? высылайте резюме с кратким письмом, из которого мы сможем понять ваши сильные стороны. некоторых мы сможем принять на стажировку. напоследок— пара слов о «ремарк». работаем с 2007 года. выполнили 300+ проектов. есть интересные результаты. — топ-5 интегратор crm в урфо — лидер продаж 1с-битрикс №20 в россии в 2014 году; — дважды лидер продаж готовых решений 1с-битрикс в россии; — организатор более 25 семинаров в тюмени; — команда по парусному спорту; — автор популярного в мире чат-бота в маркетплейсе битрикс24: crmbot; — автор сервиса докс.онлайн. среди наших клиентов: застройщики гк «тис», «меридиан» «б-72», «сибстройсервис», «4d development», пск «дом», «жби-5», «иссс», «строймир», «отделочник-20»; сетевой ритейл «строительный двор», «крепыж», «южный», «bona dea», «арсенал+», «podari-ka», «disney», «samsung», «lego», «dock store»; автодилер «базис-моторс»; агрохолдинг «юбилейный»; ресторанный холдинг «максим», инвестиционное агентство тюменской области и другие проекты.",веб-программистbackend-разработчик,Тюмень,35000.0,80000.0,Ремарк,2019-10-10T07:52:36+0300,between1And3,full,fullDay,PHP|HTML|JavaScript|MySQL|CSS|jQuery|SQL|CSS3|HTML5|1С-Битрикс|PHP5|ООП|Bootstrap
12,12,,,,"внимание, работа в it мы - компания click, ищем талантливых и амбициозных людей к нам в dream team. очень срочно нужна свежая кровь! сфера деятельности - интернет реклама. обязательно свободное владение английским языком; знание любых других иностранных языков только приветствуется, т.к. мы работаем со всеми регионами мира. занимаемся привлечением новых партнеров по всему миру. опыт работы в маркетинге, рекламе или it будет вашим преимуществом. личные качества - ответственность, обучаемость, стрессоустойчивость, коммуникабельность, пунктуальность, внимательность к деталям, способность работать с большими объемами данных. готовность быть на связи в нерабочее время. график работы с 10:00 до 19:00\11:00 до 20.00\12:00 до 21:00 заработная плата оклад 35000+ 4200 компенсация питания.после испытательного срока добавляем %. официальное оформление по тк рф; испытательный срок - 1-3 месяца (по результатам работы). комфортные условия работы: крутой офис на м.&quot;петроградская&quot;; оборудованное рабочее место, выделенные зоны отдыха, фрукты, печенье и йогурты всегда на кухне. развитая корпоративная культура, каждую последнюю пятницу месяца - веселые корпоративы; мы заботимся о своих сотрудниках и предоставляем дмс; в общем, если вы мечтали работать в современной it компании , иметь возможность хорошо зарабатывать и профессионально расти, кидайте резюме.",начинающийспециалист(itмаркетингпривлечениепартнеров),Санкт-Петербург,40000.0,80000.0,Click,2019-09-20T11:30:48+0300,noExperience,full,fullDay,
295,295,"планирование‚ проведение и контроль мероприятий по интернет-маркетингу в интернет-магазине и сайтах компании ( тематика двери, лестницы) знания и использование инструментов web-аналитики для мониторинга и оценки эффективности каналов продвижения привлечение трафика‚ увеличение конверсии лидогенерация‚ работа по всем основным каналам: интернет-маркетинг‚ email-маркетинг‚ контент-маркетинг‚ smm. аудит и аналитика метрик сайта‚ трафика. разработка и реализация предложений по улучшению работы сайта (юзабилити‚ внедрение новых функций‚ повышение конверсии). предоставление регулярной отчетности о проделанной работе работа с системами аналитики яндекс метрика и гугл аналитикс. seo оптимизация; (через seo пульт) есть контент менеджер, копирайтер и программист на аутсорсинге. умение руководить ими всеми и ставить задачи.",заработная плата от 40 000 руб. до 80 000 в зависимости от опыта работы‚ по итогам собеседования работа в офисе компании,"опыт работы в сфере коммуникаций знание принципов интернет-маркетинга ответственность‚ внимание к деталям подтвержденный опыт работы интернет-маркетологом понимание принципов seo‚ smm‚ контекстной рекламы‚ контент маркетинга. умение писать тз для программистов, копирайтеров, дизайнеров и т.д. опыт эффективной лидогенерации грамотная письменная речь. коммуникабельность заработная плата от 40 000 руб. до 80 000 в зависимости от опыта работы‚ по итогам собеседования работа в офисе компании","планирование‚ проведение и контроль мероприятий по интернет-маркетингу в интернет-магазине и сайтах компании ( тематика двери, лестницы) знания и использование инструментов web-аналитики для мониторинга и оценки эффективности каналов продвижения привлечение трафика‚ увеличение конверсии лидогенерация‚ работа по всем основным каналам: интернет-маркетинг‚ email-маркетинг‚ контент-маркетинг‚ smm. аудит и аналитика метрик сайта‚ трафика. разработка и реализация предложений по улучшению работы сайта (юзабилити‚ внедрение новых функций‚ повышение конверсии). предоставление регулярной отчетности о проделанной работе работа с системами аналитики яндекс метрика и гугл аналитикс. seo оптимизация; (через seo пульт) есть контент менеджер, копирайтер и программист на аутсорсинге. умение руководить ими всеми и ставить задачи. опыт работы в сфере коммуникаций знание принципов интернет-маркетинга ответственность‚ внимание к деталям подтвержденный опыт работы интернет-маркетологом понимание принципов seo‚ smm‚ контекстной рекламы‚ контент маркетинга. умение писать тз для программистов, копирайтеров, дизайнеров и т.д. опыт эффективной лидогенерации грамотная письменная речь. коммуникабельность заработная плата от 40 000 руб. до 80 000 в зависимости от опыта работы‚ по итогам собеседования работа в офисе компании",интернет-маркетолог,Санкт-Петербург,40000.0,80000.0,Завод Арлес,2019-10-01T11:48:36+0300,between1And3,full,fullDay,Контекстная реклама|Копирайтинг|Лидогенерация|Составление семантического ядра|Управление бюджетом|Email маркетинг|SEO оптимизация|SMM|SMS маркетинг|WEB аналитика|Аудит SMM|Аудит поисковой видимости сайта|Ведение групп в социальных сетях|Внешняя оптимизация сайта|Внутренний аудит контекстной рекламы|внешний аудит сайта|Внешний аудит контекстной рекламы|Ведение мобильных рекламных кампаний|Информационные рассылки|Интернет-реклама|SEO|Внутренняя оптимизация сайта|Google AdWords|Google Analytics|Яндекс.Директ|Яндекс.Метрика|Internet Marketing|Веб-аналитика|CMS Wordpress
613,613,"​​​​​ ведение и развитие проектов на разных этапах: от проектирования функционала до последующей поддержки работа в команде, постановка задач программистам и дизайнерам, контент-менеджерам, контроль их выполнения. прототипирование и написание технических заданий.","полный рабочий день (гибкое начало рабочего дня: 10:00-12:00) работа в офисе в 5 мин. от м. обводный канал адекватное руководство, перспективы роста дружный молодой коллектив из профессионалов в дизайне, программировании, управлении проектами. заработная плата по результатам собеседования с каждым кандидатом в зависимости от опыта и знаний. резюме без сопроводительного письма, которое расскажет о вашем опыте, не рассматриваются. также просьба сразу приложить ссылки на активные соцсети.","базовые знания в области веб-разработки (вы уже слышали, что такое html, cms, seo, юзабилити, прототип, макет и т.д.) желательно иметь опыт управления разработкой и поддержкой веб-проектов понимание используемых технологий, основ интернет-маркетинга, веб-аналитики понимание современных тенденций дизайна и юзабилити сайтов и приложений общая адекватность и способность находить общий язык со всеми - от руководителей до уборщиц грамотная письменная и устная речь высшее образование внимательность и аккуратность полный рабочий день (гибкое начало рабочего дня: 10:00-12:00) работа в офисе в 5 мин. от м. обводный канал адекватное руководство, перспективы роста дружный молодой коллектив из профессионалов в дизайне, программировании, управлении проектами. заработная плата по результатам собеседования с каждым кандидатом в зависимости от опыта и знаний. резюме без сопроводительного письма, которое расскажет о вашем опыте, не рассматриваются. также просьба сразу приложить ссылки на активные соцсети.","мы – интернет-агентство «айтроник», работаем с крупнейшими застройщиками санкт-петербурга и москвы, а также реализуем собственные интернет-проекты и веб-сервисы. ищем кандидата для работы над крупными проектами в области недвижимости (novostroy.su, novostroy.ru и другие), который будет помогать нам решать задачи в области веб-разработки и интернет-маркетинга. кандидатом на данную позицию мы видим себе человека со светлой головой и базовыми знаниями в нашей области. предполагается, что в процессе работы кандидат сможет приобрести недостающие знания. ​​​​​ ведение и развитие проектов на разных этапах: от проектирования функционала до последующей поддержки работа в команде, постановка задач программистам и дизайнерам, контент-менеджерам, контроль их выполнения. прототипирование и написание технических заданий. базовые знания в области веб-разработки (вы уже слышали, что такое html, cms, seo, юзабилити, прототип, макет и т.д.) желательно иметь опыт управления разработкой и поддержкой веб-проектов понимание используемых технологий, основ интернет-маркетинга, веб-аналитики понимание современных тенденций дизайна и юзабилити сайтов и приложений общая адекватность и способность находить общий язык со всеми - от руководителей до уборщиц грамотная письменная и устная речь высшее образование внимательность и аккуратность полный рабочий день (гибкое начало рабочего дня: 10:00-12:00) работа в офисе в 5 мин. от м. обводный канал адекватное руководство, перспективы роста дружный молодой коллектив из профессионалов в дизайне, программировании, управлении проектами. заработная плата по результатам собеседования с каждым кандидатом в зависимости от опыта и знаний. резюме без сопроводительного письма, которое расскажет о вашем опыте, не рассматриваются. также просьба сразу приложить ссылки на активные соцсети.",менеджеринтернет-проектовменеджер-стажер,Санкт-Петербург,40000.0,80000.0,Интернет-агентство Айтроник,2019-10-08T13:38:49+0300,between1And3,full,fullDay,SEO|Веб-дизайн|Управление интернет-проектами|Прототипирование|Разработка технических заданий|Постановка задач разработчикам|руководство командой разработчиков|Управление проектами
