,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
1365,1365,"проведение занятий и мастер-классов со школьниками по одному из трех направлений: &quot;программирование minecraft&quot;, &quot;создание игр в scratch&quot;, &quot;дизайн-мышление&quot;. создание доброжелательной и игровой атмосферы на занятиях, поддержка интереса к обучению у детей, балансировка между свободой и правилами. быть источником знаний, интереса к новому.","занятия по выходным дням. гибкий график, возможность совмещения с основной работой. работа по договору гпх. рабочие площадки в центре города. проведем обучение предмету, предоставим методички и раскладку по занятиям. для поднятия преподавательского духа первые занятия проходят совместно с наставником. команда молодых и активных единомышленников, которые ценят то, что они делают. заработная плата, зависящая от учебной нагрузки и количества проведенных мероприятий. зарплата от 4200 руб/мес (525 руб/час) при работе 8 часов в месяц.","знание одного или нескольких языков программирования. или опыт создания графических продуктов, интерфейсов. желание работать с детьми. умение выступать перед аудиторией, не теряться в общении с детьми. знание и любовь к компьютерным играм, программированию/дизайну в целом. умение работать в команде. интерес к трендам в it, gamedev, дизайне. занятия по выходным дням. гибкий график, возможность совмещения с основной работой. работа по договору гпх. рабочие площадки в центре города. проведем обучение предмету, предоставим методички и раскладку по занятиям. для поднятия преподавательского духа первые занятия проходят совместно с наставником. команда молодых и активных единомышленников, которые ценят то, что они делают. заработная плата, зависящая от учебной нагрузки и количества проведенных мероприятий. зарплата от 4200 руб/мес (525 руб/час) при работе 8 часов в месяц.","coddy — это современное неформальное образование для детей школьного возраста. у нас свободная форма одежды, свободный стиль преподавания, возможно выбрать удобное время для своих занятий, нет бумажной работы, нет строго ограничения по возрасту, полу и т.п., вместо начальника – помощник. главное, чтобы ты верил, знал и имел опыт в том, что преподаешь. желание развиваться. чтобы дети хотели вернуться к тебе на занятие. чтобы после окончания курса, они точно знали, где будут применять эти знания. занятия проходят по выходным, это возможность подработать. при этом мы ответственно относимся к своему делу, заранее готовимся к мастер-классам и урокам, продумываем план урока, поддерживаем коммуникацию с учениками и родителями. проведение занятий и мастер-классов со школьниками по одному из трех направлений: &quot;программирование minecraft&quot;, &quot;создание игр в scratch&quot;, &quot;дизайн-мышление&quot;. создание доброжелательной и игровой атмосферы на занятиях, поддержка интереса к обучению у детей, балансировка между свободой и правилами. быть источником знаний, интереса к новому. знание одного или нескольких языков программирования. или опыт создания графических продуктов, интерфейсов. желание работать с детьми. умение выступать перед аудиторией, не теряться в общении с детьми. знание и любовь к компьютерным играм, программированию/дизайну в целом. умение работать в команде. интерес к трендам в it, gamedev, дизайне. занятия по выходным дням. гибкий график, возможность совмещения с основной работой. работа по договору гпх. рабочие площадки в центре города. проведем обучение предмету, предоставим методички и раскладку по занятиям. для поднятия преподавательского духа первые занятия проходят совместно с наставником. команда молодых и активных единомышленников, которые ценят то, что они делают. заработная плата, зависящая от учебной нагрузки и количества проведенных мероприятий. зарплата от 4200 руб/мес (525 руб/час) при работе 8 часов в месяц. если тебе это интересно, чувствуешь силы — звони!",учительинформатики(игровоепрограммированиевеб-дизайн),Тюмень,4200.0,,Школа программирования для детей CODDY,2019-10-10T10:17:37+0300,noExperience,part,flexible,Преподаватель|Обучение|Публичные выступления|Творческое мышление|Работа с людьми|Веб-программирование|1С программирование|Web-дизайн|Разработка ПО|Выявление потребностей в обучении|Групповое обучение|PHP|CSS3|JavaScript|Python|Unity|Minecraft|Scratch|Дизайн-мышление
972,972,"верстка веб-интерфейсов и сайтов кроссбраузерно, адаптивно, под retina с использованием js-плагинов","обучение и работа на территории работодателя рабочий день с 10 до 19 часов по будням (возможно трудоустройство на неполный рабочий день) выплата заработной платы 2 раза в месяц - 10 и 25 числа месяца чай, кофе, печеньки, колбаса, фрукты и т. п.",,"ищем в команду начинающего, но талантливого html-верстальщика верстка веб-интерфейсов и сайтов кроссбраузерно, адаптивно, под retina с использованием js-плагинов резюме рассматриваются только с портфолио понимание принципов верстки желание учиться и повышать квалификацию (в том числе изучать профильную литературу) обучение и работа на территории работодателя рабочий день с 10 до 19 часов по будням (возможно трудоустройство на неполный рабочий день) выплата заработной платы 2 раза в месяц - 10 и 25 числа месяца чай, кофе, печеньки, колбаса, фрукты и т. п.",html-верстальщик(стажер),Санкт-Петербург,10000.0,,OpenStart,2019-10-08T17:30:38+0300,noExperience,probation,flexible,HTML|CSS|JavaScript|Git
1310,1310,ремонт и обслуживание оборудования боулинга; консультирование посетителей по игре; поддержка чистоты и порядка в зале.,оформление согласно тк рф оплачиваемые отпуска и больничные сменный график работы оклад+%,ответственность; обучаемость; желателен опыт работы с техникой/оборудованием. оформление согласно тк рф оплачиваемые отпуска и больничные сменный график работы оклад+%,ремонт и обслуживание оборудования боулинга; консультирование посетителей по игре; поддержка чистоты и порядка в зале. ответственность; обучаемость; желателен опыт работы с техникой/оборудованием. оформление согласно тк рф оплачиваемые отпуска и больничные сменный график работы оклад+%,механикбоулинга,Тюмень,14000.0,,УК АРСИБ холдинг групп,2019-09-19T14:39:26+0300,noExperience,full,shift,
475,475,"изучение материала, выполнение обучающих и тестовых заданий после прохождения курса обучения, выполнение задач по поддержке и доработке веб-сайтов","обучение и работа на территории работодателя рабочий день с 10 до 19 часов по будням выплата заработной платы 2 раза в месяц - 10 и 25 числа месяца чай, кофе, печеньки, колбаса, фрукты и т. п.","знать базовые функции и понимать принцип работы: php, mysql, javascript, html желание учиться обучение и работа на территории работодателя рабочий день с 10 до 19 часов по будням выплата заработной платы 2 раза в месяц - 10 и 25 числа месяца чай, кофе, печеньки, колбаса, фрукты и т. п.","изучение материала, выполнение обучающих и тестовых заданий после прохождения курса обучения, выполнение задач по поддержке и доработке веб-сайтов знать базовые функции и понимать принцип работы: php, mysql, javascript, html желание учиться обучение и работа на территории работодателя рабочий день с 10 до 19 часов по будням выплата заработной платы 2 раза в месяц - 10 и 25 числа месяца чай, кофе, печеньки, колбаса, фрукты и т. п.",стажер-программистphp,Санкт-Петербург,15000.0,,OpenStart,2019-09-30T11:24:10+0300,noExperience,probation,fullDay,PHP|MySQL
1272,1272,"участвовать в проектах внедрения и доработках пп 1с, типовых и не типовых конфигураций. обеспечение качественного внедрения программ 1c у клиентов компании. доработка конфигураций 1с, интеграция 1с с другими системами. создание собственных решений и разработок. участвовать в проектах внедрения и доработках пп 1с, типовых и не типовых конфигураций. сложные обновления, переносы данных, переходы на новые конфигурации.",,знание типовых конфигураций 1с 8 - желательно. стремление к профессиональному росту.,"первый бит — это динамичная it-компания , в которой каждый сотрудник развивается, решает сложные задачи и участвует в крупных проектах. компания «первый бит» является разработчиком it-решений для учета и управления. итогом более 22 лет работы стало создание крупнейшей региональной сети среди фирм-франчайзи 1с . наши клиенты: дэу као, госрыбцентр, кримм, холдинговая компания фонд, областная стоматологическая поликлиника, росводоканал, агентство недвижимости сова, тюменьнипинефть, группа компаний энко, застройщик скандиа девелопмент и многие другие известные компании. мы предлагаем: интересные задачи и крупные проекты. реальные возможности профессионального и карьерного роста. гибкая система обучения и повышение квалификации: корпоративные курсы, семинары, тренинги, возможность получить сертификаты 1с за счет компании. уровень заработной платы будет зависеть от готовности решать сложные, интересные и разноплановые задачи. график работы понедельник-пятница с 9.00 до 18.00. удобное месторасположение – наш офис находится в центре города. оформление по тк рф. в нашей команде вас встретит молодой коллектив профессионалов и единомышленников, развитая корпоративная культура. бесплатные чай, кофе – мелочь, но очень приятная :) каждый сможет найти здесь именно то, что ждёт от работы: общение, обмен идеями и опытом, стабильность, карьерный рост, вдохновение и воплощение своих профессиональных планов. начни работать там, где ты сможешь развиваться и при этом оставаться собой! участвовать в проектах внедрения и доработках пп 1с, типовых и не типовых конфигураций. обеспечение качественного внедрения программ 1c у клиентов компании. доработка конфигураций 1с, интеграция 1с с другими системами. создание собственных решений и разработок. участвовать в проектах внедрения и доработках пп 1с, типовых и не типовых конфигураций. сложные обновления, переносы данных, переходы на новые конфигурации. знание типовых конфигураций 1с 8 - желательно. стремление к профессиональному росту.",программист-стажер1с,Тюмень,15000.0,,Первый Бит,2019-10-09T14:30:52+0300,noExperience,full,fullDay,1С программирование|Пользователь ПК
1106,1106,,,,"первый бит — это динамичная it-компания , в которой каждый сотрудник развивается, решает сложные задачи и участвует в крупных проектах. компания «первый бит» является разработчиком it-решений для учета и управления. итогом более 22 лет работы стало создание крупнейшей региональной сети среди фирм-франчайзи 1с . наши клиенты: дэу као, госрыбцентр, кримм, холдинговая компания фонд, областная стоматологическая поликлиника, росводоканал, агентство недвижимости сова, тюменьнипинефть, группа компаний энко, застройщик скандиа девелопмент и многие другие известные компании. мы предлагаем: интересные задачи и крупные проекты. реальные возможности профессионального и карьерного роста. гибкая система обучения и повышение квалификации: корпоративные курсы, семинары, тренинги, возможность получить сертификаты 1с за счет компании. уровень заработной платы будет зависеть от готовности решать сложные, интересные и разноплановые задачи. график работы понедельник-пятница с 9.00 до 18.00. удобное месторасположение – наш офис находится в центре города. оформление по тк рф. в нашей команде вас встретит молодой коллектив профессионалов и единомышленников, развитая корпоративная культура. бесплатные чай, кофе – мелочь, но очень приятная :) каждый сможет найти здесь именно то, что ждёт от работы: общение, обмен идеями и опытом, стабильность, карьерный рост, вдохновение и воплощение своих профессиональных планов. начни работать там, где ты сможешь развиваться и при этом оставаться собой! задачи: сопровождение и обновление программных продуктов на территории клиента/ удаленно в офисе компании. установка и настройка программных продуктов. консультационная и техническая поддержка пользователей. обучение клиентов работе в программах. наши ожидания: уверенный пользователь пк. умение устанавливать контакт с незнакомыми людьми, вежливость. стремление к профессиональному развитию в it сфере.",сервис-инженер,Тюмень,20000.0,,Первый Бит,2019-10-09T15:10:09+0300,noExperience,full,fullDay,
1202,1202,"участие в разработке и обновлении сайтов верстка страниц по дизайн-макетам верстка писем для рассылки разработка функционала в рамках поставленных задач (css, html, js, php, jquery, 1c-битрикс) e-mail рассылка наполнение сайтов контентом выполнение задач по seo-оптимизации",,"знание css, html, js желание вникать в бизнес-логику выполняемых задач умение действовать самостоятельно плюсом будет знание php, jquery, 1c-битрикс приветствуется умение работать с git, composer ответственность, коммуникабельность, желание обучаться и вникать в задачи","компания digitalsmart приглашает на вакансию «младший web-программист» всех желающих, выпускников вузов, имеющих техническое образование и навыки программирования, а главное желающих профессионально развиваться в сфере web-разработки и программирования. участие в разработке и обновлении сайтов верстка страниц по дизайн-макетам верстка писем для рассылки разработка функционала в рамках поставленных задач (css, html, js, php, jquery, 1c-битрикс) e-mail рассылка наполнение сайтов контентом выполнение задач по seo-оптимизации знание css, html, js желание вникать в бизнес-логику выполняемых задач умение действовать самостоятельно плюсом будет знание php, jquery, 1c-битрикс приветствуется умение работать с git, composer ответственность, коммуникабельность, желание обучаться и вникать в задачи мы предлагаем: стажировка 2 недели; условия работы в рамках тк рф (28 дней оплачиваемого отпуска, больничные дни); профессиональный рост в дружном, молодом коллективе; работа с самыми масштабными проектами тюмени; офис в историческом центре города; оборудованное, комфортное рабочее место; график работы 5/2, с 10:00 до 19:00 на территории работодателя работа над интересными проектами возможность профессионального и карьерного роста наставничество и обучение от профессиональных разработчиков испытательный срок 2 месяца",младшийweb-программист,Тюмень,20000.0,,Диджитал Агентство,2019-09-13T09:20:32+0300,noExperience,full,fullDay,Веб-программирование
1246,1246,"- техническое обслуживание, ремонт, измерения на линейно - кабельных сооружениях (лкс); - проведение аварийно - восстановительных работ на лкс; - проведение анализа состояния лкс, осуществление мероприятий, направленных на повышение качества работы транспортной сети; - участие в подготовке данных для проектирования, строительства и приемки в эксплуатацию объектов связи магистральных и внутризоновых сетей связи; - вождение служебного автомобиля для выполнения служебных обязанностей.",- работа в крупнейшем цифровом провайдере россии; - готовы рассмотреть кандидатов без опыта; - оформление по тк рф; - график работы 5/2; - бесплатное корпоративное обучение.,- среднее профессиональное образование; - опыт работы в сфере связи; - наличие водительского удостоверения категории &quot;в&quot;; - непрерывный стаж вождения от 2 лет. - работа в крупнейшем цифровом провайдере россии; - готовы рассмотреть кандидатов без опыта; - оформление по тк рф; - график работы 5/2; - бесплатное корпоративное обучение.,"- техническое обслуживание, ремонт, измерения на линейно - кабельных сооружениях (лкс); - проведение аварийно - восстановительных работ на лкс; - проведение анализа состояния лкс, осуществление мероприятий, направленных на повышение качества работы транспортной сети; - участие в подготовке данных для проектирования, строительства и приемки в эксплуатацию объектов связи магистральных и внутризоновых сетей связи; - вождение служебного автомобиля для выполнения служебных обязанностей. - среднее профессиональное образование; - опыт работы в сфере связи; - наличие водительского удостоверения категории &quot;в&quot;; - непрерывный стаж вождения от 2 лет. - работа в крупнейшем цифровом провайдере россии; - готовы рассмотреть кандидатов без опыта; - оформление по тк рф; - график работы 5/2; - бесплатное корпоративное обучение.",электромеханиксвязи,Тюмень,20000.0,,Ростелеком,2019-10-03T15:07:25+0300,between1And3,full,fullDay,Водительское удостоверение категории B|Техническая эксплуатация|Строительство|Знание устройства автомобиля
1265,1265,,,,"одним из важных направлений по развитию кино и медиа в нашем регионе является доступный прокат фото- и видеооборудования для всех желающих тюмени. поэтому сейчас к нам в команду требуется техник. в твои задачи будет входить: — работа с клиентам: выдача оборудования, консультация — инвентаризация оборудования — уход за техникой — выявление технических неисправностей — формирование заявки на ремонт мы учитываем: — твои технические знания в сфере фото/видео/аудио аппаратуре и большую любовь к технике — самостоятельность в работе — требовательность к окружающему миру — умение работать и общаться с клиентами от нас: — рабочий график 2/2 с 10:00 до 22:00, однако нужно быть готовым к ненормированному рабочему дню — комфортный офис с собственной кухней, мини-библиотекой, зонами отдыха и кино-залом — выезды на природу, корпоративные вечеринки, обучение от компании и всё такое — работа, где реально можно получить опыт в сфере медиа и кино — участие в съёмочном процессе работ команды: фильмов, клипов, рекламных роликов жми «откликнуться», и становись частью молодой креативной команды профессионалов.",техник,Тюмень,20000.0,,Медиаполис,2019-10-08T16:13:40+0300,noExperience,full,fullDay,Пользователь ПК|Ответственное хранение
1269,1269,удаленная поддержка клиентов и сотрудников банка в области использования пластиковых карт; мониторинг и поддержка процессингового центра; прием и регистрация обращений юридических лиц по проблемам систем дистанционного банковского обслуживание; качественное консультирование клиентов и сотрудников банка,,"знание пк на уровне администратора; умение тактично и уважительно общаться с клиентами, стрессоустойчивость; способность к быстрому обучению. высшее или среднее специальное образование в сфере it","удаленная поддержка клиентов и сотрудников банка в области использования пластиковых карт; мониторинг и поддержка процессингового центра; прием и регистрация обращений юридических лиц по проблемам систем дистанционного банковского обслуживание; качественное консультирование клиентов и сотрудников банка знание пк на уровне администратора; умение тактично и уважительно общаться с клиентами, стрессоустойчивость; способность к быстрому обучению. высшее или среднее специальное образование в сфере it работа сменная, по графику, в том числе в ночное время, выходные и праздничные дни трудоустройство в штат банка, в соответствии с трудовым законодательством рф; возможность профессионального развития и обучения; корпоративное обучение; расширенный соц.пакет (материальная помощь, детские подарки к новому году); современное оборудованное рабочее место, офис в центре города. наличие фиксированного оклада и премии по результатам работ; для новых сотрудников имеется система наставничества на протяжении 3-х месяцев; условия по уровню заработной платы обсуждаются индивидуально при собеседовании; яркая корпоративная культура.",специалисттехнологическойподдержки,Тюмень,20000.0,,Запсибкомбанк,2019-09-24T08:02:09+0300,between1And3,full,fullDay,
