,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
1211,1211,"проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека java, spring.","официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.","java; spring framework (boot, rest, data-jpa); postgresql.","строительный двор - крупнейший поставщик строительных и отделочных материалов с 1993 года! 16 городов, 54 розничных магазинов, более 2 000 сотрудников. у нас микросервисная архитектура и agile подход к разработке, нет менеджеров и начальников, у нас есть самоорганизованные команды! открытость экспериментам и новым инструментам! мы любим web и у нас всегда есть интересные задачи! общие требования: опыт коммерческой разработки (не менее 1 года); опыт командной работы. java; spring framework (boot, rest, data-jpa); postgresql. будет плюсом: знание docker, kubernetes; опыт коммерческой разработки с использованием spring; опыт разработки микросервисов; приверженность к чистому коду и к чистой архитектуре; опыт работы с системами управления версий; умение тестировать код (junit, mockito); желание учиться, развиваться, решать бизнес задачи. проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека java, spring. официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании. стань частью нашей команды ! мы ждём твоё резюме!",java разработчик,Тюмень,30000.0,120000.0,Строительный Двор,2019-10-07T07:52:54+0300,between1And3,full,fullDay,Java|Spring Framework|PostgreSQL|Hibernate|Mockito|JUnit|Docker|Kubernetes
197,197,"поддержка приложений на базе oracle (mb, mq) в рамках компетенции; сопровождение шины передачи данных (mb, mq, ibus); анализ работы и профилактика отказов; взаимодействие (опосредованное) с разработчиками прикладного по; участие в разработке регламентирующей и технической документации; участие в крупном долгосрочном проекте по внедрению, разработке и развитию высоконагруженной системы.","оформление по тк рф, белая стабильная заработная плата 65-130 000 gross (в зависимости от компетенции) + премии оплачиваемый отпуск медицинская страховка дружный коллектив профессионалов.","знание java core (коллекции, рефлексия, исключения); знание принципов ооп и умение применять их на практике; знание sql; знание xml, json; понимание rest/soap; опыт работы с mq (activemq, rabbitmq, zeromq); опыт работы с одной из промышленных реляционных субд (oracle, db2, postgresql); опыт работы с распределенной системой управления версиями git/mercurial; опыт проектирования/разработки, внедрения интеграционных решений; опыт разработки на одном из продуктов ibm: websphere message broker/ibm integration bus websphere mq. оформление по тк рф, белая стабильная заработная плата 65-130 000 gross (в зависимости от компетенции) + премии оплачиваемый отпуск медицинская страховка дружный коллектив профессионалов.","поддержка приложений на базе oracle (mb, mq) в рамках компетенции; сопровождение шины передачи данных (mb, mq, ibus); анализ работы и профилактика отказов; взаимодействие (опосредованное) с разработчиками прикладного по; участие в разработке регламентирующей и технической документации; участие в крупном долгосрочном проекте по внедрению, разработке и развитию высоконагруженной системы. знание java core (коллекции, рефлексия, исключения); знание принципов ооп и умение применять их на практике; знание sql; знание xml, json; понимание rest/soap; опыт работы с mq (activemq, rabbitmq, zeromq); опыт работы с одной из промышленных реляционных субд (oracle, db2, postgresql); опыт работы с распределенной системой управления версиями git/mercurial; опыт проектирования/разработки, внедрения интеграционных решений; опыт разработки на одном из продуктов ibm: websphere message broker/ibm integration bus websphere mq. оформление по тк рф, белая стабильная заработная плата 65-130 000 gross (в зависимости от компетенции) + премии оплачиваемый отпуск медицинская страховка дружный коллектив профессионалов.",java разработчик,Санкт-Петербург,65000.0,130000.0,Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,2019-09-26T12:22:04+0300,between1And3,full,fullDay,
1080,1080,,"официальное трудоустройство конкурентная, белая заработная плата, бонусы по результатам проектов, регулярное повышение зп. гибкий график работы сложные и интересные задачи процесс разработки по scrum неформальная и уютная атмосфера корпоративные мероприятия возможность обмена опытом с коллегами из других офисов",,"citeck – российская компания, которая работает на рынке с 2010 года и на текущий момент имеет 5 центров разработки в рф. мы занимаемся автоматизацией бизнес-процессов для корпоративных заказчиков. все наши проекты мы делаем на основе собственного решения - citeck ecos, системы управления бизнес-процессами, кейсами и корпоративным контентом на базе alfresco ecm. наши клиенты – это крупные иностранные и российские компании, которые нуждаются в гибком современном решении. наша разработка уже используется в самых различных отраслях – логистика, страхование, банковский сектор, производство, энергетика и т.д. при этом у нас очень много планов по развитию продукта, поэтому мы ищем сотрудников, готовых к динамичной, ответственной и интересной работе. скучно точно не будет! мы открываем офис в санкт-петербурге и формирование команды в новом офисе начинаем с поиска java-разработчика, способного воплотить все наши идеи по развитию продукта в жизнь! обязательные требования: опыт разработки на java se умение разобраться в чужом коде знание технического английского языка, навыки чтения технической литературы на английском желательные требования: опыт работы с одной из субд (mysql, postgresql и тд.), знание sql опыт работы с javascript (желательно yui), html, css опыт использования spring, hibernate, одного из web-frameworks официальное трудоустройство конкурентная, белая заработная плата, бонусы по результатам проектов, регулярное повышение зп. гибкий график работы сложные и интересные задачи процесс разработки по scrum неформальная и уютная атмосфера корпоративные мероприятия возможность обмена опытом с коллегами из других офисов",java разработчик,Санкт-Петербург,80000.0,140000.0,Citeck,2019-09-17T15:00:29+0300,between1And3,full,fullDay,
914,914,"участие в коммерческих проектах по разработке, внедрению, сопровождению по",официальное оформление и заработная плата пятидневка с 10 до 19.,"язык: java 8 se фреймворки: знакомство со spring boot, spring data jpa / jdbc, spring security опыт и понимание принципов работы с orm hibernate или mybatis опыт с системами автоматической сборки maven (можно gradle) уверенное знание sql и опыт работы с реляционными бд (postgresql) умение применять в повседневной работе git или svn знакомство с linux, ansible, docker и навыки devops будут плюсом. приветствуются навыки в области фронтенда: html5, javascript (typescript), css3 опыт работы с jquery, фреймворками angularjs или react официальное оформление и заработная плата пятидневка с 10 до 19.","участие в коммерческих проектах по разработке, внедрению, сопровождению по язык: java 8 se фреймворки: знакомство со spring boot, spring data jpa / jdbc, spring security опыт и понимание принципов работы с orm hibernate или mybatis опыт с системами автоматической сборки maven (можно gradle) уверенное знание sql и опыт работы с реляционными бд (postgresql) умение применять в повседневной работе git или svn знакомство с linux, ansible, docker и навыки devops будут плюсом. приветствуются навыки в области фронтенда: html5, javascript (typescript), css3 опыт работы с jquery, фреймворками angularjs или react официальное оформление и заработная плата пятидневка с 10 до 19.",java разработчик,Санкт-Петербург,100000.0,,BCC Company,2019-09-30T09:42:09+0300,between1And3,full,fullDay,
590,590,,,,"о компании: сбербанк крупнейший банк в россии (88 млн активных клиентов), один из ведущих международных финансовых институтов. самый дорогой российский бренд, входящий в топ - 25 брендов мира. мы создаем новую технологическую платформу, которая обеспечивает безопасность клиентов с помощью данных и алгоритмов. наша цель: обеспечить простой, быстрый и «бесшовный» путь формирования единого учета банка. наш продукт и основная задача: развитие высоконагруженной платформы, обеспечивающей «бесшовный» процесса формирования единого учета банка, на основе учета продуктовых фабрик/систем корпоративного и розничного бизнеса. продукт позволит с одной стороны формировать единый баланс банка «одним движением руки», а с другой стороны сделает работу всех сотрудников банка максимально эффективной. задачи: трансформация учета продуктовых фабрик/систем; разработка высоконагруженного и многопоточного функционала по обработке млрд. транзакций; развитие интеграции продукта с другими системами банка; обеспечение линейного масштабирования, репликации данных; реализация нового функционала реконсиляции данных платформы. и сейчас мы ищем java -разработчика. мы ожидаем, что вы имеете: опыт работы разработчиком от 2-х лет опыт работы с java core, spring, jpa(hibernate), maven, sql и nosql опыт работы с инструментами – intellij idea, bitbucket, nginx, git; опыт использования инструментов devops (jenkins, jira, sonarqube, git и т.д.) большим плюсом будет практический опыт работы с agile/scrum методологией, искренний интерес к цифровым технологиям и разработке высоконагруженных систем. что нужно будет делать: проектировать и разрабатывать; работать в agile/scrum методологии в тесном взаимодействии с остальными членами команды; находить, предлагать и реализовывать оптимальные способы достижения требований; укладываться в согласованные и принятые вами сроки. что не нужно будет делать: программировать по заранее написанному кем-то тз; работать «в стол». работа у нас — это: команда профессионалов, готовых поддержать ваши инициативы; мощное железо, дополнительные мониторы и всё, что нужно для продуктивной работы; возможность работы с новыми технологиями; обучение за счёт компании; красивый и комфортный офис (ст. м. ладожская, ул. якорная 7а); дмс; прозрачная система бонусов и премий, достойная зарплата — размер обсудим на собеседовании.",java разработчик,Санкт-Петербург,150000.0,,Сбербанк,2019-09-27T11:02:31+0300,between3And6,full,fullDay,
87,87,,,,"мтс — одна из первых компаний в россии, которая внедряет полномасштабную практику непрерывного производства с упором на автоматизацию. присоединившись к нам, вы будете участвовать в создании продукта, позволяющего автоматизировать процесс тестирования, построенного с применением современных технологий (machine learning, ci/cd pipeline, os-level virtualization). мы всегда открыты для талантливых, энергичных и приверженных своему делу людей и сейчас ищем в свою команду разработчика java. присоединившись к нам, в ваши обязанности будет входить: разрабатывать и дорабатывать существующие продукты; делать код-ревью; участвовать в проектировании архитектуры; планировать и оценивать сроки выполнения и трудоемкость технических задач; писать unit-тесты; работать c применением практик гибкой и бережливой разработки. мы ожидаем, что у вас есть: опыт разработки на языке программирования java от 1,5 лет (дополнительные знания других яп является преимуществом); понимание принципов объектно-ориентированного программирования, шаблонов проектирования; опыт работы с maven, gradle, tomcat; опыт работы с системами контроля версий (git, tfsvc), средствами командной разработки (tfs, jira), системами непрерывной интеграции (jenkins, gitlab, teamcity); опыт работы с базами данных (sql, orm); опыт работы с асинхронным кодом. приветствуется: опыт использования практик в области гибкой разработки по (scrum/kanban, cmmi); широкий кругозор в области разработки по; опыт работы с контейнерами (docker, kubernetes, windows containers); опыт работы в oc linux. нужно ли знать иностранные языки? знание английского языка на уровне чтения тех. документации, будет вашим преимуществом. ждать ли овертайм? допустим гибкий график. овертаймы возможны, но не являются правилом. мы за оптимизацию рабочего времени. есть ли перспективы карьерного роста? конечно! у нас вы сможете вырасти не только в отличного технического специалиста, но и в классного руководителя или менеджера проектов. какие условия? каждый месяц - аванс и зарплата, дважды в год - премия. бонусом – корпоративная связь, отличная медицинская страховка, компенсация расходов на спорт, обучение в корпоративном университете и доступ к масштабной корпоративной библиотеке. наличие большого количества корпоративных мероприятий: вебинары, митапы, хакатоны и многое другое!",java разработчик,Санкт-Петербург,,,МТС,2019-09-16T08:50:40+0300,between3And6,full,fullDay,
276,276,,"стабильный и прозрачный доход: размер заработной платы обсуждается по итогам собеседования + премия по итогам года гибкий график работы: ты сможешь планировать время так, как удобно тебе и команде интересные и нетривиальные задачи, современный стек технологий среду для твоего неизбежного развития: у нас регулярно проходят тренинги, вебинары, митапы и демо-дни, у тебя будет доступ к бесплатным корпоративным библиотекам альпины, мифа и бизнес-изданий, оплата посещения профильных конференций и курсов, скидки на курсы иностранных языков чувство локтя: дружелюбная атмосфера и сплоченный коллектив, который всегда поможет заботу о твоем здоровье: программа дмс, куда входит стоматология и обслуживание в лучших клиниках города, страхование жизни, страхование выезжающих за рубеж, страхование от несчастных случаев, компенсация 10-ти дней больничного",,"как и с чем ты будешь работать приложения, которые масштабируются на все дистанционные каналы банка (интернет-банк, мобильные приложения, платёжные сервисы и многое другое) придется взаимодействовать с различными командами разработки, data science, поддержки и другими. поэтому необходимы хорошие навыки коммуникации или желание их развивать. архитектура не стоит на месте и развивается инкрементально (иногда и революционно по меркам legacy-систем). необходимо вносить свой вклад в развитие, оценивать старое и делать новое. что требуется от тебя отличные знания java 8+ знания spring, spring boot, docker умение использовать различные инструменты для тестирования кода и приложений различной сложности: junit, spock, testcontainers, mockito уверенные знания о работе unix-систем. любовь к ним и умение с ними работать знание принципов и шаблонов проектирования, нужно уметь обосновать свою точку зрения опыт работы с системами контроля версий (git) желание работать с большими и сложными проектами будет хорошо, если ты хочешь делать процесс разработки эффективным с помощью правильных инструментов (git, binary release management, ci/cd, scrum/kanban) знаешь, как работает spring/spring boot под капотом знаком с такими инструментами управления как ansible/salt/chef/etc считаешь, что работа разработчика не заканчивается на написании кода тобой движет желание овладеть используемыми инструментами полностью, залезть так глубоко, как только это возможно будет здорово, если знаешь и умеешь применять rxjava (reactor) и hystrix. а главное, знаешь когда их не нужно использовать. есть опыт работы с системами оркестрации и у тебя есть свой взгляд на то, как они должны работать умеешь и хочешь писать технические статьи. развиваться и развивать коллег/комьюнити. проводить как разовые тренинги, так и планировать долгие обучения если ты в чем-то гениален - не держи это в себе, поделись, и мы многое простим за это стабильный и прозрачный доход: размер заработной платы обсуждается по итогам собеседования + премия по итогам года гибкий график работы: ты сможешь планировать время так, как удобно тебе и команде интересные и нетривиальные задачи, современный стек технологий среду для твоего неизбежного развития: у нас регулярно проходят тренинги, вебинары, митапы и демо-дни, у тебя будет доступ к бесплатным корпоративным библиотекам альпины, мифа и бизнес-изданий, оплата посещения профильных конференций и курсов, скидки на курсы иностранных языков чувство локтя: дружелюбная атмосфера и сплоченный коллектив, который всегда поможет заботу о твоем здоровье: программа дмс, куда входит стоматология и обслуживание в лучших клиниках города, страхование жизни, страхование выезжающих за рубеж, страхование от несчастных случаев, компенсация 10-ти дней больничного",java разработчик,Санкт-Петербург,,,Альфа-Банк,2019-09-19T15:46:58+0300,between1And3,full,fullDay,Java|Spring Framework|SQL
338,338,разработка новой функциональности в продуктах разработка модульных тестов анализ и исправление дефектов контроль качества разрабатываемых технических решений оценка трудозатрат по запросам на изменение,оформление в соответствии с тк рф конкурентная заработная плата (обсуждается индивидуально с успешным кандидатом) дмс после испытательного срока доступ к корпоративной электронной библиотеке,"опыт работы разработчиком в it сфере от 1 года знание архитектурных принципов разработки программных продуктов знание java se/ee,jsp понимание принципов и шаблонов ооп, основных алгоритмов и структур данных понимание принципов rest опыт работы с системами контроля версий (git)","разработка новой функциональности в продуктах разработка модульных тестов анализ и исправление дефектов контроль качества разрабатываемых технических решений оценка трудозатрат по запросам на изменение опыт работы разработчиком в it сфере от 1 года знание архитектурных принципов разработки программных продуктов знание java se/ee,jsp понимание принципов и шаблонов ооп, основных алгоритмов и структур данных понимание принципов rest опыт работы с системами контроля версий (git) будет являться преимуществом: spring framework(mvc, core) знание pl/sql знание front end технологий (html, js, extjs, etc.) опыт работы c orm (mybatis, hibernate, spring data) оформление в соответствии с тк рф конкурентная заработная плата (обсуждается индивидуально с успешным кандидатом) дмс после испытательного срока доступ к корпоративной электронной библиотеке",java разработчик,Санкт-Петербург,,,СИГМА,2019-10-09T09:48:31+0300,between1And3,full,fullDay,
424,424,,,,"новое структурное подразделение &quot;почтовые технологии&quot; занимается разработкой и развитием it-продуктов внутри предприятия. многие заметили, что почта россии меняется к лучшему, и во многом это происходит благодаря активному развитию ит. мы открываем конкурс на вакансию в проект, на котором вы сможете внести непосредственный вклад в то, чтобы письма и посылки всегда приходили быстро и без потерь. мы ищем java разработчика в почтовые технологии, центр исследований и разработок почты россии. обеспечим интересными задачами: работа над созданием ис, позволяющей управлять сортировочным оборудованием. проектирование и разработка модулей ис. участие в проектировании архитектуры ис. обучение и тренинг разработчиков по технологическим вопросам и вопросам интеграции ис. участие в тестировании изменений в приложениях и компонентах ис. опыт и компетенции, которые для нас важны: опыт промышленной разработки на java. опыт проектирования и разработки распределённых ис. опыт работы с системами реального времени. опыт интеграции со scada системами. знание спецификации opc ua. знание стека протоколов tcp/ip. рады предложить: конкурентное вознаграждение. интересные задачи и масштабные проекты, реализация творческого потенциала. большие возможности для карьерного роста. работу в крупной стабильной компании на этапе ее глобальной трансформации. премирование по итогам года. полное соблюдение требований тк рф. социальный пакет: дмс и страхование при выезде за рубеж (по истечении трех месяцев с даты принятия на работу); корпоративные скидки на членство в фитнес-клубах, льготное страхование и путевки от туроператоров; специальные программы на банковские продукты. график работы 5/2,начало рабочего дня обсуждается индивидуально. вакансия открыта на конкурсной основе.",java разработчик,Санкт-Петербург,,,Почта России,2019-09-20T11:57:59+0300,between3And6,full,fullDay,Java|SQL|Java SE|ООП|Intellij IDEA
666,666,,,,"на данный момент наша команда ищет java - разработчика и разработчика мобильных приложений в проект госпочта. это абсолютно новое направление, которое формируется только сейчас. суть в том, что в настоящее время огромное количество документов из различных государственных органов пересылаются гражданину в бумажном виде. это дорого, долго и хлопотно для всех участников процесса. мы планируем сделать так, чтобы клиенты сбербанка могли получать документы из госорганов в электронном виде, используя сбербанк онлайн. это позволит им, в случае необходимости, мгновенно произвести необходимые платежи (штрафов, пошлин и пр.) наша команда занимается разработкой приложений enterprise-уровня, и поэтому мы: • развиваем наш продукт по продуктовым и технологическим фичам, • участвуем в оценке фич и анализе требований, • обеспечиваем интеграцию со всеми смежными системами/сервисами, • занимаемся оптимизацией и тюнингом производительности наших сервисов, • проводим code review и пишем тесты • используем ci/cd практики ждем командных игроков, которые: • хотят разрабатывать высоконагруженные приложения с многопоточной обработкой, • стремятся писать понятный и чистый код, • хотят участвовать в улучшении технологических решений. плюсом будет понимание предметной области «банки / финансовые организации», связанной специфики и/или работа на схожих по идее проектах, а также опыт коммерческой разработки. нам нужны следующие знания: • java 7,8 • j2ee, • spring framework, • jms, mq, kafka, • idea(eclipse), git, maven, • hibernate 4, jpa • oracle, • websphere application server, • ios sdk, objective-c, core data, apple hig, • core java, kotlin, сandroid sdk, rxjava 2, dagger 2, retrofit и пр. мы предлагаем : • конкурентные условия труда (белая заработная плата, оклад, премии), индивидуальный подход к каждому кандидату, • график работы - стандартный, гибкий подход к личным обстоятельствам, • большой и комфортный офис с бесплатным спортзалом, • программу по поддержанию и улучшению состояния здоровья - дмс • льготное кредитование в сбербанке - возможность пользоваться премиальными продуктами банка на очень специальных условиях, • материальная помощь - в радостных и не очень случаях, • широкий спектр скидок и привилегий от компаний-партнеров.",java разработчик,Санкт-Петербург,,,Сбербанк,2019-09-16T13:46:58+0300,noExperience,full,fullDay,
