salarys	38969 - 77848	1
		
days	avg	24.0
days	max	24.0
days	min	24.0
 		
experience	between1And3	1
  		
employment	full	1
   		
schedule	remote	1
    		
skills	Digital Marketing	1
skills	Project management	1
skills	Управление интернет-проектами	1
skills	People Management	1
skills	Маркетинговые стратегии	1
skills	Social Media Marketing	1
skills	Sales Management	1
skills	Интернет-реклама	1
skills	Account Management	1
skills	Internet Marketing	1
skills	Креативные концепции	1
skills	Маркетинговый анализ	1
     		
