salarys	NAN - NAN	1
		
days	avg	9.0
days	max	9.0
days	min	9.0
 		
experience	between3And6	1
  		
employment	full	1
   		
schedule	fullDay	1
    		
skills	Интернет-реклама	1
skills	Продвижение бренда	1
skills	Деловое общение	1
skills	Деловая коммуникация	1
skills	Аналитическое мышление	1
skills	Анализ данных	1
skills	Product Promotion	1
skills	Маркетинг	1
skills	Управление персоналом	1
skills	Управление интернет-ресурсами	1
skills	Управление продажами	1
skills	Работа в команде	1
skills	Развитие продаж	1
skills	Поиск и привлечение клиентов	1
skills	Ведение переговоров	1
     		
