,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
154,154,"разработка и проведение мероприятий по оптимизации веб-ресурса, продвижение сайта в сети интернет, увеличение объектов продаж путем привлечения клиентов через интернет осуществление подбора и анализ ключевых запросов повышение релевантности текстов сайта проведение мероприятий по увеличению рейтинга веб-ресурса с точки зрения поисковых машин следит за изменениями в алгоритмах поисковых машин и адаптирует сайт и адаптирует сайт к этим изменениям регулярно составляет отчеты по позициям сайта в каждом из поисковиков; по источникам трафика и поведению посетителей; seo-аудит проводит мероприятия, направленные на внутреннюю и внешнюю оптимизацию сайта проводит работу по корректировке юзабилити сайта анализ конкурентов и их ссылочной массы",пятидневная рабочая неделя с 9 до 18 оформление по тк рф белая заработная плата офис м.автово возможность карьерного роста,"высшее образование опыт работы по оптимизации и продвижению сайтов от 3 лет опыт работы по улучшению ui знание основ web-аналитики опыт подбора тематических релевантных фраз, в т.ч. по tf-idf умение анализировать и предоставлять аналитическую информацию актуальные знания принципов работы поисковых машин на 2019 год пятидневная рабочая неделя с 9 до 18 оформление по тк рф белая заработная плата офис м.автово возможность карьерного роста","разработка и проведение мероприятий по оптимизации веб-ресурса, продвижение сайта в сети интернет, увеличение объектов продаж путем привлечения клиентов через интернет осуществление подбора и анализ ключевых запросов повышение релевантности текстов сайта проведение мероприятий по увеличению рейтинга веб-ресурса с точки зрения поисковых машин следит за изменениями в алгоритмах поисковых машин и адаптирует сайт и адаптирует сайт к этим изменениям регулярно составляет отчеты по позициям сайта в каждом из поисковиков; по источникам трафика и поведению посетителей; seo-аудит проводит мероприятия, направленные на внутреннюю и внешнюю оптимизацию сайта проводит работу по корректировке юзабилити сайта анализ конкурентов и их ссылочной массы высшее образование опыт работы по оптимизации и продвижению сайтов от 3 лет опыт работы по улучшению ui знание основ web-аналитики опыт подбора тематических релевантных фраз, в т.ч. по tf-idf умение анализировать и предоставлять аналитическую информацию актуальные знания принципов работы поисковых машин на 2019 год пятидневная рабочая неделя с 9 до 18 оформление по тк рф белая заработная плата офис м.автово возможность карьерного роста",seo-специалист,Санкт-Петербург,45000.0,55000.0,Вотоня,2019-10-08T15:21:31+0300,between1And3,full,fullDay,SEO оптимизация|SEO|Поисковая оптимизация сайтов|Веб-аналитика|Аналитические исследования
305,305,"администратор сайта хорошо разбираться в факторах ранжирования для яндекс и google опыт работы с контекстной рекламой яндекс.метрика, google analytics успешное продвижение сайтов в топ яндекс‚ google внешняя и внутренняя поисковая оптимизация самообразование, стремление быть в курсе современных тенденций в seo коррекция фотографий (навык работы photoshop приветствуется) ведение групп и аккаунтов в социальных сетях запуск рекламной кампании, обработка и анализ результатов контроль использования бюджета рекламными компаниями я.директ и google adw. размещение информации и ведение рк на торговых площадках пульсцен, тиу, я.маркет. написание статей",график работы 5\2 трудоустройство молодой коллектив,"опыт в поисковом продвижении с примерами успешных проектов умение грамотно и правильно формировать семантическое ядро опыт работы на аналогичной должности от 1 года ответственный подход к выполнению задач знания поисковых систем, их факторов ранжирования и алгоритмов хорошее владение аналитическими инструментами: яндекс.метрика, google analytics, понимание метрик и умение составлять нужные отчеты генерация новых идей предложения по улучшению юзабилити сайтов график работы 5\2 трудоустройство молодой коллектив","удаленное сотрудничество не рассматриваем!!! работа в офисе работодателя! администратор сайта хорошо разбираться в факторах ранжирования для яндекс и google опыт работы с контекстной рекламой яндекс.метрика, google analytics успешное продвижение сайтов в топ яндекс‚ google внешняя и внутренняя поисковая оптимизация самообразование, стремление быть в курсе современных тенденций в seo коррекция фотографий (навык работы photoshop приветствуется) ведение групп и аккаунтов в социальных сетях запуск рекламной кампании, обработка и анализ результатов контроль использования бюджета рекламными компаниями я.директ и google adw. размещение информации и ведение рк на торговых площадках пульсцен, тиу, я.маркет. написание статей опыт в поисковом продвижении с примерами успешных проектов умение грамотно и правильно формировать семантическое ядро опыт работы на аналогичной должности от 1 года ответственный подход к выполнению задач знания поисковых систем, их факторов ранжирования и алгоритмов хорошее владение аналитическими инструментами: яндекс.метрика, google analytics, понимание метрик и умение составлять нужные отчеты генерация новых идей предложения по улучшению юзабилити сайтов график работы 5\2 трудоустройство молодой коллектив удаленное сотрудничество не рассматриваем",seo-специалист,Санкт-Петербург,40000.0,60000.0,Hookah Service BigMaks,2019-09-30T15:11:46+0300,between1And3,full,fullDay,SEO оптимизация|SEO|Яндекс.Метрика|Adobe Photoshop|Администрирование сайтов|SMM|Яндекс.Директ|Google Analytics
1096,1096,"проведение seo аудитов интернет-ресурсов компании с рекомендациями по их улучшению (приоритет – интернет-магазин); разработка стратегии продвижения интернет-магазина (анализ конкурентов / партнеров, выработка индивидуальных эффективных решений) с учетом регионов; сбор и кластеризация семантического ядра; составление технических заданий копирайтерам, контент-менеджерам и программистам, контроль их выполнения; работа над улучшением конверсии интернет-ресурсов с конечной целью увеличения продаж; подготовка и предоставление аналитических отчетов.",,"опыт seo-оптимизации от 3-х лет; актуальные знания в области seo- оптимизации, знание последних тенденций поисковых систем яндекс и google; знание и умение работать с системами веб-аналитики яндекс-метрика и google analitycs; техническая грамотность; желателен опыт работы с системами управления проектами; подтвержденный опыт успешной работы в проектах, связанных с e-commerce.","проведение seo аудитов интернет-ресурсов компании с рекомендациями по их улучшению (приоритет – интернет-магазин); разработка стратегии продвижения интернет-магазина (анализ конкурентов / партнеров, выработка индивидуальных эффективных решений) с учетом регионов; сбор и кластеризация семантического ядра; составление технических заданий копирайтерам, контент-менеджерам и программистам, контроль их выполнения; работа над улучшением конверсии интернет-ресурсов с конечной целью увеличения продаж; подготовка и предоставление аналитических отчетов. опыт seo-оптимизации от 3-х лет; актуальные знания в области seo- оптимизации, знание последних тенденций поисковых систем яндекс и google; знание и умение работать с системами веб-аналитики яндекс-метрика и google analitycs; техническая грамотность; желателен опыт работы с системами управления проектами; подтвержденный опыт успешной работы в проектах, связанных с e-commerce. необходимо предоставление портфолио (описание проектов, целей, задач, достигнутых результатов). мы предлагаем: работу в крупной стабильной компании; возможность профессионального развития и реализации своего потенциала; работу в офисе в районе ст. м. &quot;лесная&quot; (пешая доступность от метро, есть служебная развозка) ; график 5/2 с 9.00 до 18.00 или 10.00 до 19.00 (сб, вс. - выходные); уровень дохода обсуждается с успешным кандидатом; хорошие условия труда, кухня для сотрудников (чай, кофе - за счет компании); оформление в соответствии с тк рф.",seo-специалист,Санкт-Петербург,50000.0,70000.0,Сатурн,2019-10-04T17:55:50+0300,between1And3,full,fullDay,SEO оптимизация|Google Analytics|SEO|Управление интернет-проектами|E-Commerce
1305,1305,,"обучение за счет компании; официальное трудоустройство (оплачиваемые больничные и отпускные); полная занятость (пн-пт), нормированный рабочий день; своевременная выплата заработной платы; комфортный офис в центре города, оборудованное рабочее место, кухня, отсутствие строгого дресс-кода.","практический опыт работы в seo будет преимуществом; законченное образование. обучение за счет компании; официальное трудоустройство (оплачиваемые больничные и отпускные); полная занятость (пн-пт), нормированный рабочий день; своевременная выплата заработной платы; комфортный офис в центре города, оборудованное рабочее место, кухня, отсутствие строгого дресс-кода.","внимание! ищем человека в штат, для работы в офисе в г.тюмень ! технический аудит сайтов (4 действующих сайта), их последующая оптимизация и продвижение: работа над usability и конверсией сайта; внесение правок, дополнительных полезных опций на сайт; информационное наполнение и обновление контента сайта (работа с копирайтерами по написанию тематических статей, новостей). подбор качественных рекламных площадок для статей и ссылок; seo - продвижение по популярным запросам в поисковых системах в разрезе регионов присутствия компании; веб-аналитика (яндекс.метрика и google.analytics); поиск целевых площадок, сообществ в соц.сетях и размещение на них информации, способствующих улучшению имиджа компании (прямая реклама, работа на лояльность, ведение групп), smm-маркетинг; практический опыт работы в seo будет преимуществом; законченное образование. обучение за счет компании; официальное трудоустройство (оплачиваемые больничные и отпускные); полная занятость (пн-пт), нормированный рабочий день; своевременная выплата заработной платы; комфортный офис в центре города, оборудованное рабочее место, кухня, отсутствие строгого дресс-кода.",seo-специалист,Тюмень,40000.0,80000.0,РостБизнесКонсалт,2019-10-07T08:11:33+0300,between1And3,full,fullDay,SEO|Google Analytics|Интернет-реклама|Яндекс.Метрика|SMM
924,924,"внешняя и внутренняя оптимизация сайтов продвижение сайтов в пс яндекс и google работа одновременно с несколькими проектами проектирование структуры сайта составление семантического ядра под вч / сч / нч запросы с глубокой аналитикой (тип запроса, конкуренция, конкуренты, контент и т.д.) работа над поведенческими факторами разработка рекомендаций по улучшению юзабилити сайтов проведение аудитов: технический, конкурентный, ссылочный, аудит контента подготовка стратегии продвижения, ежемесячного плана работ, отчета по выполненным работам работа с сайтами на 1с-битрикс","работа в офисе 10 минут от метро &quot;петроградская&quot;, &quot;горьковская&quot; график работы с 10.00 до 19.00 занятость постоянная возможность финансового роста при соответствующих результатах и перспектива","навыки выполнения технического и seo аудита сайта, умение анализировать конкурентов в поисковой выдаче наличие реальных кейсов роста трафика навыки составления технических заданий разработчикам и копирайтерам и контроля их исполнения навыки прогнозирования трафика, планирования объемов работ и бюджетов на продвижение опыт работы в сфере seo от 1 года (преимущественно работа в агентстве) знание фильтров пс и стратегий выхода из под них знание факторов ранжирования сайтов и алгоритмов поисковых систем опыт работы с сервисами для веб-мастеров яндекс и google навыки работы с key collector, screaming frog seo spider tool, ahrefs, топвизор другими. грамотная речь и письмо. работа в офисе 10 минут от метро &quot;петроградская&quot;, &quot;горьковская&quot; график работы с 10.00 до 19.00 занятость постоянная возможность финансового роста при соответствующих результатах и перспектива","мы ищем грамотного seo специалиста для работы над клиентскими проектами нашей компании с перспективой роста до руководителя seo направления. внешняя и внутренняя оптимизация сайтов продвижение сайтов в пс яндекс и google работа одновременно с несколькими проектами проектирование структуры сайта составление семантического ядра под вч / сч / нч запросы с глубокой аналитикой (тип запроса, конкуренция, конкуренты, контент и т.д.) работа над поведенческими факторами разработка рекомендаций по улучшению юзабилити сайтов проведение аудитов: технический, конкурентный, ссылочный, аудит контента подготовка стратегии продвижения, ежемесячного плана работ, отчета по выполненным работам работа с сайтами на 1с-битрикс навыки выполнения технического и seo аудита сайта, умение анализировать конкурентов в поисковой выдаче наличие реальных кейсов роста трафика навыки составления технических заданий разработчикам и копирайтерам и контроля их исполнения навыки прогнозирования трафика, планирования объемов работ и бюджетов на продвижение опыт работы в сфере seo от 1 года (преимущественно работа в агентстве) знание фильтров пс и стратегий выхода из под них знание факторов ранжирования сайтов и алгоритмов поисковых систем опыт работы с сервисами для веб-мастеров яндекс и google навыки работы с key collector, screaming frog seo spider tool, ahrefs, топвизор другими. грамотная речь и письмо. работа в офисе 10 минут от метро &quot;петроградская&quot;, &quot;горьковская&quot; график работы с 10.00 до 19.00 занятость постоянная возможность финансового роста при соответствующих результатах и перспектива стать руководителем отдела seo.",seo-специалист,Санкт-Петербург,50000.0,80000.0,Мейкит,2019-09-16T16:11:33+0300,between1And3,full,fullDay,SEO оптимизация|Внешняя оптимизация сайта|внешний аудит сайта|Аудит поисковой видимости сайта|внутренний аудит сайта|SEO|1С-Битрикс|Яндекс.Метрика|Веб-аналитика|SEO-копирайтинг|Поисковая оптимизация сайтов|Составление семантического ядра
104,104,"разработка стратегии продвижения сайта (анализ конкурентов, выработка индивидуальных эффективных решений); составление грамотных технических заданий копирайтерам и программистам; работа над улучшением конверсии сайта и поведенческих факторов; сбор и кластеризация семантического ядра.","заработная плата по результатам собеседования: от 60 000 рублей и выше в зависимости от опыта и знаний кандидата; на этапе испытательного срока (3 месяца) 60 000 – 70 000 рублей; гибкий график работы для «жаворонков» и «сов», пятидневная рабочая неделя по 8 часов в день; индексация заработной платы; бонусы (на выбор: питание, английский или тренажерный зал и т.п.); работа в молодом, творческом, доброжелательном коллективе профессионалов;","опыт seo-оптимизации от 3-х лет; знание последних тенденций поисковой системы google; техническая грамотность. понимать как функционируют сайты, cms и веб-сервера; актуальные знания в области seo- оптимизации; опыт использования современных инструментов (alexa, ryte); знание английского языка; опыт работы с wordpress будет вашим преимуществом; желателен опыт работы с системами управления проектами (jira). заработная плата по результатам собеседования: от 60 000 рублей и выше в зависимости от опыта и знаний кандидата; на этапе испытательного срока (3 месяца) 60 000 – 70 000 рублей; гибкий график работы для «жаворонков» и «сов», пятидневная рабочая неделя по 8 часов в день; индексация заработной платы; бонусы (на выбор: питание, английский или тренажерный зал и т.п.); работа в молодом, творческом, доброжелательном коллективе профессионалов;","разработка стратегии продвижения сайта (анализ конкурентов, выработка индивидуальных эффективных решений); составление грамотных технических заданий копирайтерам и программистам; работа над улучшением конверсии сайта и поведенческих факторов; сбор и кластеризация семантического ядра. опыт seo-оптимизации от 3-х лет; знание последних тенденций поисковой системы google; техническая грамотность. понимать как функционируют сайты, cms и веб-сервера; актуальные знания в области seo- оптимизации; опыт использования современных инструментов (alexa, ryte); знание английского языка; опыт работы с wordpress будет вашим преимуществом; желателен опыт работы с системами управления проектами (jira). заработная плата по результатам собеседования: от 60 000 рублей и выше в зависимости от опыта и знаний кандидата; на этапе испытательного срока (3 месяца) 60 000 – 70 000 рублей; гибкий график работы для «жаворонков» и «сов», пятидневная рабочая неделя по 8 часов в день; индексация заработной платы; бонусы (на выбор: питание, английский или тренажерный зал и т.п.); работа в молодом, творческом, доброжелательном коллективе профессионалов; будем рады вашему отклику! кандидатов рассматриваем по конкурсу резюме. подходящим кандидатам на электронную почту будет направлено тестовое задание. спасибо за прочтение. чтобы нам понять, что вы внимательны и серьёзно настроены попасть в нашу команду, начните сопроводительное письмо с фразы: “я ознакомился(лась) с текстом вакансии и готов(а) выполнить тестовое задание!&quot;",seo-специалист,Санкт-Петербург,60000.0,100000.0,VMedia Inc.,2019-10-10T12:46:20+0300,between3And6,full,fullDay,
380,380,проведение технического аудита сайта сбор и кластеризация семантического ядра внутренняя оптимизация сайта внешняя оптимизация сайта проведение аудита поисковой выдачи помощь в составлении кп менеджерам по продажам.,"5-дневная рабочая неделя 10:00-19:00 (пт 18:00), обеденный перерыв. оклад","знание html/html5, css. ответственность желание и умение учиться. 5-дневная рабочая неделя 10:00-19:00 (пт 18:00), обеденный перерыв. оклад","компания webinmedia приглашает сотрудника на должность seo оптимизатор, с опытом и без опыта на полное обучение. проведение технического аудита сайта сбор и кластеризация семантического ядра внутренняя оптимизация сайта внешняя оптимизация сайта проведение аудита поисковой выдачи помощь в составлении кп менеджерам по продажам. знание html/html5, css. ответственность желание и умение учиться. 5-дневная рабочая неделя 10:00-19:00 (пт 18:00), обеденный перерыв. оклад 40000 руб. + премии за выполнение kpi работа в современном офисе, новый бизнес-центр в 15 минут хотьбы от ст.м. василеостровская, приморская. комфортно оборудованное персональное рабочее место, бесплатно чай/кофе. возможность проходить необходимое дополнительное обучение за счет компании. возможность профессионального развития в опытной и перспективной компании. возможность участвовать в обучении, круглых столах и крупных семинарах от компании. молодой, дружный коллектив.",seo-специалист,Санкт-Петербург,40000.0,120000.0,Жарков Василий Владимирович,2019-09-24T17:08:39+0300,noExperience,full,fullDay,Внешняя оптимизация сайта|Поисковая оптимизация мобильной версии сайта|Создание систем перелинковок|Технический аудит сайта|Формирование технического задания для разработки|Аудит поисковой видимости сайта|Работа с доменами|регистрация сайта в каталогах|Зарубежные поисковые системы|SEO оптимизация|Российские поисковые системы|Внутренняя оптимизация сайта|Копирайтинг|Составление семантического ядра|внешний аудит сайта|внутренний аудит сайта
1108,1108,анализ сферы деятельности клиента; анализ конкурентов; технический аудит сайтов; работа с внутренней оптимизацией работа с сервисами колл-трекинга и сквозной аналитики; изучение поведения пользователей на сайте и подготовка гипотез для повышения конверсии.,"обучение работе с seo обучение работе с аналитическими сервисами; приобретение востребованной и перспективной профессии; по окончании стажировки (3 мес.) - аттестация и зачисление в штат; после зачисления в штат - значительный рост заработной платы; для кандидатов с опытом, срок стажировки может быть сокращён.","готовность работать на результат; восприимчивость к обучению; внимательность по отношению к деталям; умение работать в команде; любознательность, желание обучаться; ответственность и пунктуальность; вы всерьез интересуетесь интернет-маркетингом, любите получать новые навыки, стремитесь стать экспертом в любимом деле. обучение работе с seo обучение работе с аналитическими сервисами; приобретение востребованной и перспективной профессии; по окончании стажировки (3 мес.) - аттестация и зачисление в штат; после зачисления в штат - значительный рост заработной платы; для кандидатов с опытом, срок стажировки может быть сокращён.","пора искать работу:) обучаем перспективной и востребованной профессии – seo-специалист. анализ сферы деятельности клиента; анализ конкурентов; технический аудит сайтов; работа с внутренней оптимизацией работа с сервисами колл-трекинга и сквозной аналитики; изучение поведения пользователей на сайте и подготовка гипотез для повышения конверсии. готовность работать на результат; восприимчивость к обучению; внимательность по отношению к деталям; умение работать в команде; любознательность, желание обучаться; ответственность и пунктуальность; вы всерьез интересуетесь интернет-маркетингом, любите получать новые навыки, стремитесь стать экспертом в любимом деле. обучение работе с seo обучение работе с аналитическими сервисами; приобретение востребованной и перспективной профессии; по окончании стажировки (3 мес.) - аттестация и зачисление в штат; после зачисления в штат - значительный рост заработной платы; для кандидатов с опытом, срок стажировки может быть сокращён.",seo-специалист,Тюмень,30000.0,,АйСи Графикс,2019-09-23T08:01:39+0300,noExperience,full,fullDay,
229,229,,,,"внимание! ищем специалиста на удаленную работу. в молодую и динамично развивающуюся веб-студию требуется удаленный seo-специалист. какие виды работ нужно будет делать: сбор семантического ядра; работа семантическим ядром (чистка, кластеризация, анализ запросов, исключение неподходящих, разделение информационных и коммерческих запросов); проведение работ по оптимизации страниц сайтов (работы с семантикой, составление мета-тегов, составление тз на копирайт, проведение анализа и внесение корректировок в оптимизацию); мониторинг позиций сайтов в поисковых системах, анализ, корректировка оптимизации продвигаемых страниц; проведение работ с ссылочной массой сайтов; проведение аудита сайтов клиентов, выявление ошибок, составление отчетов с перечнем ошибок, требующих исправления; исключение ошибок, выявленных при аудите сайта (те, которые не требуют вмешательства программистов); проведение анализа сайтов клиентов; проведение анализа сайтов конкурентов; подготовка отчетов. ты подходишь нам, если ты: внимательный, усидчивый и грамотный; имеешь высокую скорость и качество работы; умеешь работать с сервисами поисковых систем: яндекс webmaster и google webmaster, яндекс.метрика, google analytics; умеешь работать с программами и сервисами из списка (знание всех не обязательно, мы перечислили какими пользуемся мы): яндекс wordstat, topvisor.ru, keycollector, keyassort, just-magic.org, overlead.me, netpeak spider, screaming frog, checktrust.ru, miralinks.ru, gogetlinks.net, kwork.ru; имеешь актуальные знания технологий и тонкостей seo-оптимизации и продвижения; понимаешь принципы работы поисковых машин; имеешь опыт работы в сфере продвижения от 2-х лет; можешь продемонстрировать успешные кейсы результатов продвижения; говоря о внимательности, в отклике укажи кодовое слово &quot;высота&quot;) дополнительным плюсом будет, если ты: имеешь базовые знания html, css, верстки сайтов; знаком с системами управления сайтами: modx, 1c-bitrix, wordpress;",seo-специалист,Санкт-Петербург,35000.0,,Восьмая высота,2019-09-19T16:11:34+0300,between1And3,part,remote,Составление семантического ядра|SEO оптимизация|Формирование технического задания для разработки|Аудит поисковой видимости сайта|внешний аудит сайта|Внешняя оптимизация сайта|внутренний аудит сайта|Информационные сайты|Навигационные сайты|работа с биржами|Российские поисковые системы|Создание систем перелинковок|Транзакционные сайты|регистрация сайта в каталогах|Технический аудит сайта|Внутренняя оптимизация сайта|HTML|CSS|SEO|PHP|HTML5|CSS3|CMS Wordpress|Joomla CMS|1С-Битрикс|Яндекс.Метрика|Google Analytics
1270,1270,"• внутренняя и внешняя seo оптимизация • составление и внедрение рекомендаций по изменению сайта с целью улучшения индексации, привлечения трафика, оптимизации кода и внутренней структуры сайта, юзабилити сайта и повышению конверсии • постановка заданий и принятие заданий на создание оптимизированных текстов • работа с а/б тестами, повышение % конверсии сайта (в связке с программистом) • мониторинг позиций в поисковых системах • аналитика, составление ежемесячных аналитических отчетов по результатам продвижения сайта, срез по позициям • сбор семантического ядра + кластеризация, распределением по посадочным страницам, анализ частотности запросов • участие в мозговых штурмах и исследованиях • закупка ссылок • работа с контентом; • анализ конкурентов.",,"• понимание современных алгоритмов поисковых систем • уверенное использование яндекс.метрики, яндекс.вебмастера, google search console, google analytics • знание базового html/css обязательно • опыт работы в seo — от 3-х лет • опыт вывода сайта в топы поисковых систем • опыт работы в режиме многозадачности • хорошие знания основных систем аналитики","приглашаем в наш молодой коллектив талантливого и опытного seo-специалиста. мы ищем ответственного специалиста, который работает на результат, а не просто отсиживается в офисе. проекты компании растут, ты будешь работать c текущими и новыми: два сайта компании, которые входят в топ-10 по россии. развитие и доработка корпоративной crm-системы. участие в крупных российских и международных проектах. твою работу будет видеть вся страна и не только! • внутренняя и внешняя seo оптимизация • составление и внедрение рекомендаций по изменению сайта с целью улучшения индексации, привлечения трафика, оптимизации кода и внутренней структуры сайта, юзабилити сайта и повышению конверсии • постановка заданий и принятие заданий на создание оптимизированных текстов • работа с а/б тестами, повышение % конверсии сайта (в связке с программистом) • мониторинг позиций в поисковых системах • аналитика, составление ежемесячных аналитических отчетов по результатам продвижения сайта, срез по позициям • сбор семантического ядра + кластеризация, распределением по посадочным страницам, анализ частотности запросов • участие в мозговых штурмах и исследованиях • закупка ссылок • работа с контентом; • анализ конкурентов. • понимание современных алгоритмов поисковых систем • уверенное использование яндекс.метрики, яндекс.вебмастера, google search console, google analytics • знание базового html/css обязательно • опыт работы в seo — от 3-х лет • опыт вывода сайта в топы поисковых систем • опыт работы в режиме многозадачности • хорошие знания основных систем аналитики работая с нами, ты получишь: официальное оформление в штат молодой, но стабильной компании (на рынке с 2014 г.). интересные проекты в высокоприбыльных сферах. условия для профессионального и финансового роста. отличную работу мы поощряем обучением за счет компании. оплачиваем результаты, а не просто время, проведенное в офисе (по системе kpi). современный офис в деловом центре города и комфортабельное рабочее место с шустрым компьютером. гибкий график, который можно скорректировать, сместить обед и даже при необходимости поработать из дома. доход от 50 000 рублей, но! условия обсуждаются и мы смотрим на результаты p.s. мы ищем человека, который действительно заряжен и любит своё дело. хочет прокачиваться не только в деньгах, а также в навыках и бренде. если ты такой - давай к нам",seo-специалист,Тюмень,50000.0,,АРКОНС ГРУПП,2019-10-09T09:38:23+0300,between1And3,full,fullDay,SEO|Google Analytics|Яндекс.Метрика|CSS|HTML|Google AdWords|Веб-аналитика
