salarys	NAN - NAN	1
		
days	avg	16.0
days	max	16.0
days	min	16.0
 		
experience	between1And3	1
  		
employment	full	1
   		
schedule	fullDay	1
    		
skills	Анимация	1
skills	Adobe Photoshop	1
skills	Flash Animation	1
skills	HTML5	1
skills	HTML	1
skills	Adobe Illustrator	1
skills	Adobe After Effect	1
skills	Adobe Premier Pro	1
skills	CSS	1
skills	Adobe Animate	1
skills	Видеомонтаж	1
skills	Web Design	1
skills	Design	1
skills	Video Production	1
skills	Баннерная реклама	1
skills	Графический дизайн	1
skills	Graphic Design	1
     		
