salarys	38969 - 77848	1
salarys	NAN - NAN	2
		
days	avg	14.0
days	max	30.0
days	min	5.0
 		
experience	between1And3	2
experience	between3And6	1
  		
employment	full	3
   		
schedule	fullDay	3
    		
skills	TCP/IP	1
skills	Wifi networks	1
skills	ВОЛС	1
skills	Мобильность	1
skills	Настройка ПК	1
skills	D-link	1
skills	Cisco	1
skills	Инженер по эксплуатации	1
skills	AutoCAD	1
skills	MS Visio	1
skills	Ведение переговоров	1
skills	Управление проектами	1
skills	Деловая переписка	1
skills	Деловая коммуникация	1
skills	LAN	1
skills	Техническая поддержка	1
skills	Аналитическое мышление	1
skills	Windows Os	1
skills	Windows Vista	1
     		
