salarys	38969 - 77848	6
salarys	NAN - NAN	5
		
days	avg	6.909090909090909
days	max	24.0
days	min	0.0
 		
experience	between1And3	9
experience	noExperience	2
  		
employment	full	10
employment	part	1
   		
schedule	fullDay	8
schedule	shift	2
schedule	flexible	1
    		
skills	Exсel	1
skills	Ведение переговоров	1
skills	Работа в команде	2
skills	Грамотная речь	2
skills	Helpdesk	3
skills	Техническая поддержка	2
skills	Консультирование клиентов по телефону	2
skills	входящие звонки	1
skills	Информационные технологии	1
skills	Настройка сетевых подключений	3
skills	TCP/IP	1
skills	Настройка ПК	3
skills	Настройка ПО	3
skills	Windows 7	3
skills	Linux	1
skills	Ведение документации	1
skills	Английский язык	1
skills	Ремонт ПК	1
     		
