,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
639,639,"поддержка рабочих мест пользователей (пк, мобильные устройства, оргтехника, сетевое оборудование) на площадках сбербанка в санкт-петербурге.","стабильную работу в одной из самых крупных сервисных компаний страны; официальное оформление по тк рф; возможность карьерного и профессионального роста; премии по итогам работы; подключение к программе дмс; корпоративное страхование жизни, здоровья, страхование от несчастных случаев, страхование при выезде за границу; корпоративные мероприятия и другие активности; работу в отличном коллективе, где важно мнение каждого члена команды; график :пн.-пт. с 9.00-18.00.","желателен опыт работы в it-сфере; знание операционной системы windows и ее команд; отличный пользователь пк. стабильную работу в одной из самых крупных сервисных компаний страны; официальное оформление по тк рф; возможность карьерного и профессионального роста; премии по итогам работы; подключение к программе дмс; корпоративное страхование жизни, здоровья, страхование от несчастных случаев, страхование при выезде за границу; корпоративные мероприятия и другие активности; работу в отличном коллективе, где важно мнение каждого члена команды; график :пн.-пт. с 9.00-18.00.","поддержка рабочих мест пользователей (пк, мобильные устройства, оргтехника, сетевое оборудование) на площадках сбербанка в санкт-петербурге. желателен опыт работы в it-сфере; знание операционной системы windows и ее команд; отличный пользователь пк. стабильную работу в одной из самых крупных сервисных компаний страны; официальное оформление по тк рф; возможность карьерного и профессионального роста; премии по итогам работы; подключение к программе дмс; корпоративное страхование жизни, здоровья, страхование от несчастных случаев, страхование при выезде за границу; корпоративные мероприятия и другие активности; работу в отличном коллективе, где важно мнение каждого члена команды; график :пн.-пт. с 9.00-18.00.",инженертехническойподдержки,Санкт-Петербург,37600.0,44400.0,Сбербанк-Сервис,2019-10-04T15:11:13+0300,noExperience,full,fullDay,
492,492,мониторинг работоспособности и обеспечение бесперебойной работы сети связи. прием и обработка в helpdesk-системах заявок на аварийно-восстановительные работы. анализ и закрытие заявок после их выполнения. распределение аварийных заявок между подразделениями компании. координация работы аварийных бригад в ночное время и выходные дни. удалённая техническая поддержка бригад при проведении аварийно-восстановительных работ. заполнение различных форм отчетности по выполняемым работам. ведение учета использованного при выполнении работ оборудования.,,"образование высшее профессиональное (желательно техническое); знание сетевых технологий; аналогичный опыт работы (техническая поддержка) будет вашим преимуществом; способность к работе с большими массивами данных; умение общаться с людьми; усидчивость при заполнении большого количества различных таблиц в excel. внимательность при заполнении форм отчетности. аккуратность, исполнительность, ответственность и пунктуальность.","мониторинг работоспособности и обеспечение бесперебойной работы сети связи. прием и обработка в helpdesk-системах заявок на аварийно-восстановительные работы. анализ и закрытие заявок после их выполнения. распределение аварийных заявок между подразделениями компании. координация работы аварийных бригад в ночное время и выходные дни. удалённая техническая поддержка бригад при проведении аварийно-восстановительных работ. заполнение различных форм отчетности по выполняемым работам. ведение учета использованного при выполнении работ оборудования. образование высшее профессиональное (желательно техническое); знание сетевых технологий; аналогичный опыт работы (техническая поддержка) будет вашим преимуществом; способность к работе с большими массивами данных; умение общаться с людьми; усидчивость при заполнении большого количества различных таблиц в excel. внимательность при заполнении форм отчетности. аккуратность, исполнительность, ответственность и пунктуальность. график работы-смены с 8-30 до 21-30 и с 20-30 до 9-30;(день, ночь, 3 выходных). заработная плата 40 000 руб.(на испытательный срок 2 месяца), далее 45 000 руб.; оформление по тк рф; работа в стабильной, развивающейся компании; расположение офиса-10 мин. от ст. м. лесная,- м. выборгская",инженертехническойподдержки,Санкт-Петербург,45000.0,48000.0,Ария ТВ,2019-09-16T17:02:50+0300,between1And3,full,shift,Exсel|Ведение переговоров|Работа в команде|Грамотная речь
822,822,"— прием обращений пользователей системы (телефон, электронная почта, личное обращение). — регистрация обращений в виде тикетов (инциденты и запросы) в системе servicedesk по стандартизированным процедурам. — анализ обращений, удаленная диагностика и диагностика на месте. — разрешение инцидентов, связанных со стандартным по и оборудованием. — эскалация инцидентов на другие уровни поддержки. — обработка запросов согласно регламенту. — помощь в установке и настройке программного обеспечения. — контроль за выполнением и закрытием тикетов. ответственность за решение тикета и отслеживание его состояния. — взаимодействие с пользователем для разрешения тикетов. — рассылка оповещений по ит-проблемам, связанным с системой.",— сменный график работы (сутки через трое). — одна смена 7000 на руки — оформление будет проходить через нашу компанию (г. москва). - перед началом работы стажер проходит обучение,"— техническое образование. — опыт работы в ит-поддержке пользователей от 1 года (как преимущество, опыт работы в крупных международных компаниях). — клиентоориентированность и доброжелательность в общении с пользователями. — пунктуальность. — дисциплинированный и ответственный подход к работе. — английский язык: чтение документации, написание писем, редкое общение по телефону. — сменный график работы (сутки через трое). — одна смена 7000 на руки — оформление будет проходить через нашу компанию (г. москва). - перед началом работы стажер проходит обучение","работа в службе ит-поддержки крупной международной компании. в компании используется ms windows-инфраструктура: windows, office 365, outlook, teams. — прием обращений пользователей системы (телефон, электронная почта, личное обращение). — регистрация обращений в виде тикетов (инциденты и запросы) в системе servicedesk по стандартизированным процедурам. — анализ обращений, удаленная диагностика и диагностика на месте. — разрешение инцидентов, связанных со стандартным по и оборудованием. — эскалация инцидентов на другие уровни поддержки. — обработка запросов согласно регламенту. — помощь в установке и настройке программного обеспечения. — контроль за выполнением и закрытием тикетов. ответственность за решение тикета и отслеживание его состояния. — взаимодействие с пользователем для разрешения тикетов. — рассылка оповещений по ит-проблемам, связанным с системой. — техническое образование. — опыт работы в ит-поддержке пользователей от 1 года (как преимущество, опыт работы в крупных международных компаниях). — клиентоориентированность и доброжелательность в общении с пользователями. — пунктуальность. — дисциплинированный и ответственный подход к работе. — английский язык: чтение документации, написание писем, редкое общение по телефону. — сменный график работы (сутки через трое). — одна смена 7000 на руки — оформление будет проходить через нашу компанию (г. москва). - перед началом работы стажер проходит обучение - место работы: от метро черная речка / беговая / старая деревня / пр-т просвещения ходит корпоративный транспорт (привозит, отвозит) — время в пути примерно 30 минут.",инженертехническойподдержки,Санкт-Петербург,49000.0,56000.0,Айти Сервис,2019-10-08T15:58:47+0300,between1And3,full,shift,Helpdesk
496,496,,"официальный оклад от 40 000 рублей (на руки) в течение испытательного срока и от 45 000 после его окончания бонусы и премиальные по результатам каждого месяца - до 60 000 совокупного дохода (после вычета ндфл) работа в офисе в 10 минутах ходьбы от метро кировский завод график работы: 09:00-18:00, 5/2 оформление, отпуска и т.д. строго по трудовому кодексу рф и чай с плюшками без ограничений :)","опыт сопровождения технологически сложных продуктов/услуг от 1 года аналитический склад ума грамотная связная речь умение вести электронную переписку на грамотном русском языке техническое образование знание торговых автоматов или технический английский будут весомыми плюсами. официальный оклад от 40 000 рублей (на руки) в течение испытательного срока и от 45 000 после его окончания бонусы и премиальные по результатам каждого месяца - до 60 000 совокупного дохода (после вычета ндфл) работа в офисе в 10 минутах ходьбы от метро кировский завод график работы: 09:00-18:00, 5/2 оформление, отпуска и т.д. строго по трудовому кодексу рф и чай с плюшками без ограничений :)","мы ищем ещё одного коллегу в нашу команду технической поддержки! мы - это система мониторинга торговых автоматов со многими тысячами подключений. это достаточно сложный технически продукт, поэтому нам подходят те, кто способен анализировать проблемы, в том числе нетривиальные, находя для них решения (а не только принимать входящие заявки и отвечать на простые вопросы, но и это тоже). задачи нашего инженера техподдержки: ответы на письменные и телефонные обращения пользователей багрепорты написание инструкций опыт сопровождения технологически сложных продуктов/услуг от 1 года аналитический склад ума грамотная связная речь умение вести электронную переписку на грамотном русском языке техническое образование знание торговых автоматов или технический английский будут весомыми плюсами. официальный оклад от 40 000 рублей (на руки) в течение испытательного срока и от 45 000 после его окончания бонусы и премиальные по результатам каждого месяца - до 60 000 совокупного дохода (после вычета ндфл) работа в офисе в 10 минутах ходьбы от метро кировский завод график работы: 09:00-18:00, 5/2 оформление, отпуска и т.д. строго по трудовому кодексу рф и чай с плюшками без ограничений :)",инженертехническойподдержки,Санкт-Петербург,40000.0,60000.0,Делориан,2019-10-02T16:36:49+0300,between1And3,full,fullDay,Техническая поддержка|Консультирование клиентов по телефону|входящие звонки|Информационные технологии|Helpdesk
647,647,"обслуживание рабочих мест пользователей (пк, оргтехника, телефон, по) исследование причины инцидентов и поиск решения удаленная помощь пользователям; системное администрирование: заведение пользователей в ad и почтовых ящиков в exchange; организация лвс консультирование по техническим вопросам клиентов компании.","работа в крупной компании, успешной холдинговой структуре; оформление по тк рф;","знание операционных систем windows 98‚ 2000‚ xp‚ 2003 и прикладных программ на уровне администратора знание принципов построения сетей на базе (основы технологии ethernet и коммутируемых лвс, семейство протоколов tcp/ip, основы маршрутизации опыт работы в технической поддержке от 1 года; знание офисного по; хорошее знание &quot;железа&quot;; приветствуется знание unix-подобных ос (freebsd‚ linux); приветствуются знания в области телефонии, в т.ч. технологии voip умение диагностировать неисправности компьютеров, локальной вычислительной сети, печатающей техники. внимательность, умение грамотно выражать свои мысли работа в крупной компании, успешной холдинговой структуре; оформление по тк рф;","обслуживание рабочих мест пользователей (пк, оргтехника, телефон, по) исследование причины инцидентов и поиск решения удаленная помощь пользователям; системное администрирование: заведение пользователей в ad и почтовых ящиков в exchange; организация лвс консультирование по техническим вопросам клиентов компании. знание операционных систем windows 98‚ 2000‚ xp‚ 2003 и прикладных программ на уровне администратора знание принципов построения сетей на базе (основы технологии ethernet и коммутируемых лвс, семейство протоколов tcp/ip, основы маршрутизации опыт работы в технической поддержке от 1 года; знание офисного по; хорошее знание &quot;железа&quot;; приветствуется знание unix-подобных ос (freebsd‚ linux); приветствуются знания в области телефонии, в т.ч. технологии voip умение диагностировать неисправности компьютеров, локальной вычислительной сети, печатающей техники. внимательность, умение грамотно выражать свои мысли работа в крупной компании, успешной холдинговой структуре; оформление по тк рф; возможность карьерного роста; полностью официальная з/п; график работы 5/2 с 9.00 до 18.00; место работы м. василеостровская (шаговая доступность).",инженертехническойподдержки,Санкт-Петербург,45000.0,60000.0,Априори,2019-09-30T10:01:23+0300,between1And3,full,fullDay,
551,551,,,"1. уверенное знание сетевых технологий (стек тср/ip, опыт настройки сетевого оборудования, сетевых сервисов); 2. опыт работы в отделе сопровождения и поддержки, опыт непосредственной работы с пользователями; 3. готовность к работе в режиме многозадачности; 4. инициативность, нацеленность на результат.","1 . обслуживание рабочих место пользователей (пк, оргтехника, телефон, по); 2. работа в системе servicedesk, диагностика и оперативное закрытие инцидентов; 3. исследование причины инцидентов и поиск решения; 4. выполнение профилактических и ремонтных работ по поддержанию работоспособности технических средств сетей. 1. уверенное знание сетевых технологий (стек тср/ip, опыт настройки сетевого оборудования, сетевых сервисов); 2. опыт работы в отделе сопровождения и поддержки, опыт непосредственной работы с пользователями; 3. готовность к работе в режиме многозадачности; 4. инициативность, нацеленность на результат.",инженертехническойподдержки,Санкт-Петербург,45000.0,65000.0,Электронмаш,2019-10-09T15:38:54+0300,between1And3,full,fullDay,Настройка сетевых подключений|TCP/IP|Настройка ПК|Настройка ПО|Windows 7
838,838,,,,"обязанности мониторинг и обработка заявок клиентов (электронная почта, иногда телефон); воспроизведение ошибок и их первичное исследование (стендирование); постановка задач на исправление проблемы; контроль исправления проблемы; тестирование новых версий по; написание инструкций и документации. требования высшее образование (приветствуются целеустремленные студенты старших курсов); хорошее владение устной и письменной речью; начальные навыки администрирования (windows, linux); стремление развиваться в сфере свободного программного обеспечения; техническая грамотность и обучаемость. вашим преимуществом будет также: опыт работы в среде unix; опыт составления технических инструкций. условия комфортный офис в центре города (развозка от м.&quot;площадь александра невского&quot;); возможность работы по гибкому графику и удалённо; оформление согласно законодательству рф; обучение и профессиональное развитие; молодой дружный коллектив, работающий над решением нестандартных задач.",инженертехническойподдержки,Санкт-Петербург,30000.0,,Etersoft,2019-10-03T19:26:51+0300,noExperience,part,flexible,Linux|Грамотная речь|Работа в команде|Ведение документации
307,307,,"график работы 5/2 (пн-пт), рабочий день с 8 до 17 место работы - завод ниссан - есть развозка из спб официальное оформление, официальная заработная плата срочный тд бесплатные обеды",,"bcc company приглашает на работу инженера технической поддержки круг обязанностей: работа в службе технической поддержки клиентов в соответствии с сервисными контрактами поддержкой пользователей, информационных систем, компьютеров и по пользователей выполнение работ, связанных с установкой, настройкой, модернизацией компьютерной техники профессиональный опыт: незаконченное высшее/высшее техническое образование знание пк, ос windows7, желателен опыт поддержки пользователей английский - способность читать документацию, инструкции; отвечать на письма; разговорный - хотя бы &quot;школьного&quot; уровня активность, исполнительность, ответственность, способность работать с людьми график работы 5/2 (пн-пт), рабочий день с 8 до 17 место работы - завод ниссан - есть развозка из спб официальное оформление, официальная заработная плата срочный тд бесплатные обеды",инженертехническойподдержки,Санкт-Петербург,42000.0,,BCC Company,2019-09-26T13:06:16+0300,between1And3,full,fullDay,Техническая поддержка|Windows 7|Настройка ПК|Настройка сетевых подключений|Консультирование клиентов по телефону|Helpdesk|Настройка ПО|Английский язык
241,241,"обработка запросов на обслуживание офисной оргтехники; диагностика рабочих станций, поиск и устранение неисправностей, мелкий ремонт; сопровождение систем скуд, охранной сигнализации; работа в прикладных программах учета движения техники.",,"техническое образование; опыт работы от года; уверенное пользование пк на базе ms windows, пакета ms office. знания принципов работы и диагностики неисправностей аппаратного обеспечения компьютеров и оргтехники.","ocs distribution – лидер рынка it дистрибуции россии. более 250 мировых производителей, обширная партнерская сеть, офисы в 27 городах россии – это важные сведения, но вовсе не основная гордость нашей компании. более 2000 человек по всей стране работают в ocs, и мы гордимся каждым из них! сейчас мы ищем инженера технической поддержки. обработка запросов на обслуживание офисной оргтехники; диагностика рабочих станций, поиск и устранение неисправностей, мелкий ремонт; сопровождение систем скуд, охранной сигнализации; работа в прикладных программах учета движения техники. техническое образование; опыт работы от года; уверенное пользование пк на базе ms windows, пакета ms office. знания принципов работы и диагностики неисправностей аппаратного обеспечения компьютеров и оргтехники. вашими преимуществами будут: знание принципов построения и работы систем скуд, охранной сигнализации, систем видеонаблюдения; знание электротехники. мы готовы предложить успешным кандидатам: стать частью яркой команды увлеченных, целеустремленных людей; полный рабочий день, пятидневка; комфортные условия работы; много разнообразных интересных и креативных программ для сотрудников.",инженертехническойподдержки,Санкт-Петербург,,,OCS distribution,2019-10-08T11:51:21+0300,between1And3,full,fullDay,
615,615,"- обеспечение работоспособности и правильного функционирования сетевого оборудования; - обеспечение работоспособности рабочих станций, мобильного клиентского оборудования, оргтехники; - установка, настройка и сопровождение оборудования и по; - выполнение работ по заявкам пользователей на техническую поддержку; - консультация, настройка, устранение ошибок в работе по, аппаратной части рабочих мест и периферийных устройств, наполнение базы знаний.",- стабильный уровень дохода; - график работы 5/2 с 9.00 до 18.00; - карьерный рост в крупной динамичной компании; - компенсация гсм и мобильной связи; - офис расположен рядом со ст.м. чкаловская.,"- высшее образование; - опыт работы от 1 года; - знание продуктов microsoft (officе. windows); - знание элементной базы пк; - опыт проведения диагностики и ремонта пк, оргтехники; - опыт прокладки скс. - стабильный уровень дохода; - график работы 5/2 с 9.00 до 18.00; - карьерный рост в крупной динамичной компании; - компенсация гсм и мобильной связи; - офис расположен рядом со ст.м. чкаловская.","росденьги - динамичная и молодая компания, которая растет высокими темпами! мы открыли уже более 1000 офисов продаж по всей территории рф, и мы ждем в свою команду сотрудников, которые не боятся работать в условиях многозадачности и которым нравится видеть результат своей работы! - обеспечение работоспособности и правильного функционирования сетевого оборудования; - обеспечение работоспособности рабочих станций, мобильного клиентского оборудования, оргтехники; - установка, настройка и сопровождение оборудования и по; - выполнение работ по заявкам пользователей на техническую поддержку; - консультация, настройка, устранение ошибок в работе по, аппаратной части рабочих мест и периферийных устройств, наполнение базы знаний. - высшее образование; - опыт работы от 1 года; - знание продуктов microsoft (officе. windows); - знание элементной базы пк; - опыт проведения диагностики и ремонта пк, оргтехники; - опыт прокладки скс. - стабильный уровень дохода; - график работы 5/2 с 9.00 до 18.00; - карьерный рост в крупной динамичной компании; - компенсация гсм и мобильной связи; - офис расположен рядом со ст.м. чкаловская.",инженертехническойподдержки,Санкт-Петербург,,,РосДеньги,2019-10-10T10:31:51+0300,between1And3,full,fullDay,
