,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
228,228,"ведение рекламных кампаний в сети (сайт, соц сети) поддержка сайтов в актуальном состоянии, написание текстов, новостей, монтаж простых видеороликов, фото. оптимизация контекстной рекламы","работа в офисе, съемки фото и видео в рем зоне и на выезде (объекте заказчика) работа 2-3 дня в неделю","креативность бодрость духа работа в офисе, съемки фото и видео в рем зоне и на выезде (объекте заказчика) работа 2-3 дня в неделю","ведение рекламных кампаний в сети (сайт, соц сети) поддержка сайтов в актуальном состоянии, написание текстов, новостей, монтаж простых видеороликов, фото. оптимизация контекстной рекламы креативность бодрость духа работа в офисе, съемки фото и видео в рем зоне и на выезде (объекте заказчика) работа 2-3 дня в неделю",интернет-маркетолог,Санкт-Петербург,,40000.0,автотахограф,2019-09-21T14:55:59+0300,noExperience,part,flexible,Ведение групп в социальных сетях|Adobe Photoshop|Написание текстов|Видеомонтаж|Маркетинговые исследования|Продвижение бренда|Производство рекламных материалов|B2B маркетинг|SEO оптимизация
1318,1318,,"уровень заработной платы обсуждается по итогу собеседования (оклад + kpi); работу в современной и динамичной компании; молодой, амбициозный, профессиональный коллектив; работа в офисе компании или удаленная работа - создайте свой мини-офис у себя дома и зарабатывайте, не выходя из него; график работы: с 10:00 до 19:00; полная занятость, полный день. в сопроводительном письме опишите ваш опыт работы и примеры кейсов (что было до вас/что получилось с вами).",,"кого мы ищем если ты хорошо разбираешься в рекламных кабинетах fb, instagram, vk, mytarget. уверенный пользователь google analytics и yandex metrika понимаешь реакцию людей на различные объявления, умеешь анализировать статистику, находить нужную ца, пишешь грамотные рекламные тексты, готов вырасти в руководителя отдела маркетинга тогда тебе к нам. что нужно делать запуск и оптимизация рекламных кампаний в yandex, google facebook, instagram, vk и др соц. сетях. видение сайта и социальных страничек активное тестирование рекламных гипотез и креативов аналитика кампании, медиапланирование и контроль за расходом рекламного бюджета без этого никуда умение быстро искать и обрабатывать информацию работа с excel (формулы, сводные таблицы) знание photoshop, coreldraw и умение набросать прототип лендинга или баннера базовые знания web-разработки уровень заработной платы обсуждается по итогу собеседования (оклад + kpi); работу в современной и динамичной компании; молодой, амбициозный, профессиональный коллектив; работа в офисе компании или удаленная работа - создайте свой мини-офис у себя дома и зарабатывайте, не выходя из него; график работы: с 10:00 до 19:00; полная занятость, полный день. в сопроводительном письме опишите ваш опыт работы и примеры кейсов (что было до вас/что получилось с вами).",интернет-маркетолог,Тюмень,20000.0,45000.0,ТК ВиП-Дистрибьюшен,2019-10-01T12:48:46+0300,between1And3,part,fullDay,Ведение групп в социальных сетях|Google Analytics|CorelDRAW|Adobe Photoshop|Социальные сети
744,744,"1. медиапланирование, бюджетирование и настройка кампаний: cpc, cpa, контекстная реклама, медийная/тизерная реклама, ретаргетинг 2. seo-оптимизация сайта (внутренняя оптимизация, meta-теги, региональность, ключевые запросы, заголовки h1-h4 и другие html-теги) 3. составление семантического ядра 4. анализ конкурентов 5. работа с отзывами, управление акциями и скидками 6. аналитика посещаемости: яндекс.метрика, google analytics; 7. аналитика бюджетирования рекламных кампаний в яндекс.директ и google ads 8. email-маркетинг. составление, отправка, анализ результатов e-mail рассылок по базам клиентов 9. анализ эффективности рекламных компаний, расчет roi 10. разработка бюджета на контекстную рекламу 11. оптимизирование контекстной рекламы за счет дополнительных настроек (повышающие понижающие коэффициенты) 12. smm, разработка стратегии и аналитика продвижения в соц.сетях. 13. работа с коллтрекингом 14. работа с фрилансерами","​​​​​​​ - оформление, отпуск, больничный и пр. по тк рф - компенсация мобильной связи - корпоративное обучение и тренинги - возможность профессионального и карьерного роста - полная занятость (пн-пт, 10:00 – 18:00) - работа в офисе компании (м. московские ворота&quot;, 10 мин. от метро) - испытательный срок – 3 месяца - перспектива профессионального роста - работа в молодом коллективе - обучение в рамках компании - полный соц.пакет - адрес: санкт-петербург, м. московские ворота, ул.заставская.",-,"типография &quot;грейм&quot; проводит набор сотрудников на должность интернет-маркетолог. 1. медиапланирование, бюджетирование и настройка кампаний: cpc, cpa, контекстная реклама, медийная/тизерная реклама, ретаргетинг 2. seo-оптимизация сайта (внутренняя оптимизация, meta-теги, региональность, ключевые запросы, заголовки h1-h4 и другие html-теги) 3. составление семантического ядра 4. анализ конкурентов 5. работа с отзывами, управление акциями и скидками 6. аналитика посещаемости: яндекс.метрика, google analytics; 7. аналитика бюджетирования рекламных кампаний в яндекс.директ и google ads 8. email-маркетинг. составление, отправка, анализ результатов e-mail рассылок по базам клиентов 9. анализ эффективности рекламных компаний, расчет roi 10. разработка бюджета на контекстную рекламу 11. оптимизирование контекстной рекламы за счет дополнительных настроек (повышающие понижающие коэффициенты) 12. smm, разработка стратегии и аналитика продвижения в соц.сетях. 13. работа с коллтрекингом 14. работа с фрилансерами - опыт работы в интернет маркетинге не менее трех лет! - знание основ маркетинга - грамотный устный и письменный язык - личные качества: ответственность‚организованность‚ активность‚ инициативность‚ коммуникабельность ​​​​​​​ - оформление, отпуск, больничный и пр. по тк рф - компенсация мобильной связи - корпоративное обучение и тренинги - возможность профессионального и карьерного роста - полная занятость (пн-пт, 10:00 – 18:00) - работа в офисе компании (м. московские ворота&quot;, 10 мин. от метро) - испытательный срок – 3 месяца - перспектива профессионального роста - работа в молодом коллективе - обучение в рамках компании - полный соц.пакет - адрес: санкт-петербург, м. московские ворота, ул.заставская.",интернет-маркетолог,Санкт-Петербург,50000.0,70000.0,ГРЕЙМ,2019-09-24T16:46:34+0300,between1And3,full,fullDay,SEO оптимизация|Управление бюджетом|SMS маркетинг|SEO|Yandex Direct|E-Mail Marketing|Интернет маркетинг|Аналитика|Планирование рекламных кампаний|Веб-аналитика|Google Analytics|Email маркетинг|Составление семантического ядра|Копирайтинг
147,147,,,,"привет! мы отдел маркетинга компании homework. нас 5 человек и мы ищем себе в команду еще одного сотрудника, готового помогать нам в ведении нескольких наших проектов. мы ищем специалиста по контекстной рекламе :) чем предстоит заниматься: достижением поставленных планов по количеству лидов, cpl, дрр. контролем работы основных каналов ppc трафика: яндекс.директ (поиск + рся), google adwords - ежедневным мониторингом, оптимизацией кампаний, разработкой стратегий эффективного расходования бюджета, формированием отчетности по рекламным кампаниям. контролем и работой над улучшением показателей эффективности cpl, cpo, дрр. планированием и запуском новых рекламных кампаний в различных рекламных сетях. smm, pr- поддержкой проекта и копирайт (объявления, слоганы, рекламные тексты). поиском дополнительных источников трафика, инструментов оптимизации. проведением исследований в области интернет-рекламы, интернет-маркетинга. созданием кейсов для внутреннего пользования. что для нас важно: имеете высокий уровень экспертизы и опыт работы с контекстной рекламой в яндекс и google. делали a/b тестирование объявлений. хорошо знаете google analytics и яндекс.метрику. работали в сегменте b2c - обязательно . работали с крупными проектами и бюджетами имеете конкретные достижения на предыдущих местах работы (будем признательны, если кратко укажете в резюме). а также: обладаете стратегическим и креативным мышлением, высоким уровнем ответственности и самостоятельности, ориентированы на результат и умеете и любите работать в команде - то вам точно к нам! знаете инструменты таргетированной и медийной рекламы (будет преимуществом) что мы предлагаем: график работы 5/2 с 10 до 18:30; фикс + kpi; официальное оформление по тк рф, 30-дневный оплачиваемый отпуск; большой и современный офис недалеко от ст.м. чкаловская со своей кухней; крутые коллеги, с которыми точно будет комфортно, интересно и продуктивно.",интернет-маркетолог,Санкт-Петербург,,70000.0,Homework,2019-10-02T16:02:29+0300,between1And3,full,fullDay,
295,295,"планирование‚ проведение и контроль мероприятий по интернет-маркетингу в интернет-магазине и сайтах компании ( тематика двери, лестницы) знания и использование инструментов web-аналитики для мониторинга и оценки эффективности каналов продвижения привлечение трафика‚ увеличение конверсии лидогенерация‚ работа по всем основным каналам: интернет-маркетинг‚ email-маркетинг‚ контент-маркетинг‚ smm. аудит и аналитика метрик сайта‚ трафика. разработка и реализация предложений по улучшению работы сайта (юзабилити‚ внедрение новых функций‚ повышение конверсии). предоставление регулярной отчетности о проделанной работе работа с системами аналитики яндекс метрика и гугл аналитикс. seo оптимизация; (через seo пульт) есть контент менеджер, копирайтер и программист на аутсорсинге. умение руководить ими всеми и ставить задачи.",заработная плата от 40 000 руб. до 80 000 в зависимости от опыта работы‚ по итогам собеседования работа в офисе компании,"опыт работы в сфере коммуникаций знание принципов интернет-маркетинга ответственность‚ внимание к деталям подтвержденный опыт работы интернет-маркетологом понимание принципов seo‚ smm‚ контекстной рекламы‚ контент маркетинга. умение писать тз для программистов, копирайтеров, дизайнеров и т.д. опыт эффективной лидогенерации грамотная письменная речь. коммуникабельность заработная плата от 40 000 руб. до 80 000 в зависимости от опыта работы‚ по итогам собеседования работа в офисе компании","планирование‚ проведение и контроль мероприятий по интернет-маркетингу в интернет-магазине и сайтах компании ( тематика двери, лестницы) знания и использование инструментов web-аналитики для мониторинга и оценки эффективности каналов продвижения привлечение трафика‚ увеличение конверсии лидогенерация‚ работа по всем основным каналам: интернет-маркетинг‚ email-маркетинг‚ контент-маркетинг‚ smm. аудит и аналитика метрик сайта‚ трафика. разработка и реализация предложений по улучшению работы сайта (юзабилити‚ внедрение новых функций‚ повышение конверсии). предоставление регулярной отчетности о проделанной работе работа с системами аналитики яндекс метрика и гугл аналитикс. seo оптимизация; (через seo пульт) есть контент менеджер, копирайтер и программист на аутсорсинге. умение руководить ими всеми и ставить задачи. опыт работы в сфере коммуникаций знание принципов интернет-маркетинга ответственность‚ внимание к деталям подтвержденный опыт работы интернет-маркетологом понимание принципов seo‚ smm‚ контекстной рекламы‚ контент маркетинга. умение писать тз для программистов, копирайтеров, дизайнеров и т.д. опыт эффективной лидогенерации грамотная письменная речь. коммуникабельность заработная плата от 40 000 руб. до 80 000 в зависимости от опыта работы‚ по итогам собеседования работа в офисе компании",интернет-маркетолог,Санкт-Петербург,40000.0,80000.0,Завод Арлес,2019-10-01T11:48:36+0300,between1And3,full,fullDay,Контекстная реклама|Копирайтинг|Лидогенерация|Составление семантического ядра|Управление бюджетом|Email маркетинг|SEO оптимизация|SMM|SMS маркетинг|WEB аналитика|Аудит SMM|Аудит поисковой видимости сайта|Ведение групп в социальных сетях|Внешняя оптимизация сайта|Внутренний аудит контекстной рекламы|внешний аудит сайта|Внешний аудит контекстной рекламы|Ведение мобильных рекламных кампаний|Информационные рассылки|Интернет-реклама|SEO|Внутренняя оптимизация сайта|Google AdWords|Google Analytics|Яндекс.Директ|Яндекс.Метрика|Internet Marketing|Веб-аналитика|CMS Wordpress
3,3,"- участие в разработке стратегии и тактики продвижения компании в интернете с целью привлечения клиентов в фирму для оказания юридических услуг организациям и населению; - составление, согласование, контроль исполнения бюджета по интернет-маркетингу для проекта","- офис в центре города м. &quot;садовая&quot; , спасский переулок - график работы 5/2, 09:00-18:00 - готовность руководства рассмотреть любые идеи сотрудника для улучшения работы, оптимизации, стимулирования продаж и выделить необходимые ресурсы для реализации - полный соц.пакет.","- опыт работы в маркетинге умение выполнять не только техническую работу по настройке кампаний, но и мыслить стратегически, уметь генерировать идеи и анализировать результаты. - положительный настрой, желание развиваться вместе с фирмой - офис в центре города м. &quot;садовая&quot; , спасский переулок - график работы 5/2, 09:00-18:00 - готовность руководства рассмотреть любые идеи сотрудника для улучшения работы, оптимизации, стимулирования продаж и выделить необходимые ресурсы для реализации - полный соц.пакет.","юридическая фирма рослекс ( roslex.ru) оказывает юридические услуги любой сложности с 1997 года. за это время мы накопили огромный опыт решения юридических задач и стали сплоченной командой настоящих профессионалов своего дела. - участие в разработке стратегии и тактики продвижения компании в интернете с целью привлечения клиентов в фирму для оказания юридических услуг организациям и населению; - составление, согласование, контроль исполнения бюджета по интернет-маркетингу для проекта roslex.ru ; - мониторинг рекламной активности конкурентов по юридическим услугам в интернете; - разработка мероприятий по увеличению ключевых показателей (посещаемость,конверсия и т.д.); - seo-оптимизация и продвижение сайта компании,увеличение трафика,планирование seo бюджета; - ведение и постоянное обновление контента сайта roslex.ru , предоставление качественной информации клиентам; - размещение контекстной и баннерной рекламы в yandex, google, соц.сети - веб-аналитика (yandex metrica,google analytics),посещаемость сайта ,рекламный трафик и т.д. ,анализ эффективности; - разработка технических заданий для дизайнеров/программистов; - управление email рассылками компании: составление планов, подготовка писем, проведение рассылок ,анализ эффективности; - опыт работы в маркетинге умение выполнять не только техническую работу по настройке кампаний, но и мыслить стратегически, уметь генерировать идеи и анализировать результаты. - положительный настрой, желание развиваться вместе с фирмой - офис в центре города м. &quot;садовая&quot; , спасский переулок - график работы 5/2, 09:00-18:00 - готовность руководства рассмотреть любые идеи сотрудника для улучшения работы, оптимизации, стимулирования продаж и выделить необходимые ресурсы для реализации - полный соц.пакет.",интернет-маркетолог,Санкт-Петербург,60000.0,90000.0,"РОСЛЕКС, группа компаний",2019-10-07T11:26:27+0300,between3And6,full,fullDay,Работоспособность|Желание прогрессировать и добиться успеха
314,314,,,,"в связи с расширением и изменением концепции интернет-магазина требуется грамотный интернет-маркетолог. наша компания реализует спортивное и диетическое питание. в настоящий момент в рамках нашего e-commerce проекта, регулярно вводятся новые товарные группы. цель – воплотить концепцию онлайн гипермаркета эко товаров и продуктов для здоровья и красоты. если вы грамотный специалист в сфере e-commerce и любите то, чем мы занимаемся, вам определённо к нам! кого мы ищем? специалист, которого мы ищем должен обладать высокими навыками в работе с платным трафиком и иметь непосредственный опыт не менее 1 года в работе с системами: - яндекс директ; - google ads, - mytarget, - таргетинг в соц.сетях: (vk, fb, instagram). опыт работы с церебро будет вашим плюсом. с каждым источником по привлечению платного трафика, необходима работа непосредственно в качестве специалиста, а не руководителя. (будьте готовы выполнять большой объем работы самостоятельно). ваши задачи: - создание рк - управление ставками рк - мониторинг качества приходящего трафика на сайт - регулярная доработка рк - анализ эффективности приходящего трафика при помощи ym и ga - оптимизация рекламного бюджета компаний - формирование ежемесячной отчетности ваши навыки: - умеете работать с директ коммандером и adwords editor - я.метрика и google analytics - на уровне опытного пользователя - умеете работать с keycollector - на уровне опытного пользователя - умеете работать с биддерами - знание excel и google таблиц обязательно - базовые навыки работы с графическими редакторами будет вашим плюсом: - работали с getblogger/epicstars - знаете html, css на базовом уровне - знаете основы seo - внедряли системы сквозной аналитики - наличие сертификатов яндекс и google - английский не ниже intermediate условия: - полная занятость, график работы с 10 до 19 или с 11 до 20 - работа в офисе в 10 минутах ходьбы от м.горьковская - оплата 40 000 до 100000 руб. (зависит от результатов достижения kpi). - оформление по тк рф",интернет-маркетолог,Санкт-Петербург,40000.0,100000.0,БОДИ-Ф,2019-09-19T17:55:33+0300,between1And3,full,fullDay,SEO оптимизация|Ведение групп в социальных сетях|Google Analytics|Google AdWords|Яндекс.Метрика|Яндекс.Директ|Yandex Direct|Adobe Photoshop|CSS|E-Commerce|WEB аналитика|Internet Marketing|SEO|Интернет-реклама|Веб-аналитика|SMM|Составление семантического ядра|Контекстная реклама|Управление интернет-проектами
1005,1005,"проведение рекламных кампаний в яндекс.директ и google ads (поиск, рся/кмс и медийная реклама), instagram, vkontakte, mytarget. аналитика и оптимизация рекламных кампаний с помощью статистики рекламных кабинетов. тестирование новых каналов привлечения клиентов. в перспективе вы сможете браться за решение все более сложных и нестандартных задач, которых у нас всегда в избытке.","заработная плата обсуждается с успешными кандидатами. корпоративный дмс через 1 год работы в компании. частичная компенсация расходов на фитнес. график работы с 9:30 до 18:00, пятидневка. офис у ст. м. старая деревня. возможности для профессионального и карьерного роста.","высшее образование (статистика, мат. методы, эконометрика). опыт работы на аналогичных должностях от 3 лет. технический склад ума. вы должны уметь и любить анализировать результаты своих действий. вы знаете что такое ctr, cr, cpo, ltv и понимаете как на них можно влиять. опыт взаимодействия с рекламными агентствами, постановки задач, контроля исполнения. успешные кейсы привлечения клиентов с помощью контекстной или таргетированной рекламы. продвинутые знания яндекс.директ и google ads, яндекс.метрика и google analytics. уверенное владение excel (формулы, сводные таблицы). заработная плата обсуждается с успешными кандидатами. корпоративный дмс через 1 год работы в компании. частичная компенсация расходов на фитнес. график работы с 9:30 до 18:00, пятидневка. офис у ст. м. старая деревня. возможности для профессионального и карьерного роста.","ювелирная сеть &quot;585&quot; приглашает интернет-маркетолога проведение рекламных кампаний в яндекс.директ и google ads (поиск, рся/кмс и медийная реклама), instagram, vkontakte, mytarget. аналитика и оптимизация рекламных кампаний с помощью статистики рекламных кабинетов. тестирование новых каналов привлечения клиентов. в перспективе вы сможете браться за решение все более сложных и нестандартных задач, которых у нас всегда в избытке. высшее образование (статистика, мат. методы, эконометрика). опыт работы на аналогичных должностях от 3 лет. технический склад ума. вы должны уметь и любить анализировать результаты своих действий. вы знаете что такое ctr, cr, cpo, ltv и понимаете как на них можно влиять. опыт взаимодействия с рекламными агентствами, постановки задач, контроля исполнения. успешные кейсы привлечения клиентов с помощью контекстной или таргетированной рекламы. продвинутые знания яндекс.директ и google ads, яндекс.метрика и google analytics. уверенное владение excel (формулы, сводные таблицы). заработная плата обсуждается с успешными кандидатами. корпоративный дмс через 1 год работы в компании. частичная компенсация расходов на фитнес. график работы с 9:30 до 18:00, пятидневка. офис у ст. м. старая деревня. возможности для профессионального и карьерного роста.",интернет-маркетолог,Санкт-Петербург,80000.0,110000.0,"585, Холдинг",2019-10-03T15:56:02+0300,between1And3,full,fullDay,
1099,1099,,,,"команда дружный, весёлый и находчивый коллектив компании настоящие полы ищет соратника-фанатика, который не боится &quot;невыполнимых&quot; задач. такого, кто обычно плохо спит, когда что-то не доделано. сейчас нас 10+ человек. все молодые и энергичные. у нас большие амбиции и сложный путь вперед! задачи создание и публикация контента о компании на сайтах и в соц. сетях настройка и ведение кампаний по контекстной рекламе создание и настройка таргетированной рекламы взаимодействие с дизайнером и типографиями для создания любой рекламной продукции карьерный рост и рост зп в зависимости от навыков, которые у вас имеются или появятся мы можем обсуждать как новый функционал так и рост зп важным фактором является уровень вашего профессионализма в том, что вы делаете. если мы видим положительные результаты - вы не останетесь без вознаграждения. мы дадим вам возможность учиться и развиваться, и рассчитываем, что через несколько лет вы сможете полностью взять на себя эту сферу компании - стать главным маркетологом.",интернет-маркетолог,Санкт-Петербург,30000.0,,Настоящие Полы,2019-09-23T19:14:33+0300,noExperience,full,fullDay,Английский язык|Пользователь ПК|Грамотная речь|SEO оптимизация|SMM|Копирайтинг|Внешняя оптимизация сайта|WEB аналитика|Контекстная реклама|Adobe Photoshop
1158,1158,разработка и внедрение эффективной маркетинговой стратегией развития разработка маркетинговых акций разработка рекламных материалов подготовка контента анализ показателей анализ рекламы анализ конкурентов ведение профилей компании в соц сетях и на профильных сайтах поддержание актуальной информации и наполнение сайта формирование контента таргетированная реклама,"официальное трудоустройство 5 дневная рабочая неделя, с 8-30 до 17-30 25000 - 30000 руб + %","опыт работы от 1 года ненормированный рабочий день навыки работы coreldraw, яндекс директ, google adwords официальное трудоустройство 5 дневная рабочая неделя, с 8-30 до 17-30 25000 - 30000 руб + %","разработка и внедрение эффективной маркетинговой стратегией развития разработка маркетинговых акций разработка рекламных материалов подготовка контента анализ показателей анализ рекламы анализ конкурентов ведение профилей компании в соц сетях и на профильных сайтах поддержание актуальной информации и наполнение сайта формирование контента таргетированная реклама опыт работы от 1 года ненормированный рабочий день навыки работы coreldraw, яндекс директ, google adwords официальное трудоустройство 5 дневная рабочая неделя, с 8-30 до 17-30 25000 - 30000 руб + %",интернет-маркетолог,Тюмень,30000.0,,Санета,2019-09-12T11:54:05+0300,between1And3,full,fullDay,
