salarys	38969 - 77848	1
salarys	NAN - NAN	3
		
days	avg	7.5
days	max	17.0
days	min	3.0
 		
experience	between1And3	3
experience	noExperience	1
  		
employment	full	4
   		
schedule	fullDay	4
    		
skills	Написание статей	1
skills	Наполнение контентом	3
skills	MS Excel	1
skills	Предметная фотосъемка	1
skills	Написание текстов	1
skills	Литературное редактирование	1
skills	Корректура текстов	1
skills	Копирайтинг	1
skills	Редактирование	1
skills	Грамотная речь	1
skills	Рерайтинг	1
skills	Опыт работы с номенклатурой товаров в 1С Битрикс, 1С Управление торговлей	1
skills	Администрирование сайтов	1
skills	Управление интернет-проектами	1
skills	Продажи через интернет	1
     		
