salarys	NAN - NAN	1
		
days	avg	14.0
days	max	14.0
days	min	14.0
 		
experience	between1And3	1
  		
employment	part	1
   		
schedule	remote	1
    		
skills	Копирайтинг	1
skills	SEO-копирайтинг	1
skills	Грамотная речь	1
skills	Грамотность	1
skills	Рерайтинг	1
skills	Яндекс.Директ	1
skills	SEO	1
skills	Создание сайтов	1
skills	Наполнение контентом	1
skills	Поисковая оптимизация сайтов	1
skills	Продвижение сайтов	1
skills	Internet Marketing	1
skills	Написание текстов	1
skills	Креативность	1
     		
