salarys	38969 - 77848	1
salarys	NAN - NAN	3
		
days	avg	15.0
days	max	30.0
days	min	7.0
 		
experience	between1And3	3
experience	between3And6	1
  		
employment	full	4
   		
schedule	fullDay	4
    		
skills	Подготовка презентаций	1
skills	Управление интернет-проектами	1
skills	Управление продуктом	1
skills	Agile Project Management	1
skills	Scrum	1
skills	MS PowerPoint	1
skills	Adobe Photoshop	1
skills	Проведение презентаций	1
skills	Подготовка коммерческих предложений	1
skills	Организация мероприятий	1
skills	ITSM	1
skills	ITIL	1
skills	Управление проектами	1
skills	MS Project	1
skills	Английский язык	1
skills	Информационные технологии	1
     		
