salarys	NAN - NAN	1
		
days	avg	13.0
days	max	13.0
days	min	13.0
 		
experience	noExperience	1
  		
employment	full	1
   		
schedule	fullDay	1
    		
skills	Работа с существующей базой клиентов	1
skills	B2C продажи	1
skills	Активные продажи	1
skills	Ведение переговоров	1
skills	Поиск и привлечение клиентов	1
skills	Холодные продажи	1
skills	Прямые продажи	1
skills	Развитие продаж	1
skills	Организаторские навыки	1
skills	Телефонные переговоры	1
skills	Навыки продаж	1
skills	Проведение презентаций	1
     		
