salarys	38969 - 77848	1
		
days	avg	13.0
days	max	13.0
days	min	13.0
 		
experience	between1And3	1
  		
employment	full	1
   		
schedule	fullDay	1
    		
skills	Работа с юридическими лицами	1
skills	Консультирование клиентов	1
skills	Ведение клиентской базы	1
skills	Ведение отчетности	1
skills	Заключение договоров	1
skills	Ведение переговоров	1
skills	Клиентоориентированность	1
skills	Работа в команде	1
skills	входящие звонки	1
skills	исходящие звонки	1
skills	Проведение презентаций	1
skills	Деловое общение	1
     		
