salarys	38969 - 77848	1
salarys	NAN - NAN	1
		
days	avg	3.5
days	max	4.0
days	min	3.0
 		
experience	noExperience	1
experience	between1And3	1
  		
employment	full	2
   		
schedule	fullDay	2
    		
skills	Подбор персонала	2
skills	Массовый подбор персонала	2
skills	Прямой поиск	2
skills	Грамотная речь	1
skills	проведение групповых интервью	1
skills	Ведение переговоров	1
skills	Оценка кандидатов	1
skills	Организация подбора выпускников	1
skills	Участие в ярмарках вакансий	1
skills	Взаимодействие с ВУЗами	1
skills	Организаторские навыки	1
skills	Активные продажи	1
skills	Холодные продажи	1
skills	Адаптация персонала	1
skills	Подбор производственного персонала	1
     		
