,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
1247,1247,,,,"в компанию &quot;сибтел-крипто&quot; требуется сотрудник, c опытом работы в сфере b2b продаж на должность специалиста отдела активных продаж. обязанности: поиск клиентов и расширение клиентской базы; выполнение плановых показателей; холодные звонки; проведение онлайн презентаций. требования: опыт работы в активных продажах; умение вести телефонные переговоры; грамотная письменная и устная речь; нацеленность на результат; условия: мы предоставим официальное трудоустройство, полностью «белую» и своевременную зп, удобный график работы (пн-пт с 9:00 до 17:00), рабочее место с хорошим компьютером, чай/кофе для подзарядки и дружный коллектив для перенимания опыта.",менеджерпопродажам,Тюмень,30000.0,45000.0,Сибтел-Крипто,2019-10-10T10:35:33+0300,between1And3,full,fullDay,Деловая коммуникация|Ведение переговоров|Деловая переписка|Активные продажи|Холодные продажи|Грамотная речь|Пользователь ПК
165,165,,,,"хочешь зарабатывать и развиваться в команде сильнейших – читай дальше! что ты получаешь, присоединившись к нашей команде: официальное оформление индивидуальный график работы высокий уровень дохода наставничество готовую базу потенциальных клиентов корпоративное обучение дружный коллектив развитие и карьерный рост чем ты будешь заниматься: продвигать услуги компании мтс принимать заявки на подключение интернета и тв мы ищем в команду сотрудника, который: любит общаться и с лёгкостью может расположить к себе клиентов считает себя активным и целеустремлённым ставит перед собой амбициозные цели стань частью сильной команды! записывайся на собеседование по телефону ниже звонок на единую линию по всей рф бесплатный",менеджерпопродажам,Санкт-Петербург,35000.0,55000.0,МТС,2019-10-08T11:00:12+0300,noExperience,part,flexible,
265,265,,,,"мы - быстрорастущая образовательная компания по обучению английскому языку. наши менеджеры каждый день растут в веселой и неформальной компании. они амбициозны и добиваются высоких результатов. желание много зарабатывать и развиваться – главное требование к нашим кандидатам. в настоящий момент мы активно развиваем и расширяем коммерческий отдел, поэтому нам нужны не просто менеджеры, а настоящие командные игроки. чего мы ждём от будущего сотрудника: активный и позитивный настрой; сильные коммуникативные навыки; желания развиваться в сфере продаж навыки общения по телефону; основные задачи: обработка входящих заявок на обучение, их обзвон продажа образовательных программ, работа с &quot;теплой&quot; и &quot;горячей&quot; базой клиентов; электронный документооборот и отчетность в crm-системе что мы предлагаем: современный, уютный офис в центре санкт-петербурга (5 минут пешком от м. фрунзенская) график работы: 3/3 или 2/2 з/п: оклад + процент с продаж + бонусы от плана продаж большой поток входящих клиентов; возможность карьерного и финансового роста; дружный коллектив единомышленников; чай, кофе, печеньки :) если вы хотите откликнуться на данную вакансию, начните свое сопроводительное письмо со слов &quot;хочу в вашу команду&quot;. предоставляем дополнительное обучение продажам именно по нашей тематике, но вы уже должны иметь успешный опыт в продажах от 1 года минимум! продажи - ваше любимое занятие? вы виртуозно умеете выявлять реальные потребности клиента и закрывать их? хотите работать и зарабатывать много? тогда ждем именно вас в нашей дружной команде!",менеджерпопродажам,Санкт-Петербург,,120000.0,Центр разговорного английского Метод SAY,2019-09-24T13:48:21+0300,between1And3,full,shift,Ведение переговоров|телефонные продажи|Развитие продаж|B2C продажи
144,144,,,,"присоединяйся к крупнейшей в европе онлайн-школе английского языка skyeng , входящей в топ-15 компаний рунета по версии forbes . менеджер по продажам: работает удалённо в комфортных условиях; звонит по входящим заявкам через бесплатную телефонию; продаёт курсы английского языка; заносит свои сделки в простую систему отчётности. ты подходишь нам, если: у тебя есть компьютер и стабильный, быстрый интернет; готов обеспечить тишину в рабочее время; легко находишь общий язык с незнакомыми людьми. мы предлагаем: бесплатную ip-телефонию ; неограниченный доход (оклад + бонусы от продаж); удобные графики 5/2 по мск полный день - 9:00-18:00 / 12:00-21:00 / 13:00-22:00 ; неполный день (8 графиков): 9:00-14:00 / 10:00-15:00 ..... 17:00-22:00; выходные - суббота или воскресенье и 1 день в будни; стабильные выплаты дважды в месяц без задержек ; оплачиваемый отпуск 28 дней; оплачиваемое дистанционное обучение с тренером по продажам; 50% скидку на изучение английского языка в нашей школе. заинтересовала вакансия? жми “откликнуться”; ожидай звонка от менеджера в течение 1 часа; пройди телефонное интервью.",менеджерпопродажам,Санкт-Петербург,25000.0,,Skyeng,2019-10-10T14:21:23+0300,noExperience,full,remote,
1210,1210,"расширение базы клиентов компании; холодные звонки ; консультация клиентов по продуктам и услугам компании; подготовка, заключение и ведение договоров; знание продуктов и услуг компании; активный поиск и привлечение клиентов.",5-ти дневная рабочая неделя с 9.00 ч до 18.00; трудоустройство согласно тк рф после испытательного срока; заработная плата на период стажировки 15 000 рублей; работа в команде; стажировка с опытным менеджером до полной самостоятельности; оплачиваемый отпуск.,"энергичность, нацеленность на результат; высокий уровень само организованности; ответственность, грамотная речь. 5-ти дневная рабочая неделя с 9.00 ч до 18.00; трудоустройство согласно тк рф после испытательного срока; заработная плата на период стажировки 15 000 рублей; работа в команде; стажировка с опытным менеджером до полной самостоятельности; оплачиваемый отпуск.","расширение базы клиентов компании; холодные звонки ; консультация клиентов по продуктам и услугам компании; подготовка, заключение и ведение договоров; знание продуктов и услуг компании; активный поиск и привлечение клиентов. энергичность, нацеленность на результат; высокий уровень само организованности; ответственность, грамотная речь. 5-ти дневная рабочая неделя с 9.00 ч до 18.00; трудоустройство согласно тк рф после испытательного срока; заработная плата на период стажировки 15 000 рублей; работа в команде; стажировка с опытным менеджером до полной самостоятельности; оплачиваемый отпуск.",менеджерпопродажам,Тюмень,30000.0,,ДаЛогистика,2019-10-09T09:39:03+0300,between1And3,full,fullDay,Заключение договоров|Поиск и привлечение клиентов|Грамотная речь|Работа в команде|Деловое общение
1397,1397,"расширение базы клиентов компании; холодные звонки ; консультация клиентов по продуктам и услугам компании; подготовка, заключение и ведение договоров; знание продуктов и услуг компании; активный поиск и привлечение клиентов.",5-ти дневная рабочая неделя с 9.00 ч до 18.00; трудоустройство согласно тк рф после испытательного срока; заработная плата на период стажировки 15 000 рублей; работа в команде; стажировка с опытным менеджером до полной самостоятельности; оплачиваемый отпуск.,"энергичность, нацеленность на результат; высокий уровень само организованности; ответственность, грамотная речь. 5-ти дневная рабочая неделя с 9.00 ч до 18.00; трудоустройство согласно тк рф после испытательного срока; заработная плата на период стажировки 15 000 рублей; работа в команде; стажировка с опытным менеджером до полной самостоятельности; оплачиваемый отпуск.","расширение базы клиентов компании; холодные звонки ; консультация клиентов по продуктам и услугам компании; подготовка, заключение и ведение договоров; знание продуктов и услуг компании; активный поиск и привлечение клиентов. энергичность, нацеленность на результат; высокий уровень само организованности; ответственность, грамотная речь. 5-ти дневная рабочая неделя с 9.00 ч до 18.00; трудоустройство согласно тк рф после испытательного срока; заработная плата на период стажировки 15 000 рублей; работа в команде; стажировка с опытным менеджером до полной самостоятельности; оплачиваемый отпуск.",менеджерпопродажам,Тюмень,30000.0,,ДаЛогистика,2019-10-10T07:26:14+0300,between1And3,full,fullDay,Заключение договоров|Поиск и привлечение клиентов|Грамотная речь|Работа в команде|Деловое общение
523,523,,,высшее образование опыт успешных продаж в корпоративном секторе (пром. оборудование и долгие сроки сделок приветствуются особенно) свободное владение пк готовность к постоянному обучению,"международная компания cёрчинформ приглашает к сотрудничеству менеджера по продажам. компания, имея представительства в россии, беларуси, казахстане является лидером на рынке корпоративных систем безопасности (dlp system) и предлагает своим сотрудникам: первоначальную подготовленную (проверенную и постоянно пополняемую) базу потенциальных клиентов техническую поддержку продаж (с помощью закрепленного тех. специалиста ) первоначальное (продукт + функционал., конкур. среда, продажи, crm и пр.) и актуальное обучение продуктам и технологии продаж фиксированный оклад 50 000 + % от продаж комфортные оборудованные раб. места соц. гарантии+оплата корпоративных мероприятий условия для материального и карьерного роста планируемые обязанности: выполнение личного плана продаж периодическая отчетность о выполняемых работах и достижениях постоянная работа по сопровождению по и взаимодействие с тех. службой высшее образование опыт успешных продаж в корпоративном секторе (пром. оборудование и долгие сроки сделок приветствуются особенно) свободное владение пк готовность к постоянному обучению",менеджерпопродажам,Санкт-Петербург,50000.0,,Searchinform,2019-10-07T10:31:29+0300,between1And3,full,fullDay,
870,870,,"оклад 28 000 - 35 000 руб. (уже с вычетом ндфл) + %; оплата сотовой связи; льготные обеды фитнес (любой клуб,компенсация 50 %) чай, кофе и пр. в офисе. перспектива роста до руководителя группы продаж и выше; отсутствие дресс-кода; минимум отчетности и совещаний работа в офисе на васильевском острове, с понед. по пятн. 09.00 - 18.00; официальное оформление с первого рабочего дня, белая заработная плата (зарплатный проект в сбербанке).","активность желание зарабатывать оклад 28 000 - 35 000 руб. (уже с вычетом ндфл) + %; оплата сотовой связи; льготные обеды фитнес (любой клуб,компенсация 50 %) чай, кофе и пр. в офисе. перспектива роста до руководителя группы продаж и выше; отсутствие дресс-кода; минимум отчетности и совещаний работа в офисе на васильевском острове, с понед. по пятн. 09.00 - 18.00; официальное оформление с первого рабочего дня, белая заработная плата (зарплатный проект в сбербанке).","prostor teleсom основан в 1997 году и является одним из крупнейших операторов связи с развитой филиальной сетью (46 филиалов). в связи с расширением штата, мы приглашаем к сотрудничеству специалистов по работе с корпоративными клиентами. в наших менеджерах мы особенно ценим: опыт в продажах (любой); если его нет, то наличие желания обучаться, чтобы его получить. настойчивость в достижении результата; амбициозность, стремление развиваться. активность желание зарабатывать оклад 28 000 - 35 000 руб. (уже с вычетом ндфл) + %; оплата сотовой связи; льготные обеды фитнес (любой клуб,компенсация 50 %) чай, кофе и пр. в офисе. перспектива роста до руководителя группы продаж и выше; отсутствие дресс-кода; минимум отчетности и совещаний работа в офисе на васильевском острове, с понед. по пятн. 09.00 - 18.00; официальное оформление с первого рабочего дня, белая заработная плата (зарплатный проект в сбербанке).",менеджерпопродажам,Санкт-Петербург,60000.0,,Простор Телеком,2019-10-10T13:08:19+0300,noExperience,full,fullDay,
416,416,,,,"требуется менеджер по продажам услуг компании. несколько направлений: 1. оказываем самые востребованные услуги для бизнеса - привлечение клиентов через интернет. основное преимущество: заказчики оплачивают не за размещение рекламы, а за конкретный результат - звонки/заявки от клиентов с сайта. активно растем, на данный момент офисы компании расположены в 4 городах. в питере находимся недалеко от ст. м. новочеркасская. кто клиент? любой бизнес с выручкой выше 1 000 000 руб. в месяц, товары/услуги которого можно продвигать через интернет (поисковые системы, соц сети, youtube, онлайн -кинотеатры ). мы не работаем с микро-бизнесом (парикмахерскими, небольшими салонами красоты, частными мастерами и т.д). - эти ребята, как правило, работают с фрилансерами. идеальный клиент это застройщики, агентства недвижимости, сеть медицинских клиник, оптовики, косметические услуги и т.п. 2. есть несколько своих it проектов оказываем услуги по оптимизации расходов и доходов. подписка на сервис. идеальный клиент малый бизнес (мелкие сети, horeka) 3. свой образовательный проект школа интернет- маркетинга. идеальный клиент, тот кто хочет обучиться интернет - маркетингу с гарантией результата. нужен спец, который умеет продавать. доход растет каждый месяц ввиду того, что менеджер также получает процент со всех повторных платежей от клиентов. основные функции: проведение встреч, презентация услуг компании, успешное закрытие сделок. поскольку мы предлагаем заработную плату выше рынка, то обязателен опыт успешных продаж в сегменте b2b и продажи услуг. наличие клиентской базы. уверенность, умение общаться с людьми и договариваться - основные требования к кандидатам. от нас - высокие проценты со сделок (до 50% ), лояльное руководство, свободное планирование рабочего дня, оплата топлива, возможность переезда в сочи, мск. не оставляйте заявку если хотите просто попробовать получится/не получится.",менеджерпопродажам,Санкт-Петербург,62700.0,,Планета Информационных технологий,2019-09-18T10:27:29+0300,between1And3,full,fullDay,B2B Продажи|Активные продажи|Ведение переговоров|Развитие продаж|Прямые продажи|CRM|Заключение договоров|Пользователь ПК|Работа в команде|Телефонные переговоры|Деловая переписка|Деловое общение|Грамотная речь
51,51,"ведение переговоров с действующими заказчиками продажа продуктов и услуг компании активное развитие существующих заказчиков - письменное и телефонное взаимодействие с ними участие в выставках, конференциях и встречах с клиентами","оклад 35 000 на руки + премиальная часть на испытательный срок, дальнейшие условия обсуждаются индивидуально испытательный срок от 1 до 3 месяцев обучение продукту и методам продаж пятидневная рабочая неделя (время работы на выбор: 08-17, 09-18, 10-19) оформление согласно нормам тк рф комфортное рабочее место, чай, кофе, фрукты, орехи, печенье адекватное руководство","высшее образование знание основ продаж опыт ведения переговоров высокие коммуникативные навыки, грамотная речь умение и желание работать оклад 35 000 на руки + премиальная часть на испытательный срок, дальнейшие условия обсуждаются индивидуально испытательный срок от 1 до 3 месяцев обучение продукту и методам продаж пятидневная рабочая неделя (время работы на выбор: 08-17, 09-18, 10-19) оформление согласно нормам тк рф комфортное рабочее место, чай, кофе, фрукты, орехи, печенье адекватное руководство","ведение переговоров с действующими заказчиками продажа продуктов и услуг компании активное развитие существующих заказчиков - письменное и телефонное взаимодействие с ними участие в выставках, конференциях и встречах с клиентами высшее образование знание основ продаж опыт ведения переговоров высокие коммуникативные навыки, грамотная речь умение и желание работать оклад 35 000 на руки + премиальная часть на испытательный срок, дальнейшие условия обсуждаются индивидуально испытательный срок от 1 до 3 месяцев обучение продукту и методам продаж пятидневная рабочая неделя (время работы на выбор: 08-17, 09-18, 10-19) оформление согласно нормам тк рф комфортное рабочее место, чай, кофе, фрукты, орехи, печенье адекватное руководство",менеджерпопродажам,Санкт-Петербург,,,Мой Телеком,2019-10-09T11:49:53+0300,between1And3,full,fullDay,Активные продажи|Работа с возражениями|Обучение и развитие
