salarys	38969 - 77848	2
salarys	116727 - 155606	1
salarys	NAN - NAN	1
		
days	avg	4.75
days	max	13.0
days	min	0.0
 		
experience	between1And3	4
  		
employment	full	4
   		
schedule	fullDay	4
    		
skills	B2B Продажи	2
skills	Активные продажи	2
skills	Ведение переговоров	2
skills	Развитие продаж	2
skills	Проведение презентаций	1
skills	CRM	1
skills	Развитие ключевых клиентов	1
skills	Заключение договоров	2
skills	Навыки продаж	3
skills	Работа в команде	1
skills	Телефонные переговоры	2
skills	MS Outlook	1
skills	Холодные звонки	1
skills	Навыки презентации	1
skills	Деловая коммуникация	1
skills	умеете легко вступать в общение	1
skills	Умеете слушать, и понимать, что Вам говорят	1
skills	Поиск и привлечение клиентов	1
skills	Информационные технологии	1
     		
