salarys	90 - 38969	1
salarys	38969 - 77848	4
salarys	NAN - NAN	2
		
days	avg	8.714285714285714
days	max	17.0
days	min	0.0
 		
experience	between1And3	6
experience	between3And6	1
  		
employment	full	7
   		
schedule	fullDay	7
    		
skills	Пользователь ПК	1
skills	Монтаж оборудования	2
skills	Системы видеонаблюдения	1
skills	Монтаж инженерных систем	3
skills	Настройка сетевых подключений	2
skills	Умение планировать	1
skills	Производство пусконаладочных работ	1
skills	Системы охранно-тревожной сигнализации	1
skills	Электрические системы и слаботочные системы	2
skills	Техническая эксплуатация	1
skills	Проектная документация	1
     		
