salarys	38969 - 77848	2
salarys	NAN - NAN	3
		
days	avg	6.6
days	max	27.0
days	min	0.0
 		
experience	between1And3	3
experience	noExperience	1
experience	between3And6	1
  		
employment	full	5
   		
schedule	fullDay	4
schedule	flyInFlyOut	1
    		
skills	Грамотная речь	2
skills	Пользователь ПК	2
skills	Исполнительность	1
skills	Деловая коммуникация	1
skills	Деловая переписка	1
skills	MS Outlook	1
skills	Деловое общение	1
skills	Работа с большим объемом информации	1
skills	Работа с оргтехникой	1
skills	MS Excel	1
     		
