,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
1249,1249,"администрирование серверов linux\windows администрирование гипервизоров vmware esxi администрирование управляемого сетевого оборудование администрирование ip систем видеонаблюдения администрирование хостинга, доработка и наполнение информацией сайта поликлиники администрирование, монтаж электронной очереди администрирование антивирусных систем установка и настройка криптографических средств диагностика неисправности оборудования, мелкий ремонт техническая поддержка пользователей выполнение поручений руководителя обслуживание парка компьютерной техники в гауз то &quot;городская поликлиника № 17&quot; информационно-техническая поддержка пользователей быстрая диагностика проблем и устранение неполадок консультация пользователей настройка стандартного и внутреннего по","соц.пакет, официальное трудоустройство, белая зарплата.","что мы ждем от кандидата профильное среднее или высшее образование опыт работы в аналогичной сфере глубокие знания компьютерного по и оборудования базовые знания принципов работы сетевых служб и протоколов понимание технического английского в приложениях и инструкциях эрудированность, возможность анализировать несколько потоков информации желание развиваться грамотный письменный и устный язык хорошие знания ad,gpo,dns,dhcp,wsus базовые знания linux базовые знания настройки и администрирования систем виртуализации vmware esxi понимание работы сети на базовом уровне стрессоустойчивость, умение находить пути решения проблемы самостоятельно в короткие сроки, высокая коммуникабельность. соц.пакет, официальное трудоустройство, белая зарплата.","администрирование серверов linux\windows администрирование гипервизоров vmware esxi администрирование управляемого сетевого оборудование администрирование ip систем видеонаблюдения администрирование хостинга, доработка и наполнение информацией сайта поликлиники администрирование, монтаж электронной очереди администрирование антивирусных систем установка и настройка криптографических средств диагностика неисправности оборудования, мелкий ремонт техническая поддержка пользователей выполнение поручений руководителя обслуживание парка компьютерной техники в гауз то &quot;городская поликлиника № 17&quot; информационно-техническая поддержка пользователей быстрая диагностика проблем и устранение неполадок консультация пользователей настройка стандартного и внутреннего по что мы ждем от кандидата профильное среднее или высшее образование опыт работы в аналогичной сфере глубокие знания компьютерного по и оборудования базовые знания принципов работы сетевых служб и протоколов понимание технического английского в приложениях и инструкциях эрудированность, возможность анализировать несколько потоков информации желание развиваться грамотный письменный и устный язык хорошие знания ad,gpo,dns,dhcp,wsus базовые знания linux базовые знания настройки и администрирования систем виртуализации vmware esxi понимание работы сети на базовом уровне стрессоустойчивость, умение находить пути решения проблемы самостоятельно в короткие сроки, высокая коммуникабельность. соц.пакет, официальное трудоустройство, белая зарплата.",системный администратор,Тюмень,22000.0,25000.0,ГАУЗ ТО Городская поликлиника № 17,2019-10-04T12:17:15+0300,between1And3,full,fullDay,
894,894,"поддержка и администрирование it инфраструктуры компании; обеспечение бесперебойной работы сети и персональных компьютеров и системы видео наблюдения; установка и настройка ос linux/ms windows, пользовательских и сетевых программ; обеспечение сетевой безопасности; организация доступа к локальной и глобальной сетям. обеспечение почтового обслуживания; сборка, установка и поддержка работоспособности пк и других периферийных устройств на рабочих местах сотрудников компании; закупка комплектующих, по, компьютерной техники. взаимодействие с поставщиками услуг; техническая поддержка пользователей.","официальное оформление по тк рф; уютный офис в 15 минутах ходьбы от ст. м. навская, развозка от ст. м. кировский завод до бизнес-центра; график работы: пн - пт с 10.00 до 19.00; дмс после испытательного срока; работа в молодом, дружном, профессиональном коллективе, интересная корпоративная жизнь.","знание ос windows и linux на уровне администратора; знание сервисов dhcp, dns; знание аппаратной части пк, опыт его ремонта и диагностики; умение прокладывать и настраивать офисные сети; умение самостоятельно выявлять и устранять возникающие неполадки; ответственность, доброжелательность, вежливость. официальное оформление по тк рф; уютный офис в 15 минутах ходьбы от ст. м. навская, развозка от ст. м. кировский завод до бизнес-центра; график работы: пн - пт с 10.00 до 19.00; дмс после испытательного срока; работа в молодом, дружном, профессиональном коллективе, интересная корпоративная жизнь.","поддержка и администрирование it инфраструктуры компании; обеспечение бесперебойной работы сети и персональных компьютеров и системы видео наблюдения; установка и настройка ос linux/ms windows, пользовательских и сетевых программ; обеспечение сетевой безопасности; организация доступа к локальной и глобальной сетям. обеспечение почтового обслуживания; сборка, установка и поддержка работоспособности пк и других периферийных устройств на рабочих местах сотрудников компании; закупка комплектующих, по, компьютерной техники. взаимодействие с поставщиками услуг; техническая поддержка пользователей. знание ос windows и linux на уровне администратора; знание сервисов dhcp, dns; знание аппаратной части пк, опыт его ремонта и диагностики; умение прокладывать и настраивать офисные сети; умение самостоятельно выявлять и устранять возникающие неполадки; ответственность, доброжелательность, вежливость. официальное оформление по тк рф; уютный офис в 15 минутах ходьбы от ст. м. навская, развозка от ст. м. кировский завод до бизнес-центра; график работы: пн - пт с 10.00 до 19.00; дмс после испытательного срока; работа в молодом, дружном, профессиональном коллективе, интересная корпоративная жизнь.",системный администратор,Санкт-Петербург,30000.0,30000.0,RU-CENTER Group,2019-09-11T17:23:22+0300,between1And3,full,fullDay,Linux|Windows 7|Администрирование сетевого оборудования|Техническое обслуживание|Офисная техника|Ремонт ПК|Настройка ПО|Настройка ПК|Администрирование серверов Linux|Администрирование серверов|Сборка ПК
223,223,"обеспечение бесперебойной и безопасной работы офисного оборудования, сетевого доступа и программного обеспечения; обеспечение информационной безопасности и реализация комплекса мер по защите информации; взаимодействие с пользователями, принятие мер по восстановлению рабочей сети при сбоях или выходе из строя сетевого оборудования; закупка программного обеспечения и компьютерного оборудования.",,"знание операционных систем ms windows, windows server; знание основ построения и маршрутизации локально-вычислительных сетей; знание и администрирование 1с приветствуется; ответственность, активность, порядочность.","в стабильную и успешную компанию, осуществляющую управление собственной коммерческой недвижимостью, требуется системный администратор обеспечение бесперебойной и безопасной работы офисного оборудования, сетевого доступа и программного обеспечения; обеспечение информационной безопасности и реализация комплекса мер по защите информации; взаимодействие с пользователями, принятие мер по восстановлению рабочей сети при сбоях или выходе из строя сетевого оборудования; закупка программного обеспечения и компьютерного оборудования. знание операционных систем ms windows, windows server; знание основ построения и маршрутизации локально-вычислительных сетей; знание и администрирование 1с приветствуется; ответственность, активность, порядочность. мы предлагаем : оформление в соответствии с тк рф; график 5/2 с 9-00 до 18-00 (по пятницам до 17-00); офис находится в шаговой доступности от ст. м. озерки; оборудованное комфортное рабочее место; частичная оплата питания в собственном корпоративном кафе; бесплатные завтраки, компенсация транспортных расходов; полностью официальная заработная плата; возможность карьерного и финансового роста; молодой и дружный коллектив",системный администратор,Санкт-Петербург,32000.0,32000.0,Группа компаний Форум,2019-10-07T17:32:22+0300,noExperience,full,fullDay,
467,467,"удаленная поддержка пользователей, выезды на объекты пользователей, поддержание в работоспособном состоянии оборудования и по пользователей, участие в проектах по внедрению систем автоматизации","характер работы выездной так и на территории офиса организация расположена в трех минутах от ст.м. московская. проезд и мобильная связь оплачивается дружный сплоченный коллектив подробности и все интересующие вопросы обсуждается на собеседовании (заработная плата, правила оформления и т.д.)","высшее образование в области ит, приборостроения или телекоммуникаций (не оконченное) знание ос windows на уровне уверенного пользователя базовые навыки установки и настройки сетевого оборудования, начального уровня коммуникабельность, ответственность, доброжелательность, опрятный внешний вид , умение вести деловую переписку, стрессоустойчивость, устойчивое желание обучаться, совершенствоваться и повышать свои навыки. характер работы выездной так и на территории офиса организация расположена в трех минутах от ст.м. московская. проезд и мобильная связь оплачивается дружный сплоченный коллектив подробности и все интересующие вопросы обсуждается на собеседовании (заработная плата, правила оформления и т.д.)","компания практик автоматизация ресторанов, кафе, баров tillypadxl. системная интеграция пп для предприятий сегмента horeca. удаленная поддержка пользователей, выезды на объекты пользователей, поддержание в работоспособном состоянии оборудования и по пользователей, участие в проектах по внедрению систем автоматизации высшее образование в области ит, приборостроения или телекоммуникаций (не оконченное) знание ос windows на уровне уверенного пользователя базовые навыки установки и настройки сетевого оборудования, начального уровня коммуникабельность, ответственность, доброжелательность, опрятный внешний вид , умение вести деловую переписку, стрессоустойчивость, устойчивое желание обучаться, совершенствоваться и повышать свои навыки. характер работы выездной так и на территории офиса организация расположена в трех минутах от ст.м. московская. проезд и мобильная связь оплачивается дружный сплоченный коллектив подробности и все интересующие вопросы обсуждается на собеседовании (заработная плата, правила оформления и т.д.)",системный администратор,Санкт-Петербург,17000.0,35000.0,Практик,2019-09-17T11:29:05+0300,noExperience,full,fullDay,
1396,1396,"- оказание консультативной и практической помощи сотрудникам по возникшим проблемам, связанным с работой компьютеров, офисной техники и работы в информационных системах; - предварительная настройка и установка пк и оргтехники; - диагностика неисправностей и мелкий ремонт оргтехники; - администрирование windows, linux серверов в том числе виртуальных; - поддержка работоспособности лвс; - организация работы по возможному внедрению и последующему сопровождению программного обеспечения; - настройка сетевого оборудования; - администрирование кластера серверов 1с; - обеспечение безопасности корпоративной сети; - соблюдение закона об обработке персональных данных (152-фз); - поддержка прямых трансляций (obs studio); - поиск, закупка и установка программ согласно закону о импортозамещения по; - обеспечение частичной поддержки сайта; - выполнение поручений руководства.","пятидневная рабочая неделя, выходные дни – суббота, воскресенье; график работы с 9:00 до 18:00; официальное трудоустройство, стабильная &quot;белая&quot; заработная плата 2 раза в месяц; мы предоставляем возможность обучаться, профессионально расти и развиваться.","- знание линейки ос windows 7/10 на уровне администратора; - базовые знания принципов построения корпоративных сетей на базе windows active directory; - диагностика и модульный ремонт пк и периферийных устройств; - базовые знания macos, linux; - умение администрировать windows, linux сервера в том числе виртуальные; - знание adobe cloud; - опыт в администрировании кластера серверов 1с. пятидневная рабочая неделя, выходные дни – суббота, воскресенье; график работы с 9:00 до 18:00; официальное трудоустройство, стабильная &quot;белая&quot; заработная плата 2 раза в месяц; мы предоставляем возможность обучаться, профессионально расти и развиваться.","- оказание консультативной и практической помощи сотрудникам по возникшим проблемам, связанным с работой компьютеров, офисной техники и работы в информационных системах; - предварительная настройка и установка пк и оргтехники; - диагностика неисправностей и мелкий ремонт оргтехники; - администрирование windows, linux серверов в том числе виртуальных; - поддержка работоспособности лвс; - организация работы по возможному внедрению и последующему сопровождению программного обеспечения; - настройка сетевого оборудования; - администрирование кластера серверов 1с; - обеспечение безопасности корпоративной сети; - соблюдение закона об обработке персональных данных (152-фз); - поддержка прямых трансляций (obs studio); - поиск, закупка и установка программ согласно закону о импортозамещения по; - обеспечение частичной поддержки сайта; - выполнение поручений руководства. - знание линейки ос windows 7/10 на уровне администратора; - базовые знания принципов построения корпоративных сетей на базе windows active directory; - диагностика и модульный ремонт пк и периферийных устройств; - базовые знания macos, linux; - умение администрировать windows, linux сервера в том числе виртуальные; - знание adobe cloud; - опыт в администрировании кластера серверов 1с. пятидневная рабочая неделя, выходные дни – суббота, воскресенье; график работы с 9:00 до 18:00; официальное трудоустройство, стабильная &quot;белая&quot; заработная плата 2 раза в месяц; мы предоставляем возможность обучаться, профессионально расти и развиваться.",системный администратор,Тюмень,30000.0,35000.0,АНО Тюменская область сегодня,2019-10-10T07:10:06+0300,between3And6,full,fullDay,
501,501,поддержка локальной сети поддержка и обслуживание парка компьютеров и оргтехники.. монтаж локальной сети (редко) организация закупок расходных материалов для оргтехники. общение с контрагентами (операторы интернета и телефонии.,"оформление по трудовой книжке &quot;белая&quot; зарплата без задержек. пятидневная рабочая неделя пн-чт - с 8,00 - 17.00, пт - с 8.00 - 15.45","высшее образование опыт работы на аналогичных должностях (руководитель или системный администратор) от 2-х лет оформление по трудовой книжке &quot;белая&quot; зарплата без задержек. пятидневная рабочая неделя пн-чт - с 8,00 - 17.00, пт - с 8.00 - 15.45","поддержка локальной сети поддержка и обслуживание парка компьютеров и оргтехники.. монтаж локальной сети (редко) организация закупок расходных материалов для оргтехники. общение с контрагентами (операторы интернета и телефонии. высшее образование опыт работы на аналогичных должностях (руководитель или системный администратор) от 2-х лет оформление по трудовой книжке &quot;белая&quot; зарплата без задержек. пятидневная рабочая неделя пн-чт - с 8,00 - 17.00, пт - с 8.00 - 15.45",системный администратор,Санкт-Петербург,,43000.0,Воентелеком,2019-09-24T07:42:46+0300,between1And3,full,fullDay,
7,7,"обслуживание компьютеров организации,обслуживание рабочих мест сотрудников обслуживание рабочего места руководителя по системе удаленного доступа обслуживание системы битрикс24 (настройка и обучение работы в системе) оптимизация работы компьютеров, улучшение скорости и производительности подбор и установка необходимого по выстраивание безопасной и надежной сетевой инфраструктуры налаживание инструментов связи (электронные почты, корпоративные мессенджеры и пр.) помощь в решении возникающих технических проблем улучшение и развитие всей цифровой инфраструктуры, подбор новых и удобных инструментов для работы диагностика и оперативное решение проблем с программным и аппаратным обеспечением обслуживание системы видеонаблюдения установка и настройка банк-клиентов и ицп поддержка и модернизация лвс","заработная плата 45 000 рублей график работы 5/2 с 10 до 18 (в летний период с 9 до 17) 5 мин пешком от м. обухово отличные условия работы (своя столовая,чай,кофе,фрукты и тд),корпоративные мероприятия","системный подход к работе ремонт, подбор необходимого оборудования оперативное решение поставленных задач oc windows xp-10 на уровне администратора oc windows server 2003-2012 заработная плата 45 000 рублей график работы 5/2 с 10 до 18 (в летний период с 9 до 17) 5 мин пешком от м. обухово отличные условия работы (своя столовая,чай,кофе,фрукты и тд),корпоративные мероприятия","обслуживание компьютеров организации,обслуживание рабочих мест сотрудников обслуживание рабочего места руководителя по системе удаленного доступа обслуживание системы битрикс24 (настройка и обучение работы в системе) оптимизация работы компьютеров, улучшение скорости и производительности подбор и установка необходимого по выстраивание безопасной и надежной сетевой инфраструктуры налаживание инструментов связи (электронные почты, корпоративные мессенджеры и пр.) помощь в решении возникающих технических проблем улучшение и развитие всей цифровой инфраструктуры, подбор новых и удобных инструментов для работы диагностика и оперативное решение проблем с программным и аппаратным обеспечением обслуживание системы видеонаблюдения установка и настройка банк-клиентов и ицп поддержка и модернизация лвс системный подход к работе ремонт, подбор необходимого оборудования оперативное решение поставленных задач oc windows xp-10 на уровне администратора oc windows server 2003-2012 заработная плата 45 000 рублей график работы 5/2 с 10 до 18 (в летний период с 9 до 17) 5 мин пешком от м. обухово отличные условия работы (своя столовая,чай,кофе,фрукты и тд),корпоративные мероприятия",системный администратор,Санкт-Петербург,,45000.0,Дельта,2019-09-13T15:46:38+0300,between1And3,full,fullDay,
1074,1074,"поддержка существующей сетевой инфраструктуры офиса; обеспечение безопасности и целостности данных; администрирование, настройка корпоративной сети компании, сервера; диагностика и оперативное решение проблем с программным и аппаратным обеспечением; установка и настройка по; поддержка и администрирование сайта компании; управление, установка, настройка и поддержка стандартного и специализированного ос и по; техническая поддержка пользователей; управление учетными записями почты; подбор компьютерного оборудования по техническим заданиям; обслуживание и диагностика оргтехники; знание сетевых технологий и протоколов; выявление потребностей в развитии ит услуг, внос предложений по улучшениям в ит инфраструктуре.","оформление в соответствии с трудовым кодексом рф; работа в центре города, удобный график работы – согласовывается на собеседовании; стабильная заработная плата; выплаты з/п два раза в месяц без задержек; испытательный срок 1 месяц; з/п на период испытательного срока – 20.000 - 40 000 руб., после – 30.000 – 50.000 руб. (исходя из согласованного графика работы); работа в офисе компании (3 минуты от м. пушкинская); предоставляется корпоративная мобильная связь; дружный молодой коллектив.","уверенные знания и опыт работы с пользовательскими операционными системами windows; знание аппаратного обеспечения на уровне системного администратора, понимание принципов работы основных сетевых протоколов и опыт построения, представление о работе систем виртуализации, знание vpn технологий, знание почтовых протоколов, знание офисных приложений; знания принципов построения компьютерной сети, понимание работы протоколов tcp/ip; опыт работы с crm системами; подключение, настройка оргтехники. сборка, модернизация. установка, настройка программных продуктов; техническая поддержка сотрудников компании по телефону и на местах (сеть на 20 пользователей); умение общаться с пользователями; уверенное знание компьютерного железа; высокая оперативность, исполнительность, ответственность, самостоятельность, инициативность, умение общаться с пользователями. оформление в соответствии с трудовым кодексом рф; работа в центре города, удобный график работы – согласовывается на собеседовании; стабильная заработная плата; выплаты з/п два раза в месяц без задержек; испытательный срок 1 месяц; з/п на период испытательного срока – 20.000 - 40 000 руб., после – 30.000 – 50.000 руб. (исходя из согласованного графика работы); работа в офисе компании (3 минуты от м. пушкинская); предоставляется корпоративная мобильная связь; дружный молодой коллектив.","поддержка существующей сетевой инфраструктуры офиса; обеспечение безопасности и целостности данных; администрирование, настройка корпоративной сети компании, сервера; диагностика и оперативное решение проблем с программным и аппаратным обеспечением; установка и настройка по; поддержка и администрирование сайта компании; управление, установка, настройка и поддержка стандартного и специализированного ос и по; техническая поддержка пользователей; управление учетными записями почты; подбор компьютерного оборудования по техническим заданиям; обслуживание и диагностика оргтехники; знание сетевых технологий и протоколов; выявление потребностей в развитии ит услуг, внос предложений по улучшениям в ит инфраструктуре. уверенные знания и опыт работы с пользовательскими операционными системами windows; знание аппаратного обеспечения на уровне системного администратора, понимание принципов работы основных сетевых протоколов и опыт построения, представление о работе систем виртуализации, знание vpn технологий, знание почтовых протоколов, знание офисных приложений; знания принципов построения компьютерной сети, понимание работы протоколов tcp/ip; опыт работы с crm системами; подключение, настройка оргтехники. сборка, модернизация. установка, настройка программных продуктов; техническая поддержка сотрудников компании по телефону и на местах (сеть на 20 пользователей); умение общаться с пользователями; уверенное знание компьютерного железа; высокая оперативность, исполнительность, ответственность, самостоятельность, инициативность, умение общаться с пользователями. оформление в соответствии с трудовым кодексом рф; работа в центре города, удобный график работы – согласовывается на собеседовании; стабильная заработная плата; выплаты з/п два раза в месяц без задержек; испытательный срок 1 месяц; з/п на период испытательного срока – 20.000 - 40 000 руб., после – 30.000 – 50.000 руб. (исходя из согласованного графика работы); работа в офисе компании (3 минуты от м. пушкинская); предоставляется корпоративная мобильная связь; дружный молодой коллектив.",системный администратор,Санкт-Петербург,20000.0,50000.0,МКС-Транс,2019-10-09T16:37:17+0300,between1And3,full,fullDay,Техническая поддержка|Администрирование|Настройка ПО|Настройка ПК|Windows 7|Администрирование сайтов|Администрирование сетевого оборудования|Настройка сетевых подключений
757,757,"- настройка серверного и сетевого оборудования, обеспечение бесперебойной работы. - информационно-техническая поддержка пользователей. - сопровождение программного и аппаратного обеспечения рабочих станций. - подключение пользователей, настройка компьютерной и оргтехники. - несложный ремонт компьютерной и офисной техники. условия: - официальное трудоустройство в соответствии с тк рф. место расположения офиса в шаговой доступности от ст.м. &quot;лиговский проспект&quot;, есть удобная парковка.",,"- администрирование windows server 2003/2008/2012 (ad, dhcp, dns, gpo). - администрирование ubuntu linux, centos будет преимуществом (postfix, dovecot, lamp, nginx, postgresql). - навыки работы с hyper-v приветствуются. - опыт работы со средствами криптографической защиты (cryptopro, etoken/rutoken, застава). - опыт работы с централизованными системами антивирусной защиты (kaspersky security center). - опыт работы с атс (знание продуктов на базе asterisk будет преимуществом). - опыт работы и настройки активного сетевого оборудования (vlan, routing, vpn туннели). - знание продуктов mikrotik будет являться преимуществом. - знание серверного, компьютерного оборудования, периферийного оборудования. - опыт диагностики и устранения проблем, связанных с пк и сопутствующим оборудованием. - настройка серверного и сетевого оборудования, обеспечение бесперебойной работы. - информационно-техническая поддержка пользователей. - сопровождение программного и аппаратного обеспечения рабочих станций. - подключение пользователей, настройка компьютерной и оргтехники. - несложный ремонт компьютерной и офисной техники. условия: - официальное трудоустройство в соответствии с тк рф. место расположения офиса в шаговой доступности от ст.м. &quot;лиговский проспект&quot;, есть удобная парковка.","- администрирование windows server 2003/2008/2012 (ad, dhcp, dns, gpo). - администрирование ubuntu linux, centos будет преимуществом (postfix, dovecot, lamp, nginx, postgresql). - навыки работы с hyper-v приветствуются. - опыт работы со средствами криптографической защиты (cryptopro, etoken/rutoken, застава). - опыт работы с централизованными системами антивирусной защиты (kaspersky security center). - опыт работы с атс (знание продуктов на базе asterisk будет преимуществом). - опыт работы и настройки активного сетевого оборудования (vlan, routing, vpn туннели). - знание продуктов mikrotik будет являться преимуществом. - знание серверного, компьютерного оборудования, периферийного оборудования. - опыт диагностики и устранения проблем, связанных с пк и сопутствующим оборудованием. - настройка серверного и сетевого оборудования, обеспечение бесперебойной работы. - информационно-техническая поддержка пользователей. - сопровождение программного и аппаратного обеспечения рабочих станций. - подключение пользователей, настройка компьютерной и оргтехники. - несложный ремонт компьютерной и офисной техники. условия: - официальное трудоустройство в соответствии с тк рф. место расположения офиса в шаговой доступности от ст.м. &quot;лиговский проспект&quot;, есть удобная парковка.",системный администратор,Санкт-Петербург,50000.0,50000.0,"ГАЙДЕ, страховая компания",2019-09-20T16:32:38+0300,between1And3,full,fullDay,Настройка DNS|Active Directory|Настройка сетевых подключений|DHCP|Linux
546,546,оперативная поддержка пользователей. мелкий ремонт компьютерной техники на уровне замены комплектующих. организация рабочих мест пользователей. создание учетных записей и паролей в информационных системах компании. настройка прав пользователей. ведение и поддержание технической документации в актуальном состоянии. инвентаризация ит-оборудования.,трудоустройство согласно тк рф. оплата мобильной связи. график работы 5/2 9:00 - 18:00 или 8.00 - 17.00 корпоративный транспорт от ст. метро кировский завод корпоративная библиотека. автозапчасти со скидкой.,"самостоятельное решение запросов пользователей. умение диагностировать неисправности пк. понимание инфраструктурных сервисов (ad, dns, dhcp). знание ос windows xp/7/8.1/10 и офисных программ на уровне администратора. знание и понимание работы скс. сборка и модернизация компьютерной техники. обслуживание оргтехники. трудоустройство согласно тк рф. оплата мобильной связи. график работы 5/2 9:00 - 18:00 или 8.00 - 17.00 корпоративный транспорт от ст. метро кировский завод корпоративная библиотека. автозапчасти со скидкой.","оперативная поддержка пользователей. мелкий ремонт компьютерной техники на уровне замены комплектующих. организация рабочих мест пользователей. создание учетных записей и паролей в информационных системах компании. настройка прав пользователей. ведение и поддержание технической документации в актуальном состоянии. инвентаризация ит-оборудования. самостоятельное решение запросов пользователей. умение диагностировать неисправности пк. понимание инфраструктурных сервисов (ad, dns, dhcp). знание ос windows xp/7/8.1/10 и офисных программ на уровне администратора. знание и понимание работы скс. сборка и модернизация компьютерной техники. обслуживание оргтехники. трудоустройство согласно тк рф. оплата мобильной связи. график работы 5/2 9:00 - 18:00 или 8.00 - 17.00 корпоративный транспорт от ст. метро кировский завод корпоративная библиотека. автозапчасти со скидкой.",системный администратор,Санкт-Петербург,,50000.0,ПартКом,2019-09-10T11:07:34+0300,between1And3,full,fullDay,Информационные технологии|Настройка ПК|Настройка ПО|Windows Xp|Настройка сетевых подключений|Администрирование|Техническая поддержка|Техническое обслуживание
